,Count
CYP3A4,196
CYP2D6,158
ABCB1,132
CYP1A2,124
DRD2,114
HTR2A,107
HTR1A,101
ADRA1A,96
HTR2C,95
ALB,92
ADRA2A,90
CYP2C9,89
CYP3A5,87
CYP2C19,86
DRD1,80
HRH1,78
DRD3,78
ADRA2C,75
CHRM1,74
ADRA1B,74
HTR1D,72
DRD4,72
HTR1B,71
ADRA2B,70
HTR7,66
CHRM3,65
CYP2C8,63
CHRM2,61
CHRM4,57
CYP2E1,54
CHRM5,53
HTR6,52
SLC6A4,50
DRD5,50
HTR2B,48
SLC6A2,43
CYP3A7,43
HTR3A,42
ORM1,40
CYP2B6,40
CYP1A1,39
ABCG2,35
OPRM1,33
OPRK1,32
ADRA1D,32
OPRD1,32
HTR1E,31
HRH4,31
SLC22A2,30
SLC22A1,30
SLC6A3,28
PTGS1,27
ADRB1,27
CYP1B1,25
ADRB2,24
UGT1A1,24
HRH2,23
CYP2A6,22
PTGS2,20
UGT1A4,20
ABCB11,18
HTR5A,17
FMO3,17
ADORA1,16
SLC22A6,16
PLG,15
SLCO1A2,15
MAOA,15
KCNH2,15
SLC22A8,12
FGFR2,12
SLCO1B1,12
PLAUR,11
MPO,11
FGA,11
SLC22A3,11
SIGMAR1,11
SERPINE1,11
CYP2C18,11
TNF,10
CALM3,10
Htr2c,10
CHRNA4,10
SLCO2B1,9
CALY,9
SLC22A5,9
KDR,9
ADORA2A,9
SERPINC1,9
SLCO1B3,8
GSTP1,8
HRH3,8
SLC22A11,8
UGT1A9,8
GNRHR,8
BCHE,8
ABCC2,8
GRIN3A,8
SLC22A4,8
KCNQ3,8
PDGFRB,8
FGFR1,8
UGT1A8,8
PDE4B,8
PDGFRA,8
ADORA2B,8
SLC15A1,7
SLC7A5,7
NFKB1,7
RET,7
UGT2B7,7
SRC,7
LYN,7
KCND3,7
SLC22A7,7
EGFR,7
HTR1F,7
CHRNB2,7
ADRB3,7
NR1I2,7
KCND2,7
P2RY12,7
SLC16A10,6
ATM,6
VEGFA,6
LCK,6
PIK3CB,6
ESR1,6
PIK3CD,6
PRKDC,6
RYR1,6
CYP19A1,6
AOX1,6
KIT,6
PIK3CA,6
ABL1,6
XDH,6
NTRK1,6
GLRA1,6
GRIN2A,5
DDC,5
MMP9,5
FLT4,5
SLC47A1,5
UGT2B4,5
GRIN2B,5
FLT1,5
FGF2,5
CES1,5
CYP17A1,5
CHRNA3,5
UGT1A3,5
PPARG,5
F10,5
ABCC4,5
TEK,5
ABCC1,5
BCR,5
FGFR3,5
UGT2B10,5
CYP11A1,5
LRP1,4
KRT8,4
CANX,4
KCNA1,4
HPSE,4
KCNQ2,4
SELP,4
CLEC3B,4
AR,4
ANXA2,4
NTRK2,4
FGFR4,4
PRSS1,4
KLK1,4
CALR,4
SHBG,4
SLC18A2,4
JAK2,4
SERPINA7,4
CHRNA2,4
KCNQ5,4
MAOB,4
AGTR1,4
BCAT1,4
CHRNB4,4
FLT3,4
SSTR5,4
SLC36A1,4
SSTR2,4
CACNA2D2,4
SSTR1,4
ITGB3,4
IL2RA,4
CACNA2D1,4
IL2RB,4
ACE,4
SCN5A,4
LTA4H,4
MMP2,4
PAH,4
BDKRB1,4
CACNA1B,4
FGF1,4
SERPINB2,4
PPARD,4
ORM2,4
FMO1,4
JAK1,4
CYP3A43,4
CRBN,4
UGT1A10,4
CBR1,4
NR0B1,3
NOS2,3
FABP2,3
CYP4A11,3
LHCGR,3
FGF4,3
UGT1A7,3
HSD11B1,3
HSD11B2,3
CHRNA7,3
PPARA,3
FGF19,3
NR3C1,3
COMT,3
PTGIR,3
ADAMTS4,3
CYP11B1,3
ERBB2,3
ANXA1,3
FCGR2B,3
FCGR2C,3
NFATC1,3
FCGR3A,3
GRIN1,3
FCGR3B,3
PTK6,3
FCGR1A,3
TYK2,3
SCN2A,3
SLC9A1,3
JAK3,3
IL2,3
ITGA4,3
CXCL12,3
FCGR2A,3
EPHA2,3
CXCR1,3
ALOX5,3
FRK,3
GABRA1,3
PF4,3
SMPD1,3
HGF,3
FKBP1A,3
TLR4,3
C1QA,3
SLC7A8,3
C1QB,3
C1QC,3
C1R,3
GLYATL1,2
GRIN2C,2
GPR18,2
GLDC,2
GLRA3,2
GNMT,2
GCSH,2
GLRB,2
GLYAT,2
GLRA2,2
GLYATL2,2
TTR,2
GRIN3B,2
CCR5,2
PDE4A,2
PDE5A,2
SULT1A3,2
CREB1,2
UGT2B15,2
LY96,2
HTR4,2
CYP11B2,2
GATM,2
SCN4A,2
GSS,2
KCNH1,2
MTOR,2
MCHR1,2
SLC6A9,2
SLC6A5,2
SLC32A1,2
SHMT2,2
SHMT1,2
PIPOX,2
GCAT,2
ABL2,2
GARS1,2
PTGDR2,2
STAT5B,2
PPAT,2
NR4A3,2
MAPK14,2
MAP3K20,2
HSPA8,2
FYN,2
FGR,2
EPHB4,2
EPHA5,2
CSK,2
GARS,2
AVPR2,2
AVPR1A,2
SCN10A,2
MET,2
ITGA2B,2
F2,2
TACR1,2
TRPV1,2
C1S,2
PDE3A,2
HDAC2,2
PLA2G4A,2
IL2RG,2
ADA,2
GRM5,2
YES1,2
BTK,2
ALAS1,2
C5,2
CKS1B,2
AGXT,2
AGXT2,2
HSD17B2,2
GPER1,2
ESRRG,2
ESR2,2
BECN1,2
ABCC10,2
ALAS2,2
BAAT,2
PGRMC1,2
SLCO4A1,2
MAPK3,2
IL1B,2
AKR1B10,2
AKR1B1,2
SLCO1C1,2
NCOA2,2
MT-ATP6,2
FAAH,1
VKORC1,1
IKBKB,1
S100A4,1
TNNC1,1
CES2,1
CHUK,1
ABCC5,1
ABCA5,1
SLC28A1,1
GABRB2,1
SLC29A2,1
TERT,1
NT5E,1
SH2B3,1
ITK,1
SSTR3,1
CBR3,1
AKR1C4,1
AKR1C3,1
AKR1C2,1
TDO2,1
PARP1,1
GABRB3,1
UGT1A6,1
TBXAS1,1
ACAT1,1
SLC7A11,1
SLC46A1,1
IL6,1
SI,1
SDC2,1
PRG2,1
IL3RA,1
CSF2RB,1
CSF2RA,1
PLA2G1B,1
SOD1,1
CYP2A13,1
RAF1,1
MAPK11,1
DDR2,1
BRAF,1
NR3C2,1
SLC10A1,1
CPNE1,1
HM13,1
NOMO1,1
RIC3,1
TTLL3,1
AKR1C1,1
CD80,1
SLC31A1,1
TFPI,1
KCNJ4,1
NDUFC2,1
NPPB,1
SELE,1
VCAM1,1
SCN11A,1
NPY2R,1
SST,1
CCL2,1
HIF1A,1
PGR,1
AVPR1B,1
TAAR1,1
tynA,1
CD86,1
ACHE,1
NOS1,1
TNFAIP6,1
KCNJ2,1
GJA1,1
CNR1,1
PC,1
ADK,1
SLC28A3,1
IL1R1,1
ACACA,1
ACACB,1
HLCS,1
MCCC1,1
MCCC2,1
PCCA,1
OPRL1,1
PCCB,1
SLC5A6,1
CAMK2G,1
CDK2,1
HCK,1
MAP2K1,1
MAP2K2,1
MAP3K2,1
NR1I3,1
CNR2,1
NQO1,1
SLC16A3,1
CYCS,1
rpsD,1
rpsI,1
HCAR2,1
HCAR3,1
NNMT,1
QPRT,1
SLC16A1,1
SLC5A8,1
CASP1,1
IFNG,1
TPMT,1
ATP7A,1
ATP7B,1
GSTM1,1
GSTT1,1
MT1A,1
MT2A,1
CASP3,1
UGT2B17,1
PTGIS,1
AMY2A,1
CSF3R,1
ELANE,1
BCL2,1
CFTR,1
GP1BA,1
PLAT,1
S100A7,1
THBD,1
ABCA3,1
SLC2A9,1
CSF1R,1
DDR1,1
JUN,1
SCN9A,1
DPP4,1
GLP1R,1
MME,1
SLC22A12,1
TK1,1
