Gene,Mean Difference in -log(BH)
ABCA3,-0.1577439437870591
ABCA5,-0.0850320728298843
ABCB1,-0.34618927289253415
ABCB11,-0.35031979497483906
ABCC1,-0.409960026912227
ABCC10,-0.4569307938774507
ABCC2,-0.3922483982303828
ABCC4,-0.23969590077172995
ABCC5,-0.244250962419704
ABCG2,-0.2354774806844671
ABL1,0.016197883509001962
ABL2,0.41938477174102484
ACACA,-1.1705119419266277
ACACB,-1.1705119419266277
ACAT1,-0.4929166784717722
ACE,-0.5297276125581747
ACHE,-0.482013522098871
ADA,-0.18268492182997348
ADAMTS4,-0.11882601332882044
ADK,-0.6048911261083845
ADORA1,-0.3460612818429334
ADORA2A,-0.3080460166330226
ADORA2B,-0.3233550480586229
ADRA1A,-0.4859549329026392
ADRA1B,-0.46616061110346796
ADRA1D,-0.41787471183100977
ADRA2A,-0.47054849039046076
ADRA2B,-0.4554665715307277
ADRA2C,-0.43732199394488835
ADRB1,-0.5156602335441371
ADRB2,-0.5202784949556364
ADRB3,-0.5577509222378119
AGTR1,-0.3500414988453522
AGXT,-0.3896330086871673
AGXT2,-0.3896330086871673
AKR1B1,-0.9239249681871975
AKR1B10,-0.9239249681871975
AKR1C1,0.2356475934686344
AKR1C2,0.2356475934686344
AKR1C3,0.2356475934686344
AKR1C4,0.2356475934686344
ALAS1,-0.3896330086871673
ALAS2,-0.3896330086871673
ALB,-0.3009145838493818
ALOX5,-0.008611568116272061
AMY2A,0.5108256237660376
ANXA1,-0.4874833813163697
ANXA2,-1.0120386970902733
AOX1,-0.539951940747963
AR,-0.40285517142523786
ATM,-0.351144979084989
ATP7A,-0.943374659083517
ATP7B,-0.943374659083517
AVPR1A,-0.06216426152664754
AVPR1B,0.0496428305219467
AVPR2,-0.06216426152664754
BAAT,-0.3896330086871673
BCAT1,-0.3059212743427677
BCHE,-0.5646157534893165
BCL2,-0.2083824715407445
BCR,0.010478103044642495
BDKRB1,-0.5297276125581747
BECN1,-0.4569307938774507
BRAF,0.0447967858307993
BTK,0.41938477174102484
C1QA,-0.2096964880826551
C1QB,-0.2096964880826551
C1QC,-0.2096964880826551
C1R,-0.2096964880826551
C1S,-0.45441382298337907
C5,-0.481092759006332
CACNA1B,-0.3059212743427677
CACNA2D1,-0.3059212743427677
CACNA2D2,-0.3059212743427677
CALM3,-0.6115227690424927
CALR,-1.0120386970902733
CALY,-0.4580215443382926
CAMK2G,-0.9458878868462754
CANX,-1.0120386970902733
CASP1,-0.2537520348278947
CASP3,-0.2537520348278947
CBR1,-0.2683522025606053
CBR3,0.2356475934686344
CCL2,-1.065235969578584
CCR5,1.0076055670571096
CD80,-1.6593820499899312
CD86,-1.6593820499899312
CDK2,-0.9458878868462754
CES1,-0.15583342265319222
CES2,-0.1665744940904758
CFTR,-0.2083824715407445
CHRM1,-0.4670728237887733
CHRM2,-0.47176926116636253
CHRM3,-0.4768349208602397
CHRM4,-0.4720121972265164
CHRM5,-0.4742320808885399
CHRNA2,-0.37824612563217386
CHRNA3,-0.33144525384633
CHRNA4,-0.2822839961989477
CHRNA7,-0.08368092085308317
CHRNB2,-0.25210522964737436
CHRNB4,-0.37824612563217386
CHUK,-0.4929166784717722
CKS1B,-0.7030917533362002
CLEC3B,-1.0120386970902733
CNR1,-0.1164145854550273
CNR2,-0.1164145854550273
COMT,-0.4938459875744196
CPNE1,0.0479445569449783
CRBN,0.1878986383258936
CREB1,-0.26534948335938674
CSF1R,-0.1577439437870591
CSF2RA,-0.3689605682963659
CSF2RB,-0.3689605682963659
CSF3R,0.2143192012936188
CSK,0.41938477174102484
CXCL12,-0.11882601332882044
CXCR1,-0.24861535663273374
CYCS,-0.2537520348278947
CYP11A1,-0.40469527166363123
CYP11B1,-0.4874833813163697
CYP11B2,-0.596203513472795
CYP17A1,-0.5309714341789398
CYP19A1,-0.6515783093527544
CYP1A1,-0.3436072457845024
CYP1A2,-0.40007016501916987
CYP1B1,-0.3765273473102112
CYP2A13,-0.3337073330542832
CYP2A6,-0.5047280456753714
CYP2B6,-0.4746184707618415
CYP2C18,-0.5309730453057173
CYP2C19,-0.4046735986396139
CYP2C8,-0.3111270475091121
CYP2C9,-0.38019770825148885
CYP2D6,-0.42029938657277854
CYP2E1,-0.3766140782099149
CYP3A4,-0.36462983019039447
CYP3A43,-0.4490393692508481
CYP3A5,-0.3389219034684431
CYP3A7,-0.3816705180671904
CYP4A11,-0.4874833813163697
DDC,0.3676635027890395
DDR1,-0.1577439437870591
DDR2,0.0447967858307993
DPP4,0.2385611311535278
DRD1,-0.40289758149064364
DRD2,-0.4236761934499696
DRD3,-0.3864375654857399
DRD4,-0.3785979393941406
