,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff
,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum
Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1577439437870591,0.0,-0.1577439437870591,-0.1577439437870591,-0.1577439437870591
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0850320728298843,0.0,-0.0850320728298843,-0.0850320728298843,-0.0850320728298843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03126998930465164,0.23610409342358957,-0.3244838404311405,0.2418399384670237,-0.21888992513256147,-0.37605443426582097,0.3827717595110693,-0.999252666038501,0.0152974591084706,-3.0084354741265678,-0.14353223778104696,0.34458605443439083,-0.873746924972993,0.4786825935646952,-1.8659190911536105,0.0,0.0,0.0,0.0,0.0,-0.32693285192127325,0.1893123514593712,-0.6820592237269825,-0.0850320728298843,-2.615462815370186,-0.7327904506668556,0.3056135093140694,-1.3298291530646846,0.0192379029844644,-18.31976126667139,-0.4835127889954039,0.27293986955867144,-0.7851376622656989,-0.0444584813353881,-3.3845895229678273,0.0,0.0,0.0,0.0,0.0,-0.21100804602251438,0.5911692328099721,-0.7742453080292844,2.3878245537366585,-5.697217242607889,-1.340930746824771,0.0,-1.340930746824771,-1.340930746824771,-1.340930746824771,0.15005789941533187,0.7168636992918485,-0.3568412835404082,0.656957082371072,0.30011579883066375,0.17668177065247373,1.0758661966955527,-0.5917718426913918,2.580384974496262,1.2367723945673161,-0.7293009209575486,0.27372272534928915,-1.1762069099477337,-0.2089667088802898,-11.668814735320778,0.0405168506876558,0.439350178866106,-0.9458878868462754,0.7195017661471432,0.4456853575642138
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3244838404311405,0.0,-0.3244838404311405,-0.3244838404311405,-0.3244838404311405,0.0,0.0,0.0,0.0,0.0,-0.0401780619153644,0.0,-0.0401780619153644,-0.0401780619153644,-0.0401780619153644,0.0,0.0,0.0,0.0,0.0,-0.2273188813147637,0.0,-0.2273188813147637,-0.2273188813147637,-0.2273188813147637,-0.726796585888394,0.28954399579388485,-1.009051765619958,-0.4096354456851934,-2.907186343553576,-0.13592640473103312,0.7546738930955657,-0.6695614321233592,0.3977086226612929,-0.27185280946206625,0.0,0.0,0.0,0.0,0.0,-0.30328295993603993,0.052047942673749174,-0.362377007997523,-0.2642539292953962,-0.9098488798081198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31235157764949495,0.06553391599752875,-0.3586910540490571,-0.2660121012499328,-0.6247031552989899,-0.5798465981752603,0.09828615060163887,-0.6493454017624014,-0.5103477945881192,-1.1596931963505206,0.07975442929371913,0.33587342025238176,-0.1577439437870591,0.3172528023744974,0.15950885858743827
ABCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2083824715407445,0.0,-0.2083824715407445,-0.2083824715407445,-0.2083824715407445,0.0,0.0,0.0,0.0,0.0,-0.2273188813147637,0.0,-0.2273188813147637,-0.2273188813147637,-0.2273188813147637,0.0,0.0,0.0,0.0,0.0,-0.5173696063400754,0.0,-0.5173696063400754,-0.5173696063400754,-0.5173696063400754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4941551110670765,0.0,-0.4941551110670765,-0.4941551110670765,-0.4941551110670765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5086325303680272,0.0,-0.5086325303680272,-0.5086325303680272,-0.5086325303680272
ABCC10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3322229299881893,0.0,-0.3322229299881893,-0.3322229299881893,-0.3322229299881893,-0.5816386577667121,0.0,-0.5816386577667121,-0.5816386577667121,-0.5816386577667121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2273188813147637,0.0,-0.2273188813147637,-0.2273188813147637,-0.2273188813147637,-0.6709097795444867,0.3694977064438086,-0.93218411340378,-0.4096354456851934,-1.3418195590889734,-0.27283301821111205,0.9482890826576644,-0.943374659083517,0.3977086226612929,-0.5456660364222241,0.0,0.0,0.0,0.0,0.0,-0.2642539292953962,0.0,-0.2642539292953962,-0.2642539292953962,-0.2642539292953962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3794643898608525,0.16044576523582926,-0.4929166784717722,-0.2660121012499328,-0.758928779721705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2083824715407445,0.0,-0.2083824715407445,-0.2083824715407445,-0.2083824715407445,0.0,0.0,0.0,0.0,0.0,-0.244250962419704,0.0,-0.244250962419704,-0.244250962419704,-0.244250962419704,-0.347384224908259,0.0,-0.347384224908259,-0.347384224908259,-0.347384224908259,-0.4705952514928366,0.0,-0.4705952514928366,-0.4705952514928366,-0.4705952514928366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721334065028944,0.0,0.0721334065028944,0.0721334065028944,0.0721334065028944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.244250962419704,0.0,-0.244250962419704,-0.244250962419704,-0.244250962419704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1164145854550273,0.0,-0.1164145854550273,-0.1164145854550273,-0.1164145854550273,-0.5763823945868634,0.0,-0.5763823945868634,-0.5763823945868634,-0.5763823945868634,-0.34942160015621665,0.18751329427241656,-0.482013522098871,-0.2168296782135623,-0.6988432003124333,0.0,0.0,0.0,0.0,0.0,-0.28437502669423503,0.05653448080566797,-0.3337073330542832,-0.2273188813147637,-1.1375001067769401,-0.7569113855852461,0.24787306879509882,-0.93218411340378,-0.5816386577667121,-1.5138227711704921,-0.7119651384363119,0.19049850262503637,-0.943374659083517,-0.5173696063400754,-2.8478605537452477,0.0,0.0,0.0,0.0,0.0,-0.0719256722595753,0.28319010957090035,-0.2642539292953962,0.3447215513531354,-0.2877026890383012,-0.4941551110670765,0.0,-0.4941551110670765,-0.4941551110670765,-0.4941551110670765,0.15005789941533187,0.7168636992918485,-0.3568412835404082,0.656957082371072,0.30011579883066375,-0.25814628963248726,0.16954646961641232,-0.4929166784717722,-0.1083426955170789,-1.032585158529949,0.0,0.0,0.0,0.0,0.0,0.01634389478953189,0.29664657231407277,-0.5086325303680272,0.5222216338254775,0.16343894789531888
ABL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656957082371072,0.0,0.656957082371072,0.656957082371072,0.656957082371072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11195395626341202,0.498154210139624,-0.9458878868462754,0.3172528023744974,-0.5597697813170601
ABL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656957082371072,0.0,0.656957082371072,0.656957082371072,0.656957082371072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818124611109777,0.0,0.1818124611109777,0.1818124611109777,0.1818124611109777
ACACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1705119419266277,0.0,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
ACACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1705119419266277,0.0,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
