Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP3A4,0.0,Hemorrhage,196,0.0,-0.36462983019039447
CYP3A4,39.0,Myocardial Infarction,196,-0.7145712777132778,-0.36462983019039447
CYP3A4,0.0,Deep Vein Thrombosis,196,0.0,-0.36462983019039447
CYP3A4,11.0,Delirium,196,-0.04486934352386029,-0.36462983019039447
CYP3A4,10.0,Edema,196,-0.2634809040003699,-0.36462983019039447
CYP3A4,15.0,Gastric ulcer,196,-0.16135274257688115,-0.36462983019039447
CYP3A4,2.0,Cerebral Infarction,196,-0.5203530610003675,-0.36462983019039447
CYP3A4,14.0,Hyperlipidemia,196,-0.2991567066193192,-0.36462983019039447
CYP3A4,11.0,Pancreatitis,196,-0.4521093557505296,-0.36462983019039447
CYP3A4,1.0,Peripheral Neuropathy,196,-0.600880662648489,-0.36462983019039447
CYP3A4,40.0,Pneumonia,196,-0.20213785302725315,-0.36462983019039447
CYP3A4,1.0,Proteinuria,196,-0.4941551110670765,-0.36462983019039447
CYP3A4,2.0,Pulmonary Edema,196,0.15005789941533187,-0.36462983019039447
CYP3A4,16.0,Sepsis,196,-0.09416246761385726,-0.36462983019039447
CYP3A4,20.0,Tardive Dyskinesia,196,-0.7259214903666616,-0.36462983019039447
CYP3A4,14.0,Thrombocytopenia,196,-0.2102098297159352,-0.36462983019039447
CYP2D6,1.0,Proteinuria,158,-1.340930746824771,-0.42029938657277854
CYP2D6,0.0,Peripheral Neuropathy,158,0.0,-0.42029938657277854
CYP2D6,37.0,Pneumonia,158,-0.2786088148373603,-0.42029938657277854
CYP2D6,5.0,Thrombocytopenia,158,0.005232615440175436,-0.42029938657277854
CYP2D6,1.0,Pulmonary Edema,158,-0.3568412835404082,-0.42029938657277854
CYP2D6,11.0,Sepsis,158,0.09136051336047289,-0.42029938657277854
CYP2D6,23.0,Tardive Dyskinesia,158,-0.7521934107320652,-0.42029938657277854
CYP2D6,8.0,Pancreatitis,158,-0.4159167531823189,-0.42029938657277854
CYP2D6,32.0,Myocardial Infarction,158,-0.749460783650241,-0.42029938657277854
CYP2D6,7.0,Hyperlipidemia,158,-0.4271564865987906,-0.42029938657277854
CYP2D6,14.0,Gastric ulcer,158,-0.24201310862354766,-0.42029938657277854
CYP2D6,9.0,Edema,158,-0.36455439677618173,-0.42029938657277854
CYP2D6,9.0,Delirium,158,-0.0680884207528967,-0.42029938657277854
CYP2D6,0.0,Deep Vein Thrombosis,158,0.0,-0.42029938657277854
CYP2D6,1.0,Cerebral Infarction,158,-0.5495417895309078,-0.42029938657277854
CYP2D6,0.0,Hemorrhage,158,0.0,-0.42029938657277854
ABCB1,7.0,Pancreatitis,132,-0.4835127889954039,-0.349526115675859
ABCB1,16.0,Tardive Dyskinesia,132,-0.7293009209575486,-0.349526115675859
ABCB1,7.0,Sepsis,132,0.17668177065247373,-0.349526115675859
ABCB1,2.0,Pulmonary Edema,132,0.15005789941533187,-0.349526115675859
ABCB1,1.0,Proteinuria,132,-1.340930746824771,-0.349526115675859
ABCB1,27.0,Pneumonia,132,-0.21100804602251438,-0.349526115675859
ABCB1,0.0,Peripheral Neuropathy,132,0.0,-0.349526115675859
ABCB1,13.0,Gastric ulcer,132,-0.14353223778104696,-0.349526115675859
ABCB1,25.0,Myocardial Infarction,132,-0.7327904506668556,-0.349526115675859
ABCB1,8.0,Hyperlipidemia,132,-0.32693285192127325,-0.349526115675859
ABCB1,0.0,Hemorrhage,132,0.0,-0.349526115675859
ABCB1,8.0,Edema,132,-0.37605443426582097,-0.349526115675859
ABCB1,7.0,Delirium,132,-0.03126998930465164,-0.349526115675859
ABCB1,0.0,Deep Vein Thrombosis,132,0.0,-0.349526115675859
ABCB1,0.0,Cerebral Infarction,132,0.0,-0.349526115675859
ABCB1,11.0,Thrombocytopenia,132,0.0405168506876558,-0.349526115675859
CYP1A2,6.0,Thrombocytopenia,124,-0.03536662396123801,-0.40007016501916987
CYP1A2,0.0,Proteinuria,124,0.0,-0.40007016501916987
CYP1A2,27.0,Myocardial Infarction,124,-0.7657792018803007,-0.40007016501916987
CYP1A2,15.0,Tardive Dyskinesia,124,-0.7810488728244438,-0.40007016501916987
CYP1A2,9.0,Sepsis,124,-0.2120392431542704,-0.40007016501916987
CYP1A2,3.0,Pulmonary Edema,124,0.34378280057691296,-0.40007016501916987
CYP1A2,25.0,Pneumonia,124,-0.1595233836676754,-0.40007016501916987
CYP1A2,0.0,Peripheral Neuropathy,124,0.0,-0.40007016501916987
CYP1A2,8.0,Pancreatitis,124,-0.5177074635474392,-0.40007016501916987
CYP1A2,1.0,Cerebral Infarction,124,-0.5495417895309078,-0.40007016501916987
CYP1A2,6.0,Hyperlipidemia,124,-0.35787659384001486,-0.40007016501916987
CYP1A2,0.0,Hemorrhage,124,0.0,-0.40007016501916987
CYP1A2,12.0,Gastric ulcer,124,-0.1782838495228328,-0.40007016501916987
CYP1A2,8.0,Edema,124,-0.3149832018824159,-0.40007016501916987
CYP1A2,4.0,Delirium,124,-0.16047673171036214,-0.40007016501916987
CYP1A2,0.0,Deep Vein Thrombosis,124,0.0,-0.40007016501916987
DRD2,21.0,Myocardial Infarction,114,-0.7683666273233707,-0.4236761934499696
DRD2,1.0,Cerebral Infarction,114,-0.5495417895309078,-0.4236761934499696
DRD2,0.0,Deep Vein Thrombosis,114,0.0,-0.4236761934499696
DRD2,8.0,Delirium,114,-0.036038993293116224,-0.4236761934499696
DRD2,7.0,Edema,114,-0.10990710388277058,-0.4236761934499696
DRD2,6.0,Gastric ulcer,114,-0.22144449761661159,-0.4236761934499696
DRD2,0.0,Hemorrhage,114,0.0,-0.4236761934499696
DRD2,5.0,Hyperlipidemia,114,-0.5391541761265796,-0.4236761934499696
DRD2,6.0,Pancreatitis,114,-0.44681615301120114,-0.4236761934499696
DRD2,0.0,Pulmonary Edema,114,0.0,-0.4236761934499696
DRD2,0.0,Peripheral Neuropathy,114,0.0,-0.4236761934499696
DRD2,36.0,Pneumonia,114,-0.23830247474345548,-0.4236761934499696
DRD2,0.0,Proteinuria,114,0.0,-0.4236761934499696
DRD2,5.0,Sepsis,114,-0.28046609986707904,-0.4236761934499696
DRD2,19.0,Tardive Dyskinesia,114,-0.7299804758921551,-0.4236761934499696
DRD2,0.0,Thrombocytopenia,114,0.0,-0.4236761934499696
HTR2A,22.0,Myocardial Infarction,107,-0.7759157694565265,-0.4605557158863223
HTR2A,4.0,Sepsis,107,-0.25167449362422856,-0.4605557158863223
HTR2A,0.0,Pulmonary Edema,107,0.0,-0.4605557158863223
HTR2A,0.0,Proteinuria,107,0.0,-0.4605557158863223
HTR2A,29.0,Pneumonia,107,-0.31899968795522704,-0.4605557158863223
HTR2A,0.0,Peripheral Neuropathy,107,0.0,-0.4605557158863223
HTR2A,5.0,Pancreatitis,107,-0.5803903095307781,-0.4605557158863223
HTR2A,0.0,Thrombocytopenia,107,0.0,-0.4605557158863223
HTR2A,4.0,Hyperlipidemia,107,-0.5218068405261094,-0.4605557158863223
HTR2A,0.0,Hemorrhage,107,0.0,-0.4605557158863223
HTR2A,8.0,Gastric ulcer,107,-0.25610011092449003,-0.4605557158863223
HTR2A,8.0,Edema,107,-0.12122042191178362,-0.4605557158863223
HTR2A,8.0,Delirium,107,-0.10682946565538676,-0.4605557158863223
HTR2A,0.0,Deep Vein Thrombosis,107,0.0,-0.4605557158863223
HTR2A,1.0,Cerebral Infarction,107,-0.5495417895309078,-0.4605557158863223
HTR2A,18.0,Tardive Dyskinesia,107,-0.6966502810762158,-0.4605557158863223
HTR1A,4.0,Hyperlipidemia,101,-0.5218068405261094,-0.42538978242971365
HTR1A,23.0,Myocardial Infarction,101,-0.7794387911182217,-0.42538978242971365
HTR1A,0.0,Deep Vein Thrombosis,101,0.0,-0.42538978242971365
HTR1A,8.0,Edema,101,-0.12122042191178362,-0.42538978242971365
HTR1A,5.0,Gastric ulcer,101,-0.22303081498961747,-0.42538978242971365
HTR1A,0.0,Hemorrhage,101,0.0,-0.42538978242971365
HTR1A,1.0,Cerebral Infarction,101,-0.5495417895309078,-0.42538978242971365
HTR1A,6.0,Pancreatitis,101,-0.49106833816487977,-0.42538978242971365
HTR1A,0.0,Peripheral Neuropathy,101,0.0,-0.42538978242971365
HTR1A,24.0,Pneumonia,101,-0.1939510842768657,-0.42538978242971365
HTR1A,0.0,Proteinuria,101,0.0,-0.42538978242971365
HTR1A,0.0,Pulmonary Edema,101,0.0,-0.42538978242971365
HTR1A,4.0,Sepsis,101,-0.13081720683065032,-0.42538978242971365
HTR1A,17.0,Tardive Dyskinesia,101,-0.6810757977689148,-0.42538978242971365
HTR1A,0.0,Thrombocytopenia,101,0.0,-0.42538978242971365
HTR1A,9.0,Delirium,101,-0.0680884207528967,-0.42538978242971365
ADRA1A,2.0,Sepsis,96,-0.23977749792193753,-0.4859549329026392
ADRA1A,0.0,Pulmonary Edema,96,0.0,-0.4859549329026392
ADRA1A,0.0,Proteinuria,96,0.0,-0.4859549329026392
