,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCB1,-0.2600234607911549,0.6207773238105343,-0.9521137418296064,2.3878245537366585,-6.7606099805700275
ABCB11,-0.31151849449959035,0.3879567101419986,-1.009051765619958,0.3977086226612929,-4.049740428494674
ABCG2,-0.24301018144915343,0.41616349965339783,-0.7851376622656989,0.5222216338254775,-2.4301018144915343
ADORA1,-0.6858937944571304,0.3764918601484072,-0.9521137418296064,-0.4196738470846544,-1.3717875889142608
ADORA2B,-0.3383156358842629,0.2108063684872305,-0.6019786260559563,-0.1125481496176217,-2.029893815305577
ADRA1A,-0.42489836417413945,0.29424903088032633,-0.8673038141375802,0.1308612357733878,-4.673882005915534
ADRA1B,-0.4785914792370711,0.34885590960595875,-0.72600119448939,0.1308612357733878,-2.3929573961853556
ADRA1D,-0.4785914792370711,0.3488559096059588,-0.72600119448939,0.1308612357733878,-2.3929573961853556
ADRA2A,-0.3645062443986512,0.33020491413398456,-0.9282152844089424,0.401810761221526,-4.738581177182466
ADRA2B,-0.37827896081949497,0.41789238079201385,-1.360518672475873,0.401810761221526,-6.4307423339314145
ADRA2C,-0.3863216113270227,0.3904000352179211,-1.360518672475873,0.401810761221526,-8.4990754491945
ADRB1,-0.41301267594755875,0.25854581182796305,-0.6559961283807034,0.0226506539966209,-3.30410140758047
ADRB2,-0.41301267594755875,0.25854581182796305,-0.6559961283807034,0.0226506539966209,-3.30410140758047
ADRB3,-0.6221443413264995,0.37082772490682303,-1.0070394025827394,-0.267343186135438,-2.488577365305998
AKR1B10,-0.9239249681871975,1.1721034743020393,-1.7527272831184817,-0.0951226532559132,-1.847849936374395
AKR1C1,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C2,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C3,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C4,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
ALB,-0.13425718437086087,0.785198418245822,-1.1355173889866172,2.580384974496262,-5.101773006092713
AOX1,-0.539951940747963,0.1760752375907233,-0.7575862513884761,-0.296612434859222,-3.2397116444877785
