Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP3A7,10.0,Pneumonia,43,-0.2691372244737881,-0.3816705180671904
CYP3A7,2.0,Pancreatitis,43,-0.26644731492664775,-0.3816705180671904
CYP3A7,7.0,Tardive Dyskinesia,43,-0.8432309316496703,-0.3816705180671904
CYP3A7,2.0,Thrombocytopenia,43,0.28087891118004205,-0.3816705180671904
CYP3A7,3.0,Sepsis,43,-0.15490647283746442,-0.3816705180671904
CYP3A7,0.0,Pulmonary Edema,43,0.0,-0.3816705180671904
CYP3A7,0.0,Proteinuria,43,0.0,-0.3816705180671904
CYP3A7,0.0,Peripheral Neuropathy,43,0.0,-0.3816705180671904
CYP3A7,7.0,Myocardial Infarction,43,-0.7114018659972202,-0.3816705180671904
CYP3A7,5.0,Hyperlipidemia,43,-0.41115902377908886,-0.3816705180671904
CYP3A7,0.0,Hemorrhage,43,0.0,-0.3816705180671904
CYP3A7,2.0,Gastric ulcer,43,-0.3604601402039851,-0.3816705180671904
CYP3A7,0.0,Edema,43,0.0,-0.3816705180671904
CYP3A7,5.0,Delirium,43,0.07490823533718928,-0.3816705180671904
CYP3A7,0.0,Deep Vein Thrombosis,43,0.0,-0.3816705180671904
CYP3A7,0.0,Cerebral Infarction,43,0.0,-0.3816705180671904
CYP1A2,2.0,Sepsis,40,-0.3130171200922476,-0.45180647489435666
CYP1A2,0.0,Proteinuria,40,0.0,-0.45180647489435666
CYP1A2,1.0,Pulmonary Edema,40,0.7312326029000751,-0.45180647489435666
CYP1A2,3.0,Gastric ulcer,40,-0.00706185519764977,-0.45180647489435666
CYP1A2,3.0,Tardive Dyskinesia,40,-0.9470926101283373,-0.45180647489435666
CYP1A2,0.0,Thrombocytopenia,40,0.0,-0.45180647489435666
CYP1A2,0.0,Peripheral Neuropathy,40,0.0,-0.45180647489435666
CYP1A2,9.0,Pneumonia,40,-0.22299356000273185,-0.45180647489435666
CYP1A2,0.0,Deep Vein Thrombosis,40,0.0,-0.45180647489435666
CYP1A2,4.0,Pancreatitis,40,-0.6286871148436712,-0.45180647489435666
CYP1A2,11.0,Myocardial Infarction,40,-0.7864322069117968,-0.45180647489435666
CYP1A2,1.0,Hyperlipidemia,40,-0.7238184736771327,-0.45180647489435666
CYP1A2,0.0,Hemorrhage,40,0.0,-0.45180647489435666
CYP1A2,2.0,Edema,40,-0.16453277158813776,-0.45180647489435666
CYP1A2,3.0,Delirium,40,-0.18004112689951057,-0.45180647489435666
CYP1A2,1.0,Cerebral Infarction,40,-0.5495417895309078,-0.45180647489435666
ALB,0.0,Hemorrhage,38,0.0,-0.13425718437086087
ALB,3.0,Delirium,38,0.054235682106909266,-0.13425718437086087
ALB,0.0,Gastric ulcer,38,0.0,-0.13425718437086087
ALB,2.0,Edema,38,-0.3803457674424866,-0.13425718437086087
ALB,0.0,Deep Vein Thrombosis,38,0.0,-0.13425718437086087
ALB,0.0,Cerebral Infarction,38,0.0,-0.13425718437086087
ALB,12.0,Myocardial Infarction,38,-0.3507822625985655,-0.13425718437086087
ALB,1.0,Hyperlipidemia,38,-0.4804867508112256,-0.13425718437086087
ALB,0.0,Pulmonary Edema,38,0.0,-0.13425718437086087
ALB,5.0,Pancreatitis,38,-0.13985380797420355,-0.13425718437086087
ALB,7.0,Pneumonia,38,0.06116469946888538,-0.13425718437086087
ALB,0.0,Proteinuria,38,0.0,-0.13425718437086087
ALB,4.0,Sepsis,38,0.5947641780444077,-0.13425718437086087
ALB,3.0,Tardive Dyskinesia,38,-0.8146922726495814,-0.13425718437086087
ALB,1.0,Thrombocytopenia,38,0.5222216338254775,-0.13425718437086087
ALB,0.0,Peripheral Neuropathy,38,0.0,-0.13425718437086087
HTR2B,0.0,Deep Vein Thrombosis,27,0.0,-0.42163342962394484
HTR2B,6.0,Pneumonia,27,-0.1643448506488451,-0.42163342962394484
HTR2B,0.0,Proteinuria,27,0.0,-0.42163342962394484
HTR2B,0.0,Pulmonary Edema,27,0.0,-0.42163342962394484
HTR2B,3.0,Sepsis,27,-0.26482872159615906,-0.42163342962394484
HTR2B,2.0,Tardive Dyskinesia,27,-0.5114403626213804,-0.42163342962394484
HTR2B,0.0,Thrombocytopenia,27,0.0,-0.42163342962394484
HTR2B,0.0,Cerebral Infarction,27,0.0,-0.42163342962394484
HTR2B,1.0,Delirium,27,0.0226506539966209,-0.42163342962394484
HTR2B,1.0,Edema,27,-0.116281308388082,-0.42163342962394484
HTR2B,3.0,Gastric ulcer,27,-0.37013726424596055,-0.42163342962394484
HTR2B,0.0,Hemorrhage,27,0.0,-0.42163342962394484
HTR2B,2.0,Hyperlipidemia,27,-0.34067483235016116,-0.42163342962394484
HTR2B,2.0,Pancreatitis,27,-0.42843367537325605,-0.42163342962394484
HTR2B,7.0,Myocardial Infarction,27,-0.8340581633351464,-0.42163342962394484
HTR2B,0.0,Peripheral Neuropathy,27,0.0,-0.42163342962394484
CYP3A5,1.0,Cerebral Infarction,26,-0.5495417895309078,-0.4355316082206118
CYP2D6,0.0,Thrombocytopenia,26,0.0,-0.16592891179232985
CYP2D6,1.0,Tardive Dyskinesia,26,-0.7575862513884761,-0.16592891179232985
CYP2D6,3.0,Sepsis,26,0.7747045256889477,-0.16592891179232985
CYP2D6,0.0,Pulmonary Edema,26,0.0,-0.16592891179232985
CYP2D6,1.0,Proteinuria,26,-1.340930746824771,-0.16592891179232985
CYP2D6,4.0,Pneumonia,26,0.5528734369476487,-0.16592891179232985
ABCB1,0.0,Cerebral Infarction,26,0.0,-0.2600234607911549
CYP2D6,1.0,Pancreatitis,26,0.2210546295866837,-0.16592891179232985
CYP3A4,0.0,Cerebral Infarction,26,0.0,-0.4216145174687538
CYP3A4,0.0,Deep Vein Thrombosis,26,0.0,-0.4216145174687538
CYP3A4,1.0,Delirium,26,-0.2845567208125228,-0.4216145174687538
CYP3A4,0.0,Edema,26,0.0,-0.4216145174687538
CYP3A4,4.0,Gastric ulcer,26,-0.023993811480786047,-0.4216145174687538
CYP3A4,0.0,Hemorrhage,26,0.0,-0.4216145174687538
CYP3A4,1.0,Hyperlipidemia,26,-0.1655406646250501,-0.4216145174687538
CYP3A4,7.0,Myocardial Infarction,26,-0.9472302881788498,-0.4216145174687538
CYP3A4,1.0,Pancreatitis,26,-0.7851376622656989,-0.4216145174687538
CYP3A4,0.0,Peripheral Neuropathy,26,0.0,-0.4216145174687538
CYP3A4,6.0,Pneumonia,26,-0.11630572861921025,-0.4216145174687538
CYP3A4,0.0,Proteinuria,26,0.0,-0.4216145174687538
CYP3A4,0.0,Pulmonary Edema,26,0.0,-0.4216145174687538
CYP3A4,4.0,Sepsis,26,-0.2114309267093062,-0.4216145174687538
CYP2D6,0.0,Peripheral Neuropathy,26,0.0,-0.16592891179232985
CYP3A5,0.0,Peripheral Neuropathy,26,0.0,-0.4355316082206118
CYP2D6,7.0,Myocardial Infarction,26,-0.5101409430103097,-0.16592891179232985
