Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
CYP3A7,aripiprazole,Pneumonia,-0.6559961283807034,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,buprenorphine,Pneumonia,-0.2333058203883933,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,dexamethasone,Pneumonia,-0.2642539292953962,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,dextromethorphan,Pneumonia,-0.2596276404213178,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,fentanyl,Pneumonia,-0.3677379132473319,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,haloperidol,Pneumonia,-0.4222035195123546,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,iloperidone,Pneumonia,-0.3667479433831939,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,pimozide,Pneumonia,-0.2724390058424042,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,quetiapine,Pneumonia,-0.5482503791866318,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,sirolimus,Pneumonia,0.6991900349198463,10.0,-0.2691372244737881,43,-0.3816705180671904
CYP3A7,aripiprazole,Pancreatitis,-0.4884361485179074,2.0,-0.26644731492664775,43,-0.3816705180671904
CYP3A7,propranolol,Pancreatitis,-0.0444584813353881,2.0,-0.26644731492664775,43,-0.3816705180671904
CYP3A7,aripiprazole,Tardive Dyskinesia,-0.5549177615706657,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,buspirone,Tardive Dyskinesia,-1.1355173889866172,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,haloperidol,Tardive Dyskinesia,-0.5974019599710729,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,iloperidone,Tardive Dyskinesia,-0.9074846690488024,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,pimozide,Tardive Dyskinesia,-1.0042388336439263,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,quetiapine,Tardive Dyskinesia,-0.5675078345557392,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,trazodone,Tardive Dyskinesia,-1.1355480737708683,7.0,-0.8432309316496703,43,-0.3816705180671904
CYP3A7,imatinib,Thrombocytopenia,-0.1577439437870591,2.0,0.28087891118004205,43,-0.3816705180671904
CYP3A7,sirolimus,Thrombocytopenia,0.7195017661471432,2.0,0.28087891118004205,43,-0.3816705180671904
CYP3A7,cocaine,Sepsis,-0.1987468697915204,3.0,-0.15490647283746442,43,-0.3816705180671904
CYP3A7,dexamethasone,Sepsis,-0.2660121012499328,3.0,-0.15490647283746442,43,-0.3816705180671904
