,Count
CYP3A7,43
CYP1A2,40
ALB,38
HTR2B,27
ABCB1,26
CYP3A4,26
CYP3A5,26
CYP2D6,26
ADRA2C,22
CYP2E1,20
HTR7,18
HTR2C,17
ADRA2B,17
CYP2C8,17
CHRM5,15
HTR1B,14
HTR1A,14
HTR1D,14
ABCB11,13
UGT1A1,13
HRH2,13
ADRA2A,13
SLC22A1,13
HTR5A,12
HTR2A,12
CYP2C9,12
CYP2C19,12
HRH4,12
UGT1A4,11
CHRM1,11
ADRA1A,11
CHRM4,11
Htr2c,10
CYP1B1,10
CHRM3,10
CALM3,10
ABCG2,10
DRD2,9
SLC6A3,9
ADRB1,8
DRD1,8
HRH3,8
CHRM2,8
ADRB2,8
DRD5,8
CHRNA4,8
HRH1,7
SLC22A7,7
ORM1,7
SLC15A1,7
SLC6A4,7
HTR1E,6
KCNH2,6
BCHE,6
OPRD1,6
OPRK1,6
OPRM1,6
GSTP1,6
AOX1,6
ADORA2B,6
CYP2B6,6
SLC22A2,5
ADRA1B,5
CHRNB2,5
GRIN3A,5
SLC22A3,5
SLCO2B1,5
ADRA1D,5
UGT2B10,5
CYP11A1,4
CYP19A1,4
NR1I2,4
ORM2,4
SLC7A5,4
CYP1A1,4
KCNQ5,4
CYP2C18,4
SLC22A4,4
SLCO1B3,4
SERPINA7,4
CACNA1B,4
KCNQ3,4
SLC36A1,4
ADRB3,4
SIGMAR1,4
CYP2A6,4
GLRA1,4
KCND3,4
BDKRB1,4
DRD3,4
SLC6A2,4
KCND2,4
SLC9A1,3
HGF,3
UGT1A7,3
UGT1A10,3
PDGFRB,3
PDGFRA,3
PPARA,3
RET,3
UGT1A9,3
SLC47A1,3
GRIN2B,3
GRIN2A,3
PF4,3
FGF1,3
FGF19,3
FGF2,3
FGF4,3
FGFR1,3
FGFR2,3
CES1,3
UGT1A8,3
HTR6,3
CHRNA3,3
CYP11B1,3
HSD11B1,3
HSD11B2,3
SLC22A8,3
TYK2,3
SLC22A5,3
NFKB1,3
FGFR4,3
PAH,3
COMT,3
BCR,3
CYP11B2,2
NR4A3,2
TRPV1,2
TACR1,2
SCN2A,2
MAOB,2
KCNH1,2
CYP17A1,2
ADORA1,2
SULT1A3,2
AKR1B10,2
DRD4,2
LY96,2
HTR3A,2
MAOA,2
SLCO1B1,2
PPAT,2
SLC18A2,2
HSD17B2,2
CSK,2
CHRNB4,2
CHRNA2,2
PPARG,2
NCOA2,2
MT-ATP6,2
GPER1,2
AR,2
ESRRG,2
BECN1,2
FRK,2
FGR,2
EPHB4,2
BTK,2
CKS1B,2
EPHA5,2
MAPK14,2
GARS,2
GARS1,2
GLYATL1,2
GLYATL2,2
MAP3K20,2
MCHR1,2
HSPA8,2
LYN,2
CPNE1,1
IL1B,1
CHRNA7,1
CES2,1
TNFAIP6,1
NOS1,1
tynA,1
ESR1,1
HM13,1
TTLL3,1
RIC3,1
PARP1,1
NOMO1,1
SLCO1A2,1
NR3C2,1
AKR1C1,1
NR1I3,1
SCN5A,1
KCNJ4,1
GP1BA,1
S100A7,1
UGT2B4,1
KCNJ2,1
SCN4A,1
SCN9A,1
SLC2A9,1
UGT2B17,1
UGT2B7,1
SCN11A,1
rpsD,1
rpsI,1
OPRL1,1
TLR4,1
PTGS1,1
AKR1C2,1
AKR1C3,1
AKR1C4,1
CBR1,1
CBR3,1
PLAT,1
