,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCB1,-0.11329566388638299,0.7915974134940081,-0.818613548972376,2.3878245537366585,-1.4728436305229788
ABCB11,0.3172528023744974,,0.3172528023744974,0.3172528023744974,0.3172528023744974
ADRA1A,-0.4060307251591229,0.32265621774023673,-0.8673038141375802,0.1308612357733878,-3.654276526432106
ADRA1B,-0.4167390504239914,0.3698140630400011,-0.6820592237269825,0.1308612357733878,-1.6669562016959656
ADRA1D,-0.4167390504239914,0.3698140630400011,-0.6820592237269825,0.1308612357733878,-1.6669562016959656
ADRA2A,-0.3380886997908217,0.35258719214359957,-0.9282152844089424,0.401810761221526,-3.7189756976990385
ADRA2B,-0.3607424569631991,0.4423627697343152,-1.360518672475873,0.401810761221526,-5.411136854447987
ADRA2C,-0.3739734984855536,0.40728652753556593,-1.360518672475873,0.401810761221526,-7.479469969711072
ADRB1,-0.29339757626991325,0.3720798489534721,-0.5564977606077797,-0.0302973919320468,-0.5867951525398265
ADRB2,-0.29339757626991325,0.3720798489534721,-0.5564977606077797,-0.0302973919320468,-0.5867951525398265
ADRB3,-0.4938459875744196,0.3278825961931992,-0.8698317743030746,-0.267343186135438,-1.4815379627232588
CACNA1B,-0.3059212743427677,0.3991264256630476,-0.68586457362575,0.0787767388431266,-1.223685097371071
CALM3,-0.6115227690424927,0.3619471041817484,-1.1762069099477337,-0.2098084951311083,-6.115227690424927
CHRM1,-0.5230306697185765,0.3493867117935009,-1.3298291530646846,-0.2004136481148748,-4.707276027467188
CHRM2,-0.547877672286093,0.364910497908833,-1.3298291530646846,-0.2004136481148748,-4.383021378288744
CHRM3,-0.547877672286093,0.36491049790883295,-1.3298291530646846,-0.2004136481148748,-4.383021378288744
CHRM4,-0.547877672286093,0.364910497908833,-1.3298291530646846,-0.2004136481148748,-4.383021378288744
CHRM5,-0.47497607784256435,0.30565220917866676,-1.3298291530646846,-0.116281308388082,-6.649665089795901
CYP11A1,-0.4224422563159682,0.3402958676204885,-0.93218411340378,-0.2273188813147637,-1.6897690252638728
CYP11B2,-0.596203513472795,0.34143708364095837,-0.8376359906638751,-0.3547710362817149,-1.19240702694559
