Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP1A2,0.0,Thrombocytopenia,37,0.0,-0.4438994323247603
CYP1A2,3.0,Tardive Dyskinesia,37,-0.9470926101283373,-0.4438994323247603
CYP1A2,0.0,Deep Vein Thrombosis,37,0.0,-0.4438994323247603
CYP1A2,3.0,Delirium,37,-0.18004112689951057,-0.4438994323247603
CYP1A2,2.0,Edema,37,-0.16453277158813776,-0.4438994323247603
CYP1A2,3.0,Gastric ulcer,37,-0.007061855197649773,-0.4438994323247603
CYP1A2,0.0,Hemorrhage,37,0.0,-0.4438994323247603
CYP1A2,1.0,Hyperlipidemia,37,-0.7238184736771327,-0.4438994323247603
CYP1A2,9.0,Myocardial Infarction,37,-0.8175050347281494,-0.4438994323247603
CYP1A2,4.0,Pancreatitis,37,-0.6286871148436712,-0.4438994323247603
CYP1A2,0.0,Peripheral Neuropathy,37,0.0,-0.4438994323247603
CYP1A2,8.0,Pneumonia,37,-0.20652137546785895,-0.4438994323247603
CYP1A2,0.0,Proteinuria,37,0.0,-0.4438994323247603
CYP1A2,1.0,Pulmonary Edema,37,0.7312326029000751,-0.4438994323247603
CYP1A2,2.0,Sepsis,37,-0.3130171200922476,-0.4438994323247603
CYP1A2,1.0,Cerebral Infarction,37,-0.5495417895309078,-0.4438994323247603
CYP3A5,1.0,Cerebral Infarction,26,-0.5495417895309078,-0.4355316082206118
CYP2D6,1.0,Cerebral Infarction,26,-0.5495417895309078,-0.16592891179232985
CYP2D6,3.0,Sepsis,26,0.7747045256889477,-0.16592891179232985
CYP2D6,0.0,Pulmonary Edema,26,0.0,-0.16592891179232985
CYP2D6,1.0,Proteinuria,26,-1.340930746824771,-0.16592891179232985
CYP2D6,4.0,Pneumonia,26,0.5528734369476487,-0.16592891179232985
CYP2D6,0.0,Peripheral Neuropathy,26,0.0,-0.16592891179232985
CYP2D6,1.0,Pancreatitis,26,0.2210546295866837,-0.16592891179232985
CYP2D6,7.0,Myocardial Infarction,26,-0.5101409430103097,-0.16592891179232985
