,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCA3,-0.1577439437870591,,-0.1577439437870591,-0.1577439437870591,-0.1577439437870591
ABCA5,-0.0850320728298843,,-0.0850320728298843,-0.0850320728298843,-0.0850320728298843
ABCB1,-0.3432746295728264,0.5577620088724359,-1.340930746824771,2.580384974496262,-40.84968091916634
ABCB11,-0.32312717977965527,0.4060564905492099,-0.93218411340378,0.3172528023744974,-1.9387630786779315
ABCC1,-0.39117172012613743,0.15857820580253154,-0.5173696063400754,-0.2083824715407445,-1.9558586006306873
ABCC10,-0.4569307938774507,0.17636355244677138,-0.5816386577667121,-0.3322229299881893,-0.9138615877549014
ABCC2,-0.3922483982303828,0.4291618361322911,-0.943374659083517,0.3977086226612929,-3.1379871858430626
ABCC4,-0.23969590077172995,0.20195920481062238,-0.4705952514928366,0.0721334065028944,-1.1984795038586498
ABCC5,-0.244250962419704,,-0.244250962419704,-0.244250962419704,-0.244250962419704
ABCG2,-0.2324644003785926,0.3543482095757851,-0.943374659083517,0.656957082371072,-5.811610009464815
ABL1,0.016197883509001965,0.5450352813224049,-0.9458878868462754,0.656957082371072,0.0971873010540118
ABL2,0.41938477174102484,0.33597798373732646,0.1818124611109777,0.656957082371072,0.8387695434820497
ACACA,-1.1705119419266277,,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
ACACB,-1.1705119419266277,,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
ACAT1,-0.4929166784717722,,-0.4929166784717722,-0.4929166784717722,-0.4929166784717722
ACE,-0.5297276125581747,0.769206582137139,-1.340930746824771,0.4786825935646952,-2.1189104502326988
ACHE,-0.482013522098871,,-0.482013522098871,-0.482013522098871,-0.482013522098871
ADA,-0.27847328458170306,0.4616245384875845,-0.6048911261083845,0.0479445569449783,-0.5569465691634061
ADAMTS4,-0.11882601332882044,0.2238077321472723,-0.3590972515014865,0.0837244105509213,-0.3564780399864613
ADK,-0.6048911261083845,,-0.6048911261083845,-0.6048911261083845,-0.6048911261083845
ADORA1,-0.29751378004090523,0.2707849579097659,-0.68586457362575,0.0787767388431266,-4.165192920572673
