,Count
CYP3A7,43
ALB,38
CYP3A4,17
ABCB1,13
UGT1A1,12
ABCB11,12
UGT1A4,11
HTR2B,11
Htr2c,10
ABCG2,10
HTR7,10
HTR2C,9
CHRNA4,8
SLC15A1,7
SLC22A7,7
SLC6A4,7
HRH1,7
HRH2,7
OPRD1,6
HTR5A,6
DRD2,6
ADORA2B,6
AOX1,6
BCHE,6
GSTP1,6
KCNH2,6
ADRB1,6
ADRB2,6
HRH3,6
HRH4,6
SLC6A3,6
OPRM1,6
OPRK1,6
CYP2C19,5
SLC22A2,5
SLC22A1,5
SLCO2B1,5
ORM1,5
CHRNB2,5
UGT2B10,5
SLC7A5,4
KCNQ5,4
SERPINA7,4
NR1I2,4
KCNQ3,4
HTR2A,4
ORM2,4
HTR1A,4
SLC36A1,4
SIGMAR1,4
SLCO1B3,4
GLRA1,4
CYP2C8,4
SLC22A3,4
BDKRB1,4
SLC9A1,3
UGT1A10,3
TYK2,3
NFKB1,3
CHRNA3,3
PPARA,3
CHRM4,3
UGT1A8,3
UGT1A7,3
FGF19,3
FGF1,3
SLC47A1,3
FGF2,3
FGF4,3
FGFR1,3
FGFR2,3
FGFR4,3
HGF,3
PF4,3
COMT,3
PDGFRA,3
SLC22A4,3
PDGFRB,3
RET,3
CES1,3
HSD11B2,3
HSD11B1,3
BCR,3
HTR6,3
SLC22A8,3
CYP1A2,3
CYP11B1,3
HSPA8,2
FRK,2
FGR,2
MAP3K20,2
EPHB4,2
EPHA5,2
CHRM1,2
CSK,2
MAPK14,2
NCOA2,2
ADORA1,2
BTK,2
PPAT,2
KCNH1,2
LY96,2
AKR1B10,2
SLCO1B1,2
MAOA,2
DRD3,2
DRD4,2
SULT1A3,2
MAOB,2
NR4A3,2
LYN,2
SLC18A2,2
CKS1B,2
SCN2A,2
HSD17B2,2
PPARG,2
GPER1,2
MCHR1,2
ESRRG,2
BECN1,2
CHRNA2,2
CHRNB4,2
UGT1A9,2
TACR1,2
AR,2
GARS1,2
GLYATL1,2
GLYATL2,2
ADRA1A,2
ADRA2A,2
ADRA2B,2
ADRA2C,2
TRPV1,2
CHRM3,2
MT-ATP6,2
ADRB3,1
CES2,1
OPRL1,1
PARP1,1
ESR1,1
NR3C2,1
CPNE1,1
HM13,1
NOMO1,1
RIC3,1
TTLL3,1
CHRM5,1
CHRNA7,1
ADRA1B,1
ADRA1D,1
NR1I3,1
CBR3,1
SLC6A2,1
NOS1,1
IL1B,1
tynA,1
CYP2B6,1
GP1BA,1
S100A7,1
SCN4A,1
TNFAIP6,1
SLC2A9,1
UGT2B17,1
TLR4,1
rpsD,1
CBR1,1
rpsI,1
SCN11A,1
CYP2E1,1
UGT2B7,1
UGT2B4,1
KCNJ4,1
KCNJ2,1
AKR1C1,1
AKR1C2,1
AKR1C3,1
AKR1C4,1
SCN9A,1
