,Count
CYP3A4,179
CYP2D6,158
CYP1A2,121
ABCB1,119
DRD2,108
HTR2A,103
HTR1A,97
ADRA1A,94
CYP2C9,89
ADRA2A,88
CYP3A5,87
HTR2C,86
CYP2C19,81
DRD1,80
DRD3,76
ADRA2C,73
ADRA1B,73
HTR1D,72
CHRM1,72
HTR1B,71
HRH1,71
DRD4,70
ADRA2B,68
CHRM3,63
CHRM2,61
CYP2C8,59
HTR7,56
CHRM4,54
ALB,54
CYP2E1,53
CHRM5,52
DRD5,50
HTR6,49
SLC6A4,44
SLC6A2,42
HTR3A,42
CYP1A1,39
CYP2B6,39
HTR2B,37
ORM1,35
HTR1E,31
ADRA1D,31
PTGS1,28
OPRM1,27
OPRK1,26
OPRD1,26
CYP1B1,25
SLC22A2,25
ABCG2,25
HRH4,25
SLC22A1,25
PTGS2,25
SLC6A3,22
CYP2A6,22
ADRB1,21
ADRB2,18
FMO3,17
HRH2,16
SLC22A6,16
SLCO1A2,15
PLG,15
ADORA1,14
MAOA,13
UGT1A1,12
HTR5A,11
CYP2C18,11
MPO,11
FGA,11
PLAUR,11
SERPINE1,11
SLCO1B1,10
CALM3,10
TNF,10
FGFR2,9
SERPINC1,9
SLC22A8,9
KCNH2,9
ADORA2A,9
SLC22A5,9
KDR,9
CALY,9
UGT1A4,9
PDE4B,8
GNRHR,8
SLC22A11,8
ABCC2,8
GRIN3A,8
SIGMAR1,7
P2RY12,7
SLC22A3,7
SRC,7
KCND3,7
KCND2,7
HTR1F,7
EGFR,7
UGT2B7,6
CYP19A1,6
UGT1A9,6
KIT,6
XDH,6
LCK,6
RYR1,6
PRKDC,6
PIK3CD,6
PIK3CA,6
PIK3CB,6
ABL1,6
ADRB3,6
ABCB11,6
SLC16A10,6
VEGFA,6
ATM,6
NTRK1,6
LYN,5
PDGFRA,5
MMP9,5
F10,5
ABCC1,5
FLT4,5
GRIN2A,5
FGFR3,5
DDC,5
CYP11A1,5
CYP17A1,5
GRIN2B,5
SLC22A4,5
FGFR1,5
FLT1,5
PDGFRB,5
UGT1A8,5
TEK,5
ABCC4,5
UGT1A3,5
ESR1,5
ITGB3,4
PAH,4
FMO1,4
JAK2,4
JAK1,4
HPSE,4
CYP3A43,4
SLCO2B1,4
SLCO1B3,4
CANX,4
SELP,4
PPARD,4
SCN5A,4
SHBG,4
UGT2B4,4
AGTR1,4
CALR,4
SERPINB2,4
LRP1,4
SSTR5,4
CLEC3B,4
KLK1,4
PRSS1,4
CACNA1B,4
CACNA2D2,4
KCNQ3,4
CACNA2D1,4
BCAT1,4
KCNQ2,4
KCNA1,4
NFKB1,4
FLT3,4
SSTR1,4
NTRK2,4
CRBN,4
IL2RB,4
IL2RA,4
RET,4
SSTR2,4
ACE,4
MMP2,4
LTA4H,4
KRT8,4
ANXA2,4
NR3C1,3
CYP4A11,3
ALOX5,3
NOS2,3
PPARG,3
PTGIR,3
LHCGR,3
ANXA1,3
NR0B1,3
NR1I2,3
GABRA1,3
ERBB2,3
C1R,3
FCGR3B,3
FKBP1A,3
C1QA,3
PTK6,3
FABP2,3
SMPD1,3
GRIN1,3
SLC7A5,3
SLC7A8,3
CXCR1,3
IL2,3
C1QB,3
CXCL12,3
JAK3,3
ITGA4,3
NFATC1,3
FCGR1A,3
C1QC,3
CBR1,3
FCGR2C,3
EPHA2,3
FCGR3A,3
FCGR2A,3
FCGR2B,3
ADAMTS4,3
GRIN2C,2
ALAS2,2
GNMT,2
GSS,2
GRIN3B,2
GATM,2
SHMT2,2
AGXT,2
CYP11B2,2
GCSH,2
MTOR,2
PDE5A,2
PDE4A,2
TLR4,2
CREB1,2
UGT2B15,2
HRH3,2
HTR4,2
GLDC,2
