Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
CYP3A4,bosutinib,Thrombocytopenia,-0.9458878868462754,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,caffeine,Thrombocytopenia,-0.1125481496176217,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,dasatinib,Thrombocytopenia,0.1818124611109777,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,erlotinib,Thrombocytopenia,-0.209358653502111,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,imatinib,Thrombocytopenia,-0.1577439437870591,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,osimertinib,Thrombocytopenia,-0.1029224797047856,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,pazopanib,Thrombocytopenia,0.1885610217331716,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,ponatinib,Thrombocytopenia,0.3172528023744974,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,regorafenib,Thrombocytopenia,0.0447967858307993,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,ruxolitinib,Thrombocytopenia,-0.901171744637054,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,sirolimus,Thrombocytopenia,0.7195017661471432,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,vandetanib,Thrombocytopenia,-0.5086325303680272,12.0,-0.12386171260552875,179,-0.3567342531102537
CYP3A4,amitriptyline,Tardive Dyskinesia,-0.7264757988413955,20.0,-0.7259214903666616,179,-0.3567342531102537
CYP3A4,aripiprazole,Tardive Dyskinesia,-0.5549177615706657,20.0,-0.7259214903666616,179,-0.3567342531102537
CYP3A4,asenapine,Tardive Dyskinesia,-0.7536416673914612,20.0,-0.7259214903666616,179,-0.3567342531102537
CYP3A4,buspirone,Tardive Dyskinesia,-1.1355173889866172,20.0,-0.7259214903666616,179,-0.3567342531102537
CYP3A4,chlorpromazine,Tardive Dyskinesia,-0.5103477945881192,20.0,-0.7259214903666616,179,-0.3567342531102537
CYP3A4,clozapine,Tardive Dyskinesia,-0.5461305563546084,20.0,-0.7259214903666616,179,-0.3567342531102537
