Gene,Version 1 Adverse Event Count,Version 2 Adverse Event Count,Adverse Event,All Records Version 1 Count,All Records Version 2 Count,Adverse Event Count Difference,All Records Count Difference
ABCA3,1.0,1.0,Thrombocytopenia,1.0,1.0,0.0,0.0
ABCA5,1.0,1.0,Hyperlipidemia,1.0,1.0,0.0,0.0
ABCB1,7.0,6.0,Pancreatitis,119.0,119.0,-1.0,0.0
ABCB1,24.0,24.0,Pneumonia,119.0,119.0,0.0,0.0
ABCB1,22.0,23.0,Myocardial Infarction,119.0,119.0,1.0,0.0
ABCB1,2.0,1.0,Pulmonary Edema,119.0,119.0,-1.0,0.0
ABCB1,6.0,7.0,Edema,119.0,119.0,1.0,0.0
ABCB1,14.0,16.0,Tardive Dyskinesia,119.0,119.0,2.0,0.0
ABCB1,1.0,1.0,Proteinuria,119.0,119.0,0.0,0.0
ABCB1,8.0,7.0,Hyperlipidemia,119.0,119.0,-1.0,0.0
ABCB1,11.0,10.0,Thrombocytopenia,119.0,119.0,-1.0,0.0
ABCB1,7.0,6.0,Sepsis,119.0,119.0,-1.0,0.0
ABCB1,6.0,7.0,Delirium,119.0,119.0,1.0,0.0
ABCB1,11.0,11.0,Gastric ulcer,119.0,119.0,0.0,0.0
ABCB11,0.0,1.0,Delirium,6.0,17.0,1.0,11.0
ABCB11,0.0,1.0,Gastric ulcer,6.0,17.0,1.0,11.0
ABCB11,0.0,1.0,Hyperlipidemia,6.0,17.0,1.0,11.0
ABCB11,1.0,2.0,Tardive Dyskinesia,6.0,17.0,1.0,11.0
ABCB11,1.0,1.0,Thrombocytopenia,6.0,17.0,0.0,11.0
ABCB11,1.0,4.0,Myocardial Infarction,6.0,17.0,3.0,11.0
ABCB11,1.0,2.0,Sepsis,6.0,17.0,1.0,11.0
ABCB11,2.0,3.0,Pneumonia,6.0,17.0,1.0,11.0
ABCB11,0.0,2.0,Pancreatitis,6.0,17.0,2.0,11.0
ABCC1,1.0,1.0,Hyperlipidemia,5.0,5.0,0.0,0.0
ABCC1,1.0,1.0,Thrombocytopenia,5.0,5.0,0.0,0.0
ABCC1,1.0,1.0,Pancreatitis,5.0,5.0,0.0,0.0
ABCC1,1.0,1.0,Gastric ulcer,5.0,5.0,0.0,0.0
ABCC1,1.0,1.0,Proteinuria,5.0,5.0,0.0,0.0
ABCC10,1.0,1.0,Myocardial Infarction,2.0,2.0,0.0,0.0
ABCC10,1.0,1.0,Hyperlipidemia,2.0,2.0,0.0,0.0
ABCC2,1.0,1.0,Hyperlipidemia,8.0,8.0,0.0,0.0
ABCC2,2.0,2.0,Sepsis,8.0,8.0,0.0,0.0
ABCC2,2.0,2.0,Pancreatitis,8.0,8.0,0.0,0.0
ABCC2,2.0,2.0,Myocardial Infarction,8.0,8.0,0.0,0.0
ABCC2,1.0,1.0,Pneumonia,8.0,8.0,0.0,0.0
ABCC4,1.0,1.0,Gastric ulcer,5.0,5.0,0.0,0.0
ABCC4,1.0,1.0,Sepsis,5.0,5.0,0.0,0.0
ABCC4,1.0,1.0,Myocardial Infarction,5.0,5.0,0.0,0.0
ABCC4,1.0,1.0,Hyperlipidemia,5.0,5.0,0.0,0.0
ABCC4,1.0,1.0,Pancreatitis,5.0,5.0,0.0,0.0
ABCC5,1.0,1.0,Hyperlipidemia,1.0,1.0,0.0,0.0
ABCG2,3.0,4.0,Sepsis,25.0,35.0,1.0,10.0
ABCG2,2.0,4.0,Pancreatitis,25.0,35.0,2.0,10.0
ABCG2,1.0,2.0,Pulmonary Edema,25.0,35.0,1.0,10.0
ABCG2,0.0,1.0,Edema,25.0,35.0,1.0,10.0
ABCG2,1.0,1.0,Proteinuria,25.0,35.0,0.0,10.0
ABCG2,8.0,10.0,Thrombocytopenia,25.0,35.0,2.0,10.0
ABCG2,4.0,4.0,Hyperlipidemia,25.0,35.0,0.0,10.0
ABCG2,0.0,2.0,Gastric ulcer,25.0,35.0,2.0,10.0
ABCG2,2.0,2.0,Myocardial Infarction,25.0,35.0,0.0,10.0
ABCG2,3.0,4.0,Pneumonia,25.0,35.0,1.0,10.0
ABCG2,1.0,1.0,Delirium,25.0,35.0,0.0,10.0
ABL1,5.0,5.0,Thrombocytopenia,6.0,6.0,0.0,0.0
ABL1,1.0,1.0,Pulmonary Edema,6.0,6.0,0.0,0.0
ABL2,1.0,1.0,Pulmonary Edema,2.0,2.0,0.0,0.0
ABL2,1.0,1.0,Thrombocytopenia,2.0,2.0,0.0,0.0
ACACA,1.0,1.0,Thrombocytopenia,1.0,1.0,0.0,0.0
ACACB,1.0,1.0,Thrombocytopenia,1.0,1.0,0.0,0.0
ACAT1,1.0,1.0,Sepsis,1.0,1.0,0.0,0.0
ACE,1.0,1.0,Edema,4.0,4.0,0.0,0.0
ACE,1.0,1.0,Proteinuria,4.0,4.0,0.0,0.0
ACE,1.0,1.0,Gastric ulcer,4.0,4.0,0.0,0.0
ACE,1.0,1.0,Myocardial Infarction,4.0,4.0,0.0,0.0
ACHE,1.0,1.0,Gastric ulcer,1.0,1.0,0.0,0.0
ADA,1.0,1.0,Sepsis,2.0,2.0,0.0,0.0
ADA,1.0,1.0,Myocardial Infarction,2.0,2.0,0.0,0.0
ADAMTS4,1.0,1.0,Hemorrhage,3.0,3.0,0.0,0.0
ADAMTS4,1.0,1.0,Pneumonia,3.0,3.0,0.0,0.0
ADAMTS4,1.0,1.0,Myocardial Infarction,3.0,3.0,0.0,0.0
ADK,1.0,1.0,Myocardial Infarction,1.0,1.0,0.0,0.0
ADORA1,2.0,2.0,Edema,14.0,16.0,0.0,2.0
ADORA1,1.0,2.0,Pneumonia,14.0,16.0,1.0,2.0
ADORA1,1.0,1.0,Hyperlipidemia,14.0,16.0,0.0,2.0
ADORA1,1.0,1.0,Pulmonary Edema,14.0,16.0,0.0,2.0
ADORA1,2.0,3.0,Myocardial Infarction,14.0,16.0,1.0,2.0
ADORA1,4.0,4.0,Sepsis,14.0,16.0,0.0,2.0
ADORA1,1.0,1.0,Pancreatitis,14.0,16.0,0.0,2.0
ADORA1,1.0,1.0,Thrombocytopenia,14.0,16.0,0.0,2.0
ADORA1,1.0,1.0,Gastric ulcer,14.0,16.0,0.0,2.0
ADORA2A,2.0,2.0,Sepsis,9.0,9.0,0.0,0.0
ADORA2A,1.0,1.0,Myocardial Infarction,9.0,9.0,0.0,0.0
ADORA2A,1.0,1.0,Gastric ulcer,9.0,9.0,0.0,0.0
ADORA2A,1.0,1.0,Thrombocytopenia,9.0,9.0,0.0,0.0
ADORA2A,1.0,1.0,Pulmonary Edema,9.0,9.0,0.0,0.0
ADORA2A,2.0,2.0,Edema,9.0,9.0,0.0,0.0
ADORA2A,1.0,1.0,Pancreatitis,9.0,9.0,0.0,0.0
ADORA2B,0.0,1.0,Edema,2.0,8.0,1.0,6.0
ADORA2B,0.0,1.0,Pulmonary Edema,2.0,8.0,1.0,6.0
ADORA2B,1.0,2.0,Sepsis,2.0,8.0,1.0,6.0
ADORA2B,0.0,1.0,Gastric ulcer,2.0,8.0,1.0,6.0
ADORA2B,0.0,1.0,Thrombocytopenia,2.0,8.0,1.0,6.0
ADORA2B,1.0,1.0,Myocardial Infarction,2.0,8.0,0.0,6.0
ADORA2B,0.0,1.0,Pancreatitis,2.0,8.0,1.0,6.0
ADRA1A,12.0,12.0,Edema,94.0,87.0,0.0,-7.0
ADRA1A,6.0,5.0,Gastric ulcer,94.0,87.0,-1.0,-7.0
ADRA1A,15.0,14.0,Tardive Dyskinesia,94.0,87.0,-1.0,-7.0
ADRA1A,1.0,1.0,Cerebral Infarction,94.0,87.0,0.0,-7.0
ADRA1A,8.0,7.0,Delirium,94.0,87.0,-1.0,-7.0
ADRA1A,4.0,3.0,Hyperlipidemia,94.0,87.0,-1.0,-7.0
ADRA1A,2.0,2.0,Sepsis,94.0,87.0,0.0,-7.0
ADRA1A,6.0,6.0,Pancreatitis,94.0,87.0,0.0,-7.0
ADRA1A,20.0,18.0,Myocardial Infarction,94.0,87.0,-2.0,-7.0
ADRA1A,20.0,19.0,Pneumonia,94.0,87.0,-1.0,-7.0
ADRA1B,4.0,4.0,Gastric ulcer,73.0,70.0,0.0,-3.0
ADRA1B,10.0,9.0,Tardive Dyskinesia,73.0,70.0,-1.0,-3.0
ADRA1B,4.0,3.0,Hyperlipidemia,73.0,70.0,-1.0,-3.0
ADRA1B,6.0,6.0,Pancreatitis,73.0,70.0,0.0,-3.0
ADRA1B,11.0,11.0,Edema,73.0,70.0,0.0,-3.0
ADRA1B,14.0,15.0,Myocardial Infarction,73.0,70.0,1.0,-3.0
ADRA1B,1.0,1.0,Cerebral Infarction,73.0,70.0,0.0,-3.0
ADRA1B,2.0,2.0,Sepsis,73.0,70.0,0.0,-3.0
ADRA1B,14.0,13.0,Pneumonia,73.0,70.0,-1.0,-3.0
ADRA1B,7.0,6.0,Delirium,73.0,70.0,-1.0,-3.0
ADRA1D,1.0,0.0,Hyperlipidemia,31.0,28.0,-1.0,-3.0
ADRA1D,1.0,1.0,Sepsis,31.0,28.0,0.0,-3.0
ADRA1D,2.0,1.0,Tardive Dyskinesia,31.0,28.0,-1.0,-3.0
ADRA1D,8.0,9.0,Myocardial Infarction,31.0,28.0,1.0,-3.0
ADRA1D,3.0,2.0,Delirium,31.0,28.0,-1.0,-3.0
ADRA1D,2.0,2.0,Pancreatitis,31.0,28.0,0.0,-3.0
ADRA1D,7.0,7.0,Edema,31.0,28.0,0.0,-3.0
ADRA1D,3.0,3.0,Gastric ulcer,31.0,28.0,0.0,-3.0
ADRA1D,4.0,3.0,Pneumonia,31.0,28.0,-1.0,-3.0
ADRA2A,6.0,5.0,Pancreatitis,88.0,79.0,-1.0,-9.0
ADRA2A,6.0,5.0,Gastric ulcer,88.0,79.0,-1.0,-9.0
ADRA2A,12.0,12.0,Tardive Dyskinesia,88.0,79.0,0.0,-9.0
ADRA2A,4.0,3.0,Sepsis,88.0,79.0,-1.0,-9.0
ADRA2A,19.0,17.0,Pneumonia,88.0,79.0,-2.0,-9.0
ADRA2A,4.0,3.0,Hyperlipidemia,88.0,79.0,-1.0,-9.0
ADRA2A,1.0,1.0,Cerebral Infarction,88.0,79.0,0.0,-9.0
ADRA2A,6.0,6.0,Delirium,88.0,79.0,0.0,-9.0
ADRA2A,10.0,9.0,Edema,88.0,79.0,-1.0,-9.0
ADRA2A,20.0,18.0,Myocardial Infarction,88.0,79.0,-2.0,-9.0
ADRA2B,5.0,5.0,Delirium,68.0,55.0,0.0,-13.0
ADRA2B,12.0,9.0,Myocardial Infarction,68.0,55.0,-3.0,-13.0
ADRA2B,9.0,9.0,Tardive Dyskinesia,68.0,55.0,0.0,-13.0
ADRA2B,14.0,11.0,Pneumonia,68.0,55.0,-3.0,-13.0
ADRA2B,4.0,3.0,Hyperlipidemia,68.0,55.0,-1.0,-13.0
ADRA2B,8.0,7.0,Edema,68.0,55.0,-1.0,-13.0
ADRA2B,5.0,3.0,Gastric ulcer,68.0,55.0,-2.0,-13.0
ADRA2B,4.0,2.0,Sepsis,68.0,55.0,-2.0,-13.0
ADRA2B,1.0,1.0,Cerebral Infarction,68.0,55.0,0.0,-13.0
ADRA2B,6.0,5.0,Pancreatitis,68.0,55.0,-1.0,-13.0
ADRA2C,17.0,13.0,Pneumonia,73.0,55.0,-4.0,-18.0
ADRA2C,13.0,8.0,Myocardial Infarction,73.0,55.0,-5.0,-18.0
ADRA2C,4.0,3.0,Hyperlipidemia,73.0,55.0,-1.0,-18.0
ADRA2C,1.0,1.0,Cerebral Infarction,73.0,55.0,0.0,-18.0
ADRA2C,4.0,1.0,Sepsis,73.0,55.0,-3.0,-18.0
ADRA2C,5.0,5.0,Delirium,73.0,55.0,0.0,-18.0
ADRA2C,10.0,10.0,Tardive Dyskinesia,73.0,55.0,0.0,-18.0
ADRA2C,5.0,3.0,Gastric ulcer,73.0,55.0,-2.0,-18.0
ADRA2C,8.0,6.0,Edema,73.0,55.0,-2.0,-18.0
ADRA2C,6.0,5.0,Pancreatitis,73.0,55.0,-1.0,-18.0
ADRB1,3.0,3.0,Pneumonia,21.0,25.0,0.0,4.0
ADRB1,2.0,3.0,Tardive Dyskinesia,21.0,25.0,1.0,4.0
ADRB1,6.0,6.0,Myocardial Infarction,21.0,25.0,0.0,4.0
ADRB1,1.0,1.0,Sepsis,21.0,25.0,0.0,4.0
ADRB1,2.0,2.0,Gastric ulcer,21.0,25.0,0.0,4.0
ADRB1,2.0,3.0,Pancreatitis,21.0,25.0,1.0,4.0
ADRB1,5.0,5.0,Edema,21.0,25.0,0.0,4.0
ADRB1,0.0,1.0,Delirium,21.0,25.0,1.0,4.0
ADRB1,0.0,1.0,Hyperlipidemia,21.0,25.0,1.0,4.0
ADRB2,4.0,4.0,Edema,18.0,22.0,0.0,4.0
ADRB2,0.0,1.0,Hyperlipidemia,18.0,22.0,1.0,4.0
ADRB2,2.0,3.0,Pancreatitis,18.0,22.0,1.0,4.0
ADRB2,6.0,6.0,Myocardial Infarction,18.0,22.0,0.0,4.0
ADRB2,1.0,1.0,Sepsis,18.0,22.0,0.0,4.0
ADRB2,1.0,2.0,Tardive Dyskinesia,18.0,22.0,1.0,4.0
ADRB2,2.0,2.0,Gastric ulcer,18.0,22.0,0.0,4.0
