Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
TNF,24.0,Tardive Dyskinesia,330,-0.7511245830492573,-0.3611400687678749
TNF,19.0,Hyperlipidemia,330,-0.3034492896799361,-0.3611400687678749
TNF,0.0,Thrombocytopenia,330,0.0,-0.3611400687678749
TNF,5.0,Cerebral Infarction,330,-0.6313298223058947,-0.3611400687678749
TNF,0.0,Deep Vein Thrombosis,330,0.0,-0.3611400687678749
TNF,11.0,Delirium,330,-0.044869343523860294,-0.3611400687678749
TNF,26.0,Gastric ulcer,330,-0.11378164600453868,-0.3611400687678749
TNF,12.0,Hemorrhage,330,-0.37506576263153263,-0.3611400687678749
TNF,18.0,Edema,330,-0.2616585861011098,-0.3611400687678749
TNF,80.0,Myocardial Infarction,330,-0.7241589630474792,-0.3611400687678749
TNF,24.0,Pancreatitis,330,-0.3532261337927663,-0.3611400687678749
TNF,1.0,Peripheral Neuropathy,330,-0.600880662648489,-0.3611400687678749
TNF,70.0,Pneumonia,330,-0.02453886343776722,-0.3611400687678749
TNF,4.0,Proteinuria,330,-0.83370462769801,-0.3611400687678749
TNF,3.0,Pulmonary Edema,330,0.34378280057691296,-0.3611400687678749
TNF,33.0,Sepsis,330,-0.2585546164033702,-0.3611400687678749
IL6,12.0,Hemorrhage,308,-0.37506576263153263,-0.32804087178215247
IL6,3.0,Pulmonary Edema,308,0.34378280057691296,-0.32804087178215247
IL6,33.0,Sepsis,308,-0.2585546164033702,-0.32804087178215247
IL6,0.0,Tardive Dyskinesia,308,0.0,-0.32804087178215247
IL6,0.0,Thrombocytopenia,308,0.0,-0.32804087178215247
IL6,1.0,Peripheral Neuropathy,308,-0.600880662648489,-0.32804087178215247
IL6,24.0,Pancreatitis,308,-0.35322613379276624,-0.32804087178215247
IL6,80.0,Myocardial Infarction,308,-0.7241589630474792,-0.32804087178215247
IL6,19.0,Hyperlipidemia,308,-0.3034492896799361,-0.32804087178215247
IL6,4.0,Proteinuria,308,-0.83370462769801,-0.32804087178215247
IL6,26.0,Gastric ulcer,308,-0.11378164600453868,-0.32804087178215247
IL6,18.0,Edema,308,-0.2616585861011098,-0.32804087178215247
IL6,11.0,Delirium,308,-0.044869343523860294,-0.32804087178215247
IL6,2.0,Deep Vein Thrombosis,308,0.0563220956567818,-0.32804087178215247
IL6,5.0,Cerebral Infarction,308,-0.6313298223058947,-0.32804087178215247
IL6,70.0,Pneumonia,308,-0.02453886343776722,-0.32804087178215247
VEGFA,33.0,Sepsis,297,-0.2585546164033702,-0.33852870616208924
VEGFA,0.0,Tardive Dyskinesia,297,0.0,-0.33852870616208924
VEGFA,0.0,Thrombocytopenia,297,0.0,-0.33852870616208924
VEGFA,70.0,Pneumonia,297,-0.024538863437767226,-0.33852870616208924
VEGFA,3.0,Pulmonary Edema,297,0.34378280057691296,-0.33852870616208924
VEGFA,12.0,Hemorrhage,297,-0.37506576263153263,-0.33852870616208924
VEGFA,5.0,Cerebral Infarction,297,-0.6313298223058947,-0.33852870616208924
VEGFA,2.0,Deep Vein Thrombosis,297,0.0563220956567818,-0.33852870616208924
VEGFA,0.0,Delirium,297,0.0,-0.33852870616208924
VEGFA,4.0,Proteinuria,297,-0.83370462769801,-0.33852870616208924
VEGFA,26.0,Gastric ulcer,297,-0.11378164600453868,-0.33852870616208924
VEGFA,18.0,Edema,297,-0.2616585861011098,-0.33852870616208924
VEGFA,19.0,Hyperlipidemia,297,-0.3034492896799361,-0.33852870616208924
VEGFA,80.0,Myocardial Infarction,297,-0.7241589630474792,-0.33852870616208924
VEGFA,24.0,Pancreatitis,297,-0.3532261337927663,-0.33852870616208924
VEGFA,1.0,Peripheral Neuropathy,297,-0.600880662648489,-0.33852870616208924
MTHFR,19.0,Hyperlipidemia,291,-0.3034492896799361,-0.35558951307585296
MTHFR,5.0,Cerebral Infarction,291,-0.6313298223058947,-0.35558951307585296
MTHFR,2.0,Deep Vein Thrombosis,291,0.0563220956567818,-0.35558951307585296
MTHFR,0.0,Delirium,291,0.0,-0.35558951307585296
MTHFR,18.0,Edema,291,-0.2616585861011098,-0.35558951307585296
MTHFR,0.0,Gastric ulcer,291,0.0,-0.35558951307585296
MTHFR,12.0,Hemorrhage,291,-0.37506576263153263,-0.35558951307585296
MTHFR,0.0,Tardive Dyskinesia,291,0.0,-0.35558951307585296
MTHFR,80.0,Myocardial Infarction,291,-0.7241589630474792,-0.35558951307585296
MTHFR,1.0,Peripheral Neuropathy,291,-0.600880662648489,-0.35558951307585296
MTHFR,70.0,Pneumonia,291,-0.024538863437767216,-0.35558951307585296
