,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
A2M,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
A2ML1,-0.2616585861011098,0.3662366547906704,-0.999252666038501,0.245765087485239,-4.709854549819976
A4GALT,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
AAA1,-0.2585546164033702,0.7014854822468168,-1.901196468100899,2.580384974496262,-8.532302341311215
AAAS,-0.2686230295282266,0.6932654539815133,-1.901196468100899,2.580384974496262,-9.133183003959704
AARS2,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
AAVS1,-0.2616585861011098,0.36623665479067036,-0.999252666038501,0.245765087485239,-4.709854549819976
ABCA1,-0.11378164600453868,0.33660231269985624,-0.873746924972993,0.7838558621265488,-2.9583227961180056
ABCA12,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
ABCB1,-0.1574723455318364,0.5652624967026656,-1.9788186985822251,0.7943008267116998,-5.354059748082437
ABCB11,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCB6,-0.11378164600453868,0.3366023126998563,-0.873746924972993,0.7838558621265488,-2.9583227961180056
ABCC1,-0.7241589630474792,0.3889383470894494,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCC2,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC3,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC4,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC5,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC6,-0.7226370087215657,0.3867424838394382,-1.993921625236842,0.9818616389731174,-58.53359770644682
ABCC7,-0.3532261337927663,0.4446122264799943,-1.1293390879283,0.5108256237660376,-8.477427211026392
ABCC8,-0.3656669573005462,0.42620117827302495,-1.340930746824771,0.245765087485239,-8.044673060612016
ABCC9,-0.2616585861011098,0.36623665479067036,-0.999252666038501,0.245765087485239,-4.709854549819976
ABCG1,-0.3034492896799361,0.25885304465769066,-0.7238184736771327,0.1906756653533126,-5.765536503918787
