,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
A2M,-0.6254481138067091,0.437720381839183,-1.993921625236842,0.9818616389731174,-66.29750006351117
A4GALT,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
AAK1,-0.2585546164033702,0.7014854822468168,-1.901196468100899,2.580384974496262,-8.532302341311215
AARS,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
AARS2,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCA1,-0.5649709397751176,0.48068012807895505,-1.993921625236842,0.9818616389731174,-72.31628029121505
ABCA3,-0.02453886343776722,0.7966540894758825,-0.9612872582749395,2.69020138254721,-1.7177204406437054
ABCA4,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCB1,-0.5197999549137914,0.49357804448732395,-1.993921625236842,0.9818616389731174,-69.65319395844804
ABCB4,-0.36313231494699516,0.4380601266546584,-1.1293390879283,0.5108256237660376,-9.078307873674879
ABCC1,-0.7226370087215657,0.38674248383943827,-1.993921625236842,0.9818616389731174,-58.53359770644682
ABCC11,-0.2585546164033702,0.7014854822468166,-1.901196468100899,2.580384974496262,-8.532302341311215
ABCC8,-0.29824011693524827,0.5792952656535468,-1.901196468100899,2.580384974496262,-16.999686665309152
ABCC9,-0.7241589630474792,0.3889383470894494,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCD1,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCD4,-0.21132595518782496,0.6714010637798205,-1.9788186985822251,0.7943008267116998,-4.860496969319974
ABCF1,-0.10845901757095847,0.7352043730420167,-1.1293390879283,2.69020138254721,-10.195147651670096
ABCG1,-0.7226370087215658,0.3867424838394383,-1.993921625236842,0.9818616389731174,-58.53359770644683
ABCG2,-0.1574723455318364,0.5652624967026655,-1.9788186985822251,0.7943008267116998,-5.354059748082437
ABCG5,-0.6434167025021932,0.40246919226866446,-1.993921625236842,0.9818616389731174,-63.69825354771712
ABCG8,-0.6434167025021932,0.40246919226866446,-1.993921625236842,0.9818616389731174,-63.69825354771712
