Gene,Mean Difference in -log(BH)
A4GALT,-0.7241589630474792
AARS2,-0.7241589630474792
ABCB1,-0.1574723455318364
ABCC1,-0.7241589630474792
ABCC8,-0.2616585861011098
ABCG2,-0.21132595518782496
ABCG5,-0.7241589630474792
ABCG8,-0.7241589630474792
ABI3BP,-0.7241589630474792
ABO,-0.1899141111202564
ABRAXAS2,-0.7241589630474792
ACAT1,-0.2585546164033702
ACHE,-0.2530007969818752
ACKR3,-0.024538863437767216
ACO1,-0.7241589630474792
ACOD1,-0.2585546164033702
ACOT8,-0.2585546164033702
ACOXL,-0.7241589630474792
ACSF2,0.0563220956567818
ACSS1,-0.7241589630474792
ACTA1,-0.024538863437767216
ACTG1P14,-0.7241589630474792
ACTR3B,-0.7241589630474792
ACVR1B,-0.7241589630474792
ADAM24P,-0.7241589630474792
ADAM8,-0.024538863437767216
ADAMTS6,-0.7241589630474792
ADAMTS9-AS2,-0.7241589630474792
ADAMTSL1,-0.7241589630474792
ADAMTSL3,-0.7241589630474792
ADAR,-0.2585546164033702
ADCY8,-0.7241589630474792
ADGRB2,-0.6313298223058947
ADGRB3,-0.7241589630474792
ADGRL3,-0.7241589630474792
ADGRL4,-0.7241589630474792
ADH5,-0.7241589630474792
ADIPOQ,0.34378280057691296
ADIPOR1,-0.7241589630474792
ADIPOR2,-0.7241589630474792
ADORA2A,-0.09951478429082447
ADORA2B,-0.2585546164033702
AFAP1L2,-0.7241589630474792
AGER,-0.6313298223058947
AGMO,-0.7241589630474792
AGPAT9,-0.7241589630474792
AGT,-0.04870878371626782
AHDC1,-0.7241589630474792
AHR,-0.7241589630474792
AHSA1,-0.024538863437767216
AICDA,-0.21132595518782496
AIG1,-0.7241589630474792
AIMP2,-0.024538863437767216
AK1,-0.7241589630474792
AKAP13,-0.7241589630474792
AKAP8P1,-0.7241589630474792
AKR1A1,-0.35322613379276624
AKT2,-0.024538863437767216
ALB,-0.5881860122576066
ALCAM,-0.7241589630474792
ALOX12,-0.09951478429082447
ALOX15,-0.1269611335770744
ALOX5,-0.21132595518782496
ALX4,-0.7241589630474792
AMIGO2,-0.7241589630474792
ANGPTL4,-0.6434167025021932
ANKRD6,-0.7241589630474792
ANKS1B,-0.7241589630474792
ANO10,-0.600880662648489
ANP32BP3,-0.7241589630474792
ANXA1,-0.11378164600453868
ANXA2,-0.35322613379276624
ANXA5,-0.024538863437767216
AP1M1,-0.7241589630474792
AP1S3,-0.7241589630474792
AP5Z1,-0.600880662648489
APC,-0.024538863437767216
APOB,-0.2585546164033702
APOD,-0.7241589630474792
APOE,-0.024538863437767216
APOH,-0.21132595518782496
APOL1,-0.7241589630474792
APP,-0.7186984253567977
APRT,-0.2585546164033702
AQP1,-0.2585546164033702
AQP4,-0.3420218983195413
ARHGAP42,-0.7241589630474792
ARHGEF26,-0.7241589630474792
ARHGEF28,-0.7241589630474792
ARHGEF7,-0.2585546164033702
ARL15,-0.7241589630474792
ARL2BPP6,-0.7241589630474792
ARL2BPP7,-0.7241589630474792
ARL2BPP8,-0.7241589630474792
ARNT2,-0.7241589630474792
ARNTL,-0.7241589630474792
ARPC3P2,-0.7241589630474792
ARVCF,-0.7241589630474792
ASB17,-0.7241589630474792
ASCC1,-0.2585546164033702
ASGR1,-0.21132595518782496
ASPG,-0.35322613379276624
ASXL1,-0.21132595518782496
ATF1P1,-0.7241589630474792
ATG7,-0.3976695832296136
ATL1,-0.7241589630474792
ATN1,-0.5244523261355112
ATP12A,-0.024538863437767216
ATP1A1,-0.7241589630474792
ATP1B1,0.0563220956567818
ATP4A,-0.024538863437767216
ATP5F1E,-0.600880662648489
ATP5PF,-0.7241589630474792
ATP7A,-0.21132595518782496
ATP8A1,-0.7241589630474792
ATXN7,-0.024538863437767216
AUH,-0.7241589630474792
AUNX1,-0.600880662648489
AVP,-0.2585546164033702
AXIN2,-0.7241589630474792
B2M,-0.21132595518782496
B3GNT2,-0.7241589630474792
B3GNTL1,-0.7241589630474792
BACE2,-0.7241589630474792
BAG3,-0.7241589630474792
BAX,-0.3034492896799361
BCAS1,-0.7241589630474792
BCAS3,-0.7241589630474792
BCHE,-0.2530007969818752
BCL10,-0.6096428544962943
BCL2,-0.21132595518782496
BCL2L1,-0.21132595518782496
BDNF-AS,-0.7241589630474792
BDP1P,-0.7241589630474792
BEST1,-0.7241589630474792
BIN1,-0.7241589630474792
BIRC3,-0.024538863437767216
BLOC1S6,-0.21132595518782496
BMI1,-0.7241589630474792
BMPR1B,-0.7241589630474792
BMS1,-0.7241589630474792
BNIP3,-0.7241589630474792
BRINP1,-0.7241589630474792
BRMS1L,-0.7241589630474792
BUD23,-0.024538863437767216
C11orf87,-0.7241589630474792
C12orf77,-0.7241589630474792
C14orf177,-0.7241589630474792
C15orf53,-0.7241589630474792
C15orf54,-0.7241589630474792
C19orf24,-0.7241589630474792
C1GALT1,-0.21132595518782496
C2,-0.3277681237464722
C20orf181,-0.22986051792532064
C3orf20,-0.35322613379276624
C5AR2,-0.2585546164033702
C7orf62,-0.7241589630474792
C7orf65,-0.7241589630474792
C7orf66,-0.7241589630474792
C8orf34,-0.7241589630474792
C9orf106,-0.7241589630474792
C9orf139,-0.7241589630474792
C9orf171,-0.7241589630474792
CA10,-0.7241589630474792
CABS1,-0.7241589630474792
CACNA1A,-0.83370462769801
CACNA2D3,-0.7241589630474792
CACNB3,-0.21132595518782496
CALCR,-0.7241589630474792
CAMSAP1,-0.7241589630474792
CAPN1,-0.6313298223058947
CARF,-0.7241589630474792
CASC20,-0.7241589630474792
CASP12,-0.7241589630474792
CASP6,-0.6313298223058947
CASP7,-0.7241589630474792
CASQ2,-0.7241589630474792
CBLL2,-0.2585546164033702
CBSL,-0.6313298223058947
CBX4,-0.7241589630474792
CBX8,-0.7241589630474792
CCAT1,-0.7241589630474792
CCAT2,-0.7241589630474792
CCDC167,-0.7241589630474792
CCDC181,0.0563220956567818
CCDC185,-0.7241589630474792
CCDC22,-0.024538863437767216
CCDC57,-0.83370462769801
CCL1,-0.37258327773635663
CCL16,-0.7241589630474792
CCL18,-0.024538863437767216
CCL2,-0.6313298223058947
CCL5,-0.21132595518782496
CCR5,-0.2585546164033702
CCT2,-0.7241589630474792
CD14,-0.6313298223058947
CD2,-0.3728955748772371
CD200,-0.7241589630474792
CD209,-0.21132595518782496
CD276,-0.7241589630474792
CD300A,-0.7241589630474792
CD300LB,-0.7241589630474792
CD34,-0.21132595518782496
CD3D,-0.2585546164033702
CD40,-0.2585546164033702
CD44,-0.2391571305469855
CD53,-0.21132595518782496
CD55,-0.2616585861011098
CD59,-0.600880662648489
CD82,-0.7241589630474792
CD83,-0.7241589630474792
CDC20,-0.21132595518782496
CDCA2,-0.7241589630474792
CDH19,-0.7241589630474792
CDH2,-0.7241589630474792
CDH23,-0.7241589630474792
CDH4,-0.7241589630474792
CDH8,-0.7241589630474792
CDH9,-0.7241589630474792
CDK5PS,-0.7241589630474792
CDKAL1,-0.7241589630474792
CDKN1C,-0.21132595518782496
CDKN2B,-0.28632664574462313
CDKN2B-AS1,-0.6313298223058947
CDSN,-0.21132595518782496
CEACAM1,-0.7241589630474792
CEL,-0.26918534821929635
CELF1,0.0563220956567818
CEMIP,-0.024538863437767216
CENPC,-0.024538863437767216
CEP112,-0.7241589630474792
CEP295NL,-0.7241589630474792
CETP,-0.2585546164033702
CFAP44,-0.7241589630474792
CFH,-0.024538863437767216
CFHR1,-0.024538863437767216
CFL1,-0.7241589630474792
CFL1P8,-0.7241589630474792
CFTR,-0.11378164600453868
CHIT1,-0.3034492896799361
CHRD,-0.21132595518782496
CHRM1,-0.7241589630474792
CHRM3,-0.7241589630474792
CHRNA4,-0.7241589630474792
CHRNG,-0.600880662648489
CHST3,-0.7241589630474792
CHSY1,-0.600880662648489
CHTOP,-0.7241589630474792
CIRBP,-0.6313298223058947
CISD1,-0.7241589630474792
CLEC4D,-0.2585546164033702
CLEC7A,-0.09951478429082447
CLLU1OS,-0.7241589630474792
CLMP,-0.83370462769801
CLOCK,-0.09951478429082447
CLYBL,-0.7241589630474792
CMA1,-0.7241589630474792
CMIP,-0.7241589630474792
CMKLR1,-0.7241589630474792
CMTR1,-0.7241589630474792
CNEP1R1,-0.7241589630474792
CNR2,-0.7241589630474792
CNTN1,-0.7241589630474792
CNTN5,-0.7241589630474792
CNTN6,-0.7241589630474792
CNTNAP2,-0.7241589630474792
COA7,-0.83370462769801
COG4,-0.21132595518782496
COL11A2,-0.6313298223058947
COL13A1,-0.7241589630474792
COL21A1,-0.7241589630474792
COL5A2,-0.7241589630474792
COMT,-0.044869343523860294
COPS5P1,-0.7241589630474792
COX6CP3,-0.7241589630474792
COX8A,-0.024538863437767216
CP,-0.5213920547792141
CPA2,-0.35322613379276624
CPLX2,-0.7241589630474792
CPNE4,-0.7241589630474792
CPSF4,-0.7241589630474792
CRACR2A,-0.7241589630474792
CRADD,-0.5881860122576066
CREB3L1,-0.7241589630474792
CREBBP,-0.024538863437767216
CRISPLD2,-0.35322613379276624
CRK,-0.024538863437767216
CRLF2,-0.21132595518782496
CRP,-0.21132595518782496
CSF1R,-0.600880662648489
CSF2,0.0563220956567818
CSF3,-0.07073352053724387
CSF3R,-0.21132595518782496
CSN1S1,-0.21132595518782496
CSN3,-0.7241589630474792
CSNK2A1,-0.7241589630474792
CSNK2B,-0.7241589630474792
CST2,-0.7241589630474792
CST5,-0.7241589630474792
CST6,-0.7241589630474792
CST7,-0.7241589630474792
CTGF,-0.29841630793574747
CTH,-0.2585546164033702
CTNNA3,-0.7241589630474792
CTNNAL1,-0.7241589630474792
CTNND2,-0.7241589630474792
CTRB1,-0.35322613379276624
CUL3,-0.7241589630474792
CUL9,-0.7241589630474792
CUX1,-0.7241589630474792
CUZD1,-0.35322613379276624
CX3CR1,-0.2585546164033702
CXCL10,-0.07073352053724387
CXCL12,-0.21132595518782496
CXCL8,-0.21132595518782496
CXCR1,-0.7241589630474792
CXCR2,-0.7241589630474792
