Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
CXCL8,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,182,-0.25963623918934847
CXCL8,aripiprazole,Delirium,0.0226506539966209,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,buspirone,Delirium,0.2418399384670237,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,dronabinol,Delirium,-0.1164145854550273,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,iloperidone,Delirium,0.0809728945918308,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,imipramine,Delirium,-0.1017835461429168,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,nefazodone,Delirium,-0.3244838404311405,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,pergolide,Delirium,-0.0816839673591314,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,quetiapine,Delirium,0.1308612357733878,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,trimipramine,Delirium,-0.2845567208125228,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,ziprasidone,Delirium,-0.296612434859222,10.0,-0.07292103722310976,182,-0.25963623918934847
CXCL8,amitriptyline,Edema,-0.2004136481148748,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,bromocriptine,Edema,0.0152974591084706,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,cabergoline,Edema,-0.2910154107323386,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,caffeine,Edema,-0.5763823945868634,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,loxapine,Edema,-0.2549523982006807,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,nortriptyline,Edema,-0.1128962895265104,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,olanzapine,Edema,-0.116281308388082,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,paliperidone,Edema,-0.0112463539530587,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,pentoxifylline,Edema,-0.1855737652282201,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,pergolide,Edema,0.0017445745128057,10.0,-0.17317195351093523,182,-0.25963623918934847
CXCL8,atropine,Gastric ulcer,-0.0401780619153644,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,cabergoline,Gastric ulcer,-0.0364710283284068,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,caffeine,Gastric ulcer,-0.2168296782135623,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,clopidogrel,Gastric ulcer,0.3251206454185329,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,clozapine,Gastric ulcer,-0.1960273652769775,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,dextromethorphan,Gastric ulcer,0.1528266445650228,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,diphenhydramine,Gastric ulcer,-0.1621698859814664,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,hyoscyamine,Gastric ulcer,-0.01179221714583,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,octreotide,Gastric ulcer,0.7838558621265488,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,paroxetine,Gastric ulcer,-0.2135129107515823,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,pergolide,Gastric ulcer,0.0142432006435964,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,pramipexole,Gastric ulcer,-0.4389631562289331,14.0,-0.03793026582776347,182,-0.25963623918934847
CXCL8,ropinirole,Gastric ulcer,-0.4579357257573662,14.0,-0.03793026582776347,182,-0.25963623918934847
