Gene,Mean Difference in -log(BH)
AAK1,-0.300456019325181
ABCB1,-0.6092723511803505
ABCG2,-0.5434124522085065
ABL1,-0.11205298848911366
ACAD9,-0.999252666038501
ACE,-0.5297276125581747
ADA,0.0479445569449783
ADM,-0.5242174249404714
ADORA1,-0.6796229615743965
ADORA2B,-0.2011670117645538
ADORA3,-0.3353163210975278
ADRA1D,-0.7029935405294259
ADRA2A,-0.0561905447163447
ADRA2B,-0.6890662772663866
ADRB1,-0.7132040078130755
ADRB2,-0.5742763957185097
ADRB3,-0.6301229252606105
AGK,-0.9458878868462754
AGT,-0.4955272346740729
AGTR1,-0.6825146828616204
AGTR2,-0.47951071114101734
AHSG,-0.7734495813219016
AKT1,-0.8638735130654851
ALAS1,-0.3833793740107314
ALB,-0.39326599854551825
ALOX5,0.11395866523953926
AMY2A,0.5108256237660376
ANGPT1,-0.23036200488328126
ANXA1,-0.5495417895309078
AP2S1,-0.4650372648313587
APOA1,-0.47462315915475034
APOA2,-0.4678352773711401
APOA4,-0.4678352773711401
APOB,-0.7087376151228698
APOC1,-0.5591424617421317
APOC2,-0.21577459348274078
APOC3,-0.4678352773711401
APOE,-0.4830806976400506
APP,-0.11358213255816121
AR,-0.14612013376827354
ARHGEF7,0.3447215513531354
ARRB2,-0.6375955475148902
ARTN,-0.5460224975591581
ATM,-0.5572426243204482
AVPR1A,-0.7914789355902471
BAAT,-0.3833793740107314
BBC3,-0.3749620076542267
BCL2,-0.2083824715407445
BCR,0.1048425676353131
BDKRB1,-0.5195114575245939
BDKRB2,-0.5321645729602262
BRAF,-0.5065517059419038
BRCA1,-0.1653136832911652
BRCA2,-0.1125481496176217
BRIP1,-0.1125481496176217
BTK,0.341502112166022
C3,-0.3274895145059825
C3AR1,-0.04589523211648188
C5,-0.04589523211648188
C5AR1,-0.04589523211648188
C6,-0.7244872811933181
CALCA,-0.22706619798336614
CALM3,-0.4911643324698271
CALR,-1.7549956285381008
CAMTA1,-0.3433359475365328
CARD11,-0.4929166784717722
CASP1,-0.2537520348278947
CASP3,-0.2537520348278947
CASR,-0.6560862511179671
CAV1,-0.3953737532807275
CBL,-0.32830346208198813
CCK,-0.2811452788605631
CCL19,-0.04529631776685497
CCL2,-0.06201663992770299
CCL20,-0.04529631776685497
CCL5,-0.3082330129070028
CCR1,-0.3329527116196753
CCR2,-0.2973228537812289
CCR3,-0.3626040588299379
CCR5,-0.6503134979411944
CCR6,-0.04529631776685497
CCR7,-0.48388954757419333
CCR8,-0.04529631776685497
CCR9,-0.04529631776685497
CD14,-0.26534948335938674
CD19,0.3736761682956349
CD274,0.3447215513531354
CD28,-0.5763823945868634
CD36,-0.2887825554547358
CD4,-0.5050498145106512
CD80,-0.9123478666405482
CD86,-0.19519603675202868
CDC42,-0.38189848238506424
CDCP1,-0.593987412515519
CFB,-0.40922443505647127
CFH,-0.7092774570476357
CHEK2,-0.5763823945868634
CHRM2,-0.7459149988675619
CHUK,0.6458892830115133
CNR1,-0.654378465766144
CNR2,-0.42812792003079864
CREB1,-0.2887825554547358
CRH,-0.108653537232885
CSF2,-0.26132925367253024
CST3,-0.7734495813219016
CTSL,-0.5225150331374616
CXCL1,-0.2845646903354415
CXCL10,-0.6821735727909355
CXCL12,-0.2882028933798022
CXCL13,-0.04529631776685497
CXCL2,-0.04926867296508868
CXCL5,-0.04529631776685497
CXCL6,-0.7080602237994597
CXCL8,-0.2596362391893485
CXCL9,-0.04529631776685497
CXCR2,-0.04589523211648188
CXCR3,-0.04529631776685497
CXCR4,-0.05182048573312218
CXCR5,-0.6821735727909355
CYP11B2,-0.8376359906638751
CYP17A1,-0.8849100520338276
CYP19A1,-0.3337073330542832
CYP1A1,-0.4764518704790793
CYP1A2,-0.6736105258785059
CYP2B6,-0.8694518581671827
CYP2C19,-0.4306031896421009
CYP2C8,-0.3966374805341326
CYP2C9,-0.4290611638911188
CYP2D6,-0.6271246375074528
CYP2E1,-0.2873999908248706
CYP3A4,-0.5383373888229112
CYP3A5,-0.5390245775705514
CYP4A11,-0.93218411340378
CYSLTR1,-0.3146805070883325
DAB2,-0.7564701900691333
DCLRE1C,-0.2847480758318834
DLD,-0.3833793740107314
DLG4,-0.4911643324698271
DRD1,-0.7200566319025071
DRD2,-0.5364990107467533
DRD3,-0.48528781700245505
DRD4,-0.718127992881346
EDN1,-0.56775138819782
EDN2,-0.7810552009244723
EDN3,-0.281804682044044
EDNRA,-0.7387597135332006
EDNRB,-0.7004360113461173
EGF,-0.3431241733403368
EGFR,-0.32291322067330014
ELANE,0.2143192012936188
ERBB2,-0.600880662648489
ERBB3,-0.5763823945868634
ESR1,-0.5669700281970553
ESR2,-0.4569307938774507
F10,0.09315503701039374
F2,-0.5101308160362272
F2R,-0.5772755379869658
F2RL1,-0.5862120036740436
F2RL3,-0.5495417895309078
F3,-0.8289904598638325
F5,-1.0575093492808156
F7,-0.300659448397127
FABP2,-0.4569307938774507
FABP5,-0.0295847671461526
FCGR1A,0.2094934726432926
FCGR2A,-0.2096964880826551
FCGR2C,-1.0480764095345505
FCGR3A,-0.2096964880826551
FCGR3B,0.2094934726432926
FGA,-0.6934021502817477
FGB,-0.6934021502817477
FGF10,0.34378280057691296
FGF2,-0.36765465077395126
FGF7,0.453524878502539
FGFR1,-0.30313807362755796
FGFR2,-0.30313807362755796
FGFR3,-0.4605772486260233
FGFR4,-0.600880662648489
FGG,-0.8340701715388961
FMO3,-0.529581339634869
FN1,-0.5841040149319826
FPR1,-0.3568412835404082
FPR2,-0.047392517990549145
FSHR,-0.2582169111136173
FYN,-1.0303811815551192
GAL,-0.1285765611233118
GAST,-0.22656496250984381
GCG,-0.753151255428332
GDNF,-0.5460224975591581
GFAP,-0.7641200899972768
GFRA1,-0.600880662648489
GH1,0.1784953886169393
GHR,-0.6190367935249338
GHRH,-0.7273152472915306
GHRL,-0.6030050916962307
GHSR,-0.7842037199344579
GJC2,-0.3433359475365328
GNAQ,-0.23980845498122147
GRAP2,-0.9145315307990023
GRIN2A,-0.38950594942460626
GRIN2B,-0.5974019599710729
GRM8,-0.6821735727909355
GRP,-0.34862184858019546
GRPR,-0.34862184858019546
GSN,-0.6804691474661108
GSTM1,-0.943374659083517
GSTP1,-0.943374659083517
GSTT1,-0.943374659083517
HBEGF,-0.4321712279203445
HGF,-0.2734416648272377
HLA-DPB1,-0.7851376622656989
HLA-DQA1,-0.7851376622656989
HLA-DQA2,-0.7851376622656989
HLA-DQB1,-0.7851376622656989
HLA-DRB1,0.11617415727967781
HLA-DRB3,0.3404289657703175
HLA-E,-0.7851376622656989
HLCS,-1.1705119419266277
HP,-0.5450221870323909
HPSE,-0.6587282536891639
HRAS,-0.5510799091933958
HRG,-1.2714029079889126
HRH3,-0.03793026582776345
HTR1D,-0.6647342172832202
HTR1F,-0.7572177964164238
HTR2A,-0.7204601452881847
HTR2C,-0.6714552180911362
HTR6,-0.7204342299577359
IAPP,-0.2503236907350568
ICOS,0.025452211471403047
IFNA2,-1.4011841063689765
IFNAR1,-0.901171744637054
IFNG,-0.8667852197870562
IGF2R,-0.6287705274576149
IKBKB,0.6458892830115133
IL10RA,-1.901196468100899
IL1B,-0.2537520348278947
IL1R1,-0.8404536830994633
IL2,-0.19023284895084633
IL2RA,-0.6840192465627459
IL2RB,0.10887239832621097
IL2RG,-0.17828029687766186
IL3,-0.26764025404724195
IL4,-0.6430062416269445
IL5,0.21807094468529936
IL5RA,0.21807094468529936
IL6ST,0.1676260285267865
IL7,-0.6430062416269445
IL7R,-0.8667852197870562
INPPL1,-0.437120333469231
IRAK1,-0.4929166784717722
IRS1,-0.629338254258375
ITGA2,-0.5584380434166696
ITGA2B,-0.4274193962249475
ITGA4,-0.0811051990358961
ITGAV,0.3447215513531354
ITGB3,-0.2992248161063557
ITK,0.1885610217331716
JAK1,-0.3464265752247306
JAK2,-0.31496012268385803
JAK3,0.21807094468529936
KAT5,-0.1653136832911652
KCNMA1,-0.7734495813219016
KCNQ2,-0.2004136481148748
KDR,-0.4911643324698271
KNG1,-0.33650577510175633
KRAS,-0.5610400598844144
KRT16,-0.8121285238540046
KRT8,-1.1293390879283
LDLR,-0.7087376151228698
LDLRAP1,-0.7156591727573031
LIG4,-0.28474807583188344
LPAR1,-0.04529631776685497
LPAR2,-0.04529631776685497
LRP1,-1.7549956285381008
LRP2,-0.5162764946343028
LTA,-0.3909518659742164
LTA4H,-0.6283311484863114
LTB4R,-0.3227969148363867
MAOA,-0.749816668331448
MAOB,-0.749816668331448
MAP2K1,-0.4505455505077381
MAPK1,-1.7527272831184817
MAPK3,-1.7527272831184817
MET,-0.4845395784333064
MMP1,0.025580724006696115
MMP14,-0.427521145551303
MMP2,0.025580724006696115
MMP9,-0.25932656780264257
MPO,-0.30873985537097165
MTNR1A,-0.776134310284146
MTNR1B,-0.776134310284146
MYD88,-0.44537404306379863
MYLK,-0.3953737532807275
NBN,-0.1125481496176217
NCK1,-0.5240233924595978
NCK2,-0.5240233924595978
NCOA3,-0.42139988834350034
NDUFAF1,-0.999252666038501
NDUFAF2,-0.999252666038501
NDUFAF3,-0.999252666038501
NDUFAF4,-0.999252666038501
NDUFAF5,-0.999252666038501
NDUFS1,-0.999252666038501
NDUFS2,-0.999252666038501
NDUFS3,-0.999252666038501
NDUFS4,-0.999252666038501
NDUFS6,-0.999252666038501
NDUFV1,-0.999252666038501
NDUFV2,-0.999252666038501
NEFL,-0.600880662648489
NFKB1,0.29473506914660536
NFKB2,-0.4929166784717722
NFKBIA,0.07648630226987055
NHEJ1,-0.1125481496176217
NLRC4,-0.353067206696437
NOD1,-0.4929166784717722
NOD2,-0.6498031966918338
NOS2,-0.5990981073268564
NPHS1,-0.3523049266025464
NPW,-0.04529631776685497
NPY,-0.6585154767959437
NR1I2,-0.5816386577667121
NR3C1,-0.4874833813163697
NRAS,-0.12353648292925314
NRG1,-0.08542689630539269
NTRK2,-0.4387633123015213
NTS,-0.281804682044044
OCRL,-0.36212838645782636
OPRD1,-0.6841006510298422
OPRK1,-0.6821735727909355
OXT,-0.21682281934707773
OXTR,-0.1989451027427437
P2RY1,-0.6444095994039817
P2RY11,-0.7743899192280307
P2RY12,-0.6578336977165196
P2RY2,-0.7004360113461173
PAK2,-0.5240233924595978
PALB2,-0.24707081931870478
PCCA,-1.1705119419266277
PCCB,-1.1705119419266277
PDE4B,-0.7043377083931887
PDGFA,-0.4917710201941674
PDGFB,-0.22867301037397564
PDGFRA,-0.30313807362755796
PDGFRB,-0.13613839988474166
PECAM1,0.01884975261616928
PF4,-0.04639880681358886
PIK3CA,-0.6203483466151032
PIK3CB,-0.6336311912424365
PIK3CD,-1.0332550756960321
PIK3R1,-1.2419640671273318
PLA2G1B,-0.4929166784717722
PLA2G4A,-0.1954482853067212
PLAT,-0.6761874326156112
PLAU,-0.894519810795871
PLAUR,-1.6260854472344144
PLG,-0.8050197688445765
PNOC,-0.047392517990549145
POMC,-0.07504881897354598
PPARG,0.11395866523953926
PPY,-0.42812792003079864
PSPN,-0.6500903289968742
PTAFR,-0.3146805070883325
PTGDR,-0.05356263697610174
PTGDR2,-0.04529631776685497
PTGER1,-0.5495417895309078
PTGER2,-0.7405464602826421
PTGER3,-0.17317195351093523
PTGS1,-0.3392273505720892
PTGS2,-0.17464645874371584
PTH,-0.3085520316963242
PTH1R,-0.1861554054838198
PTHLH,-0.4313661188164275
PTK2B,-0.600880662648489
PTPN11,-0.3017810667275825
PTPN22,0.05903730876131341
RAD51,-0.1125481496176217
RAD51C,-0.1125481496176217
RAF1,-1.7527272831184817
RAMP1,-0.7339600923256857
RAMP2,-0.5495417895309078
RAP1B,0.3447215513531354
RELA,-0.4929166784717722
REN,-0.429923099603793
RET,-0.5475178868577828
RFC2,-0.5763823945868634
RHOA,-0.5240233924595978
RIPK1,-0.6278079115114578
RIT1,-0.2004136481148748
RLN2,-0.7405464602826421
ROCK1,0.5008393168621037
RYR1,-0.5763823945868634
S1PR3,-0.047392517990549145
SAA1,-0.17087551578358942
SCARB2,-0.36212838645782636
SCN5A,-0.7734495813219016
SCT,-0.4313661188164275
SELP,-0.40471600294608034
SERPINB2,-1.7549956285381008
SERPINC1,-0.5089127525953252
SERPINE1,-0.9018320175702345
SERPING1,-0.5731994929430632
SHANK3,-0.600880662648489
SHC1,-0.27531159109170805
SLC10A1,-0.3337073330542832
SLC25A13,-0.35129239545759827
SLC6A3,-0.3885695193048111
SLC6A4,-0.7857747338166146
SLCO1B1,-0.38770397868871465
SLCO1B3,0.3977086226612929
SOCS1,-1.901196468100899
