Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
AGT,0.0,Delirium,205,0.0,-0.3216041652044627
AGT,0.0,Peripheral Neuropathy,205,0.0,-0.3216041652044627
AGT,1.0,Cerebral Infarction,205,-0.5495417895309078,-0.3216041652044627
AGT,0.0,Deep Vein Thrombosis,205,0.0,-0.3216041652044627
AGT,18.0,Edema,205,-0.2616585861011098,-0.3216041652044627
AGT,23.0,Gastric ulcer,205,-0.08945025138731086,-0.3216041652044627
AGT,0.0,Hemorrhage,205,0.0,-0.3216041652044627
AGT,70.0,Myocardial Infarction,205,-0.7083210800274722,-0.3216041652044627
AGT,0.0,Pancreatitis,205,0.0,-0.3216041652044627
AGT,8.0,Hyperlipidemia,205,-0.48388954757419333,-0.3216041652044627
AGT,58.0,Pneumonia,205,-0.04708130624183522,-0.3216041652044627
AGT,1.0,Proteinuria,205,-1.340930746824771,-0.3216041652044627
AGT,0.0,Pulmonary Edema,205,0.0,-0.3216041652044627
AGT,26.0,Sepsis,205,-0.0418024328572317,-0.3216041652044627
AGT,0.0,Tardive Dyskinesia,205,0.0,-0.3216041652044627
AGT,0.0,Thrombocytopenia,205,0.0,-0.3216041652044627
CXCL8,15.0,Gastric ulcer,188,-0.0034894085349328825,-0.2637939673265493
CXCL8,60.0,Pneumonia,188,-0.04529631776685498,-0.2637939673265493
CXCL8,0.0,Peripheral Neuropathy,188,0.0,-0.2637939673265493
CXCL8,0.0,Proteinuria,188,0.0,-0.2637939673265493
CXCL8,11.0,Pancreatitis,188,-0.42812792003079864,-0.2637939673265493
CXCL8,54.0,Myocardial Infarction,188,-0.6790243672183945,-0.2637939673265493
CXCL8,0.0,Hyperlipidemia,188,0.0,-0.2637939673265493
CXCL8,0.0,Hemorrhage,188,0.0,-0.2637939673265493
CXCL8,0.0,Tardive Dyskinesia,188,0.0,-0.2637939673265493
CXCL8,11.0,Edema,188,-0.23280551695733384,-0.2637939673265493
CXCL8,10.0,Delirium,188,-0.07292103722310976,-0.2637939673265493
CXCL8,0.0,Deep Vein Thrombosis,188,0.0,-0.2637939673265493
CXCL8,1.0,Cerebral Infarction,188,-0.5495417895309078,-0.2637939673265493
CXCL8,1.0,Thrombocytopenia,188,-0.1125481496176217,-0.2637939673265493
CXCL8,24.0,Sepsis,188,-0.04739251799054914,-0.2637939673265493
CXCL8,1.0,Pulmonary Edema,188,-0.3568412835404082,-0.2637939673265493
KNG1,17.0,Edema,175,-0.29108327535138256,-0.34124168155566525
KNG1,0.0,Delirium,175,0.0,-0.34124168155566525
KNG1,0.0,Hemorrhage,175,0.0,-0.34124168155566525
KNG1,0.0,Deep Vein Thrombosis,175,0.0,-0.34124168155566525
KNG1,0.0,Thrombocytopenia,175,0.0,-0.34124168155566525
KNG1,0.0,Tardive Dyskinesia,175,0.0,-0.34124168155566525
KNG1,27.0,Sepsis,175,-0.07813061747526236,-0.34124168155566525
KNG1,0.0,Pulmonary Edema,175,0.0,-0.34124168155566525
KNG1,0.0,Proteinuria,175,0.0,-0.34124168155566525
KNG1,60.0,Pneumonia,175,-0.04529631776685498,-0.34124168155566525
KNG1,0.0,Peripheral Neuropathy,175,0.0,-0.34124168155566525
KNG1,0.0,Pancreatitis,175,0.0,-0.34124168155566525
KNG1,71.0,Myocardial Infarction,175,-0.7034024345552751,-0.34124168155566525
KNG1,0.0,Hyperlipidemia,175,0.0,-0.34124168155566525
KNG1,0.0,Gastric ulcer,175,0.0,-0.34124168155566525
KNG1,0.0,Cerebral Infarction,175,0.0,-0.34124168155566525
CCL5,0.0,Edema,160,0.0,-0.3131084481102927
CCL5,0.0,Delirium,160,0.0,-0.3131084481102927
CCL5,1.0,Cerebral Infarction,160,-0.5495417895309078,-0.3131084481102927
CCL5,60.0,Pneumonia,160,-0.04529631776685498,-0.3131084481102927
CCL5,0.0,Gastric ulcer,160,0.0,-0.3131084481102927
CCL5,0.0,Hemorrhage,160,0.0,-0.3131084481102927
CCL5,9.0,Hyperlipidemia,160,-0.46703770117574844,-0.3131084481102927
CCL5,0.0,Deep Vein Thrombosis,160,0.0,-0.3131084481102927
CCL5,11.0,Pancreatitis,160,-0.42812792003079864,-0.3131084481102927
CCL5,0.0,Peripheral Neuropathy,160,0.0,-0.3131084481102927
CCL5,54.0,Myocardial Infarction,160,-0.6790243672183945,-0.3131084481102927
CCL5,0.0,Proteinuria,160,0.0,-0.3131084481102927
CCL5,0.0,Pulmonary Edema,160,0.0,-0.3131084481102927
CCL5,24.0,Sepsis,160,-0.04739251799054914,-0.3131084481102927
CCL5,0.0,Tardive Dyskinesia,160,0.0,-0.3131084481102927
CCL5,1.0,Thrombocytopenia,160,-0.1125481496176217,-0.3131084481102927
CCR2,0.0,Pancreatitis,149,0.0,-0.3056059506312193
CCR2,0.0,Thrombocytopenia,149,0.0,-0.3056059506312193
CCR2,0.0,Tardive Dyskinesia,149,0.0,-0.3056059506312193
CCR2,24.0,Sepsis,149,-0.04739251799054914,-0.3056059506312193
CCR2,0.0,Pulmonary Edema,149,0.0,-0.3056059506312193
CCR2,0.0,Proteinuria,149,0.0,-0.3056059506312193
CCR2,60.0,Pneumonia,149,-0.04529631776685498,-0.3056059506312193
CCR2,0.0,Peripheral Neuropathy,149,0.0,-0.3056059506312193
CCR2,0.0,Cerebral Infarction,149,0.0,-0.3056059506312193
CCR2,55.0,Myocardial Infarction,149,-0.6786553469724086,-0.3056059506312193
CCR2,0.0,Hemorrhage,149,0.0,-0.3056059506312193
CCR2,0.0,Gastric ulcer,149,0.0,-0.3056059506312193
CCR2,0.0,Edema,149,0.0,-0.3056059506312193
CCR2,0.0,Delirium,149,0.0,-0.3056059506312193
CCR2,0.0,Deep Vein Thrombosis,149,0.0,-0.3056059506312193
CCR2,10.0,Hyperlipidemia,149,-0.43540430627847326,-0.3056059506312193
C3,0.0,Pancreatitis,147,0.0,-0.30425751454530287
C3,0.0,Thrombocytopenia,147,0.0,-0.30425751454530287
C3,0.0,Tardive Dyskinesia,147,0.0,-0.30425751454530287
C3,24.0,Sepsis,147,-0.04739251799054914,-0.30425751454530287
C3,0.0,Pulmonary Edema,147,0.0,-0.30425751454530287
C3,0.0,Proteinuria,147,0.0,-0.30425751454530287
C3,60.0,Pneumonia,147,-0.04529631776685498,-0.30425751454530287
C3,0.0,Peripheral Neuropathy,147,0.0,-0.30425751454530287
C3,0.0,Cerebral Infarction,147,0.0,-0.30425751454530287
C3,54.0,Myocardial Infarction,147,-0.6790243672183945,-0.30425751454530287
C3,0.0,Hemorrhage,147,0.0,-0.30425751454530287
C3,0.0,Gastric ulcer,147,0.0,-0.30425751454530287
C3,0.0,Edema,147,0.0,-0.30425751454530287
C3,0.0,Delirium,147,0.0,-0.30425751454530287
C3,0.0,Deep Vein Thrombosis,147,0.0,-0.30425751454530287
C3,9.0,Hyperlipidemia,147,-0.46703770117574844,-0.30425751454530287
CXCR4,0.0,Peripheral Neuropathy,141,0.0,-0.29676123064124454
CXCR4,1.0,Thrombocytopenia,141,-0.1125481496176217,-0.29676123064124454
CXCR4,1.0,Cerebral Infarction,141,-0.5495417895309078,-0.29676123064124454
CXCR4,24.0,Sepsis,141,-0.04739251799054914,-0.29676123064124454
CXCR4,0.0,Pulmonary Edema,141,0.0,-0.29676123064124454
CXCR4,0.0,Proteinuria,141,0.0,-0.29676123064124454
CXCR4,60.0,Pneumonia,141,-0.04529631776685498,-0.29676123064124454
CXCR4,0.0,Tardive Dyskinesia,141,0.0,-0.29676123064124454
CXCR4,0.0,Pancreatitis,141,0.0,-0.29676123064124454
CXCR4,0.0,Edema,141,0.0,-0.29676123064124454
CXCR4,55.0,Myocardial Infarction,141,-0.6786553469724086,-0.29676123064124454
CXCR4,0.0,Delirium,141,0.0,-0.29676123064124454
CXCR4,0.0,Hyperlipidemia,141,0.0,-0.29676123064124454
CXCR4,0.0,Gastric ulcer,141,0.0,-0.29676123064124454
CXCR4,0.0,Hemorrhage,141,0.0,-0.29676123064124454
CXCR4,0.0,Deep Vein Thrombosis,141,0.0,-0.29676123064124454
CXCL12,1.0,Thrombocytopenia,140,-0.1125481496176217,-0.29417575190518797
CXCL12,0.0,Hyperlipidemia,140,0.0,-0.29417575190518797
CXCL12,1.0,Cerebral Infarction,140,-0.5495417895309078,-0.29417575190518797
CXCL12,0.0,Deep Vein Thrombosis,140,0.0,-0.29417575190518797
CXCL12,0.0,Delirium,140,0.0,-0.29417575190518797
CXCL12,0.0,Edema,140,0.0,-0.29417575190518797
CXCL12,0.0,Gastric ulcer,140,0.0,-0.29417575190518797
CXCL12,0.0,Hemorrhage,140,0.0,-0.29417575190518797
CXCL12,0.0,Pancreatitis,140,0.0,-0.29417575190518797
CXCL12,54.0,Myocardial Infarction,140,-0.6790243672183947,-0.29417575190518797
CXCL12,0.0,Tardive Dyskinesia,140,0.0,-0.29417575190518797
CXCL12,0.0,Peripheral Neuropathy,140,0.0,-0.29417575190518797
CXCL12,0.0,Proteinuria,140,0.0,-0.29417575190518797
CXCL12,0.0,Pulmonary Edema,140,0.0,-0.29417575190518797
CXCL12,24.0,Sepsis,140,-0.047392517990549145,-0.29417575190518797
CXCL12,60.0,Pneumonia,140,-0.045296317766854985,-0.29417575190518797
CXCR2,0.0,Thrombocytopenia,139,0.0,-0.29626793943357516
CXCR2,0.0,Cerebral Infarction,139,0.0,-0.29626793943357516
CXCR2,0.0,Pancreatitis,139,0.0,-0.29626793943357516
CXCR2,0.0,Delirium,139,0.0,-0.29626793943357516
CXCR2,0.0,Edema,139,0.0,-0.29626793943357516
CXCR2,0.0,Gastric ulcer,139,0.0,-0.29626793943357516
CXCR2,0.0,Hemorrhage,139,0.0,-0.29626793943357516
CXCR2,0.0,Hyperlipidemia,139,0.0,-0.29626793943357516
CXCR2,55.0,Myocardial Infarction,139,-0.6786553469724086,-0.29626793943357516
CXCR2,0.0,Deep Vein Thrombosis,139,0.0,-0.29626793943357516
CXCR2,0.0,Peripheral Neuropathy,139,0.0,-0.29626793943357516
CXCR2,0.0,Proteinuria,139,0.0,-0.29626793943357516
CXCR2,0.0,Pulmonary Edema,139,0.0,-0.29626793943357516
CXCR2,24.0,Sepsis,139,-0.047392517990549145,-0.29626793943357516
CXCR2,0.0,Tardive Dyskinesia,139,0.0,-0.29626793943357516
CXCR2,60.0,Pneumonia,139,-0.04529631776685498,-0.29626793943357516
CCR1,0.0,Hyperlipidemia,132,0.0,-0.3329527116196753
CCR1,0.0,Pulmonary Edema,132,0.0,-0.3329527116196753
CCR1,0.0,Proteinuria,132,0.0,-0.3329527116196753
CCR1,60.0,Pneumonia,132,-0.04529631776685498,-0.3329527116196753
CCR1,0.0,Peripheral Neuropathy,132,0.0,-0.3329527116196753
CCR1,11.0,Pancreatitis,132,-0.42812792003079864,-0.3329527116196753
CCR1,51.0,Myocardial Infarction,132,-0.6821735727909355,-0.3329527116196753
CCR1,10.0,Edema,132,-0.17317195351093523,-0.3329527116196753
CCR1,0.0,Hemorrhage,132,0.0,-0.3329527116196753
CCR1,0.0,Gastric ulcer,132,0.0,-0.3329527116196753
CCR1,0.0,Delirium,132,0.0,-0.3329527116196753
CCR1,0.0,Deep Vein Thrombosis,132,0.0,-0.3329527116196753
CCR1,0.0,Cerebral Infarction,132,0.0,-0.3329527116196753
CCR1,0.0,Thrombocytopenia,132,0.0,-0.3329527116196753
CCR1,0.0,Sepsis,132,0.0,-0.3329527116196753
CCR1,0.0,Tardive Dyskinesia,132,0.0,-0.3329527116196753
F2R,0.0,Deep Vein Thrombosis,120,0.0,-0.5518317958690045
F2R,0.0,Pancreatitis,120,0.0,-0.5518317958690045
F2R,1.0,Cerebral Infarction,120,-0.5495417895309078,-0.5518317958690045
F2R,0.0,Delirium,120,0.0,-0.5518317958690045
F2R,0.0,Edema,120,0.0,-0.5518317958690045
F2R,0.0,Gastric ulcer,120,0.0,-0.5518317958690045
F2R,1.0,Hemorrhage,120,-1.140689287068125,-0.5518317958690045
F2R,49.0,Myocardial Infarction,120,-0.8039695069382136,-0.5518317958690045
F2R,0.0,Hyperlipidemia,120,0.0,-0.5518317958690045
F2R,0.0,Peripheral Neuropathy,120,0.0,-0.5518317958690045
F2R,36.0,Pneumonia,120,-0.29636378324273616,-0.5518317958690045
F2R,0.0,Proteinuria,120,0.0,-0.5518317958690045
F2R,1.0,Pulmonary Edema,120,0.656957082371072,-0.5518317958690045
F2R,11.0,Sepsis,120,-0.34862184858019546,-0.5518317958690045
F2R,17.0,Tardive Dyskinesia,120,-0.6684410676131853,-0.5518317958690045
F2R,4.0,Thrombocytopenia,120,0.01884975261616928,-0.5518317958690045
CXCL10,0.0,Pancreatitis,114,0.0,-0.35834658323036966
CXCL10,0.0,Tardive Dyskinesia,114,0.0,-0.35834658323036966
CXCL10,0.0,Sepsis,114,0.0,-0.35834658323036966
CXCL10,0.0,Pulmonary Edema,114,0.0,-0.35834658323036966
CXCL10,1.0,Proteinuria,114,-1.340930746824771,-0.35834658323036966
CXCL10,58.0,Pneumonia,114,-0.04708130624183522,-0.35834658323036966
CXCL10,0.0,Peripheral Neuropathy,114,0.0,-0.35834658323036966
CXCL10,0.0,Deep Vein Thrombosis,114,0.0,-0.35834658323036966
CXCL10,54.0,Myocardial Infarction,114,-0.6790243672183945,-0.35834658323036966
CXCL10,0.0,Hyperlipidemia,114,0.0,-0.35834658323036966
CXCL10,0.0,Hemorrhage,114,0.0,-0.35834658323036966
CXCL10,0.0,Gastric ulcer,114,0.0,-0.35834658323036966
CXCL10,0.0,Edema,114,0.0,-0.35834658323036966
CXCL10,1.0,Thrombocytopenia,114,-0.1125481496176217,-0.35834658323036966
CXCL10,0.0,Delirium,114,0.0,-0.35834658323036966
CXCL10,0.0,Cerebral Infarction,114,0.0,-0.35834658323036966
CCR3,0.0,Tardive Dyskinesia,113,0.0,-0.3722038432177698
CCR3,0.0,Thrombocytopenia,113,0.0,-0.3722038432177698
CCR3,0.0,Sepsis,113,0.0,-0.3722038432177698
CCR3,0.0,Pulmonary Edema,113,0.0,-0.3722038432177698
CCR3,0.0,Proteinuria,113,0.0,-0.3722038432177698
CCR3,59.0,Pneumonia,113,-0.09127107271851857,-0.3722038432177698
CCR3,0.0,Peripheral Neuropathy,113,0.0,-0.3722038432177698
CCR3,0.0,Pancreatitis,113,0.0,-0.3722038432177698
CCR3,54.0,Myocardial Infarction,113,-0.6791489072817666,-0.3722038432177698
CCR3,0.0,Hyperlipidemia,113,0.0,-0.3722038432177698
CCR3,0.0,Hemorrhage,113,0.0,-0.3722038432177698
CCR3,0.0,Gastric ulcer,113,0.0,-0.3722038432177698
CCR3,0.0,Edema,113,0.0,-0.3722038432177698
CCR3,0.0,Delirium,113,0.0,-0.3722038432177698
CCR3,0.0,Deep Vein Thrombosis,113,0.0,-0.3722038432177698
CCR3,0.0,Cerebral Infarction,113,0.0,-0.3722038432177698
ADORA3,0.0,Delirium,112,0.0,-0.3459763799078371
ADORA3,0.0,Edema,112,0.0,-0.3459763799078371
ADORA3,0.0,Deep Vein Thrombosis,112,0.0,-0.3459763799078371
ADORA3,0.0,Cerebral Infarction,112,0.0,-0.3459763799078371
ADORA3,0.0,Thrombocytopenia,112,0.0,-0.3459763799078371
ADORA3,0.0,Tardive Dyskinesia,112,0.0,-0.3459763799078371
ADORA3,0.0,Sepsis,112,0.0,-0.3459763799078371
ADORA3,0.0,Pulmonary Edema,112,0.0,-0.3459763799078371
ADORA3,0.0,Proteinuria,112,0.0,-0.3459763799078371
ADORA3,59.0,Pneumonia,112,-0.046001121456430864,-0.3459763799078371
ADORA3,0.0,Peripheral Neuropathy,112,0.0,-0.3459763799078371
ADORA3,0.0,Pancreatitis,112,0.0,-0.3459763799078371
ADORA3,53.0,Myocardial Infarction,112,-0.6799111015801573,-0.3459763799078371
ADORA3,0.0,Hyperlipidemia,112,0.0,-0.3459763799078371
ADORA3,0.0,Hemorrhage,112,0.0,-0.3459763799078371
ADORA3,0.0,Gastric ulcer,112,0.0,-0.3459763799078371
BDKRB2,0.0,Sepsis,110,0.0,-0.516692608033893
BDKRB2,0.0,Thrombocytopenia,110,0.0,-0.516692608033893
BDKRB2,0.0,Tardive Dyskinesia,110,0.0,-0.516692608033893
BDKRB2,0.0,Deep Vein Thrombosis,110,0.0,-0.516692608033893
