Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
AGT,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,205,-0.3216041652044627
AGT,amitriptyline,Edema,-0.2004136481148748,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,bromocriptine,Edema,0.0152974591084706,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,cabergoline,Edema,-0.2910154107323386,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,caffeine,Edema,-0.5763823945868634,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,captopril,Edema,-0.8291411514213198,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,carvedilol,Edema,-0.999252666038501,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,desmopressin,Edema,0.0496428305219467,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,epinephrine,Edema,-0.3443630022847461,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,goserelin,Edema,0.245765087485239,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,liraglutide,Edema,0.2385611311535278,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,loxapine,Edema,-0.2549523982006807,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,nortriptyline,Edema,-0.1128962895265104,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,olanzapine,Edema,-0.116281308388082,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,paliperidone,Edema,-0.0112463539530587,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,pentoxifylline,Edema,-0.1855737652282201,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,pergolide,Edema,0.0017445745128057,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,phendimetrazine,Edema,-0.9022269106575392,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,pseudoephedrine,Edema,-0.437120333469231,18.0,-0.2616585861011098,205,-0.3216041652044627
AGT,acamprosate,Gastric ulcer,-0.0926130265419384,23.0,-0.08945025138731086,205,-0.3216041652044627
AGT,atropine,Gastric ulcer,-0.0401780619153644,23.0,-0.08945025138731086,205,-0.3216041652044627
