Gene,Mean Difference in -log(BH)
AAK1,-0.300456019325181
ABCB1,-0.411917609999846
ABCG2,-0.11283064682540005
ABL1,-0.11205298848911366
ACAD9,-0.999252666038501
ACE,-0.5297276125581747
ACKR3,-0.04529631776685497
ADA,0.0479445569449783
ADM,-0.5231801571331532
ADORA1,-0.6763497477323818
ADORA2A,-0.058684563173093444
ADORA2B,-0.19704709966671768
ADORA3,-0.3459763799078371
ADRA1D,-0.6984023339464572
ADRA2A,-0.0561905447163447
ADRA2B,-0.6885245268453648
ADRB1,-0.7132040078130755
ADRB2,-0.5742763957185097
ADRB3,-0.6301229252606105
AGK,-0.9458878868462754
AGT,-0.32677568648869987
AGTR1,-0.7497517706370926
AGTR2,-0.4866043781132091
AHSG,-0.7734495813219016
AKT1,-0.8638735130654851
ALAS1,-0.3833793740107314
ALB,-0.4139317377955092
ALOX5,0.11395866523953926
AMY2A,0.5108256237660376
ANGPT1,-0.3160352546444578
ANXA1,-0.06012735291403818
AP1M1,-0.5304319047344669
AP2S1,-0.4650372648313587
APOA1,-0.3182224122256479
APOA2,-0.42806428583311695
APOA4,-0.42806428583311695
APOB,-0.6282988633175369
APOC1,-0.43401385284359645
APOC2,-0.21077929912560162
APOC3,-0.42806428583311695
APOE,-0.4830806976400506
APP,-0.12603812275738252
AR,-0.1505106282230334
ARHGEF7,0.3447215513531354
ARRB2,-0.6375955475148902
ARTN,-0.5460224975591581
ATM,-0.46875961215392703
AVP,-0.7349264229587837
AVPR1A,-0.7841997797894682
B2M,0.3404289657703175
BAAT,-0.3833793740107314
BBC3,-0.3749620076542267
BCL2,-0.2083824715407445
BCR,0.08421849897456782
BDKRB1,-0.5108662978255211
BDKRB2,-0.516692608033893
BECN1,-0.5816386577667121
BIN1,-0.7529902115837217
BIRC3,0.6458892830115133
BRAF,-0.5065517059419038
BRCA1,-0.1653136832911652
BRCA2,-0.1125481496176217
BRIP1,-0.1125481496176217
BTK,0.341502112166022
C3,-0.3186627399536153
C3AR1,-0.04589523211648188
C5,-0.04589523211648188
C5AR1,-0.04589523211648188
C6,-0.7061724520096094
CALCA,-0.22706619798336614
CALCR,-0.7062071514303319
CALM3,-0.4911643324698271
CALR,-1.7549956285381008
CAMTA1,-0.3433359475365328
CARD11,-0.4929166784717722
CASP1,-0.2537520348278947
CASP3,-0.2537520348278947
CASR,-0.6525524782197704
CAV1,-0.3953737532807275
CBL,-0.32830346208198813
CCK,-0.2530035058077757
CCL16,-0.6850607278922985
CCL19,-0.04529631776685497
CCL2,-0.06201663992770299
CCL20,-0.04529631776685497
CCL5,-0.3131084481102927
CCR1,-0.3329527116196753
CCR2,-0.3056059506312193
CCR3,-0.3722038432177698
CCR5,-0.4797149873508977
CCR6,-0.04529631776685497
CCR7,-0.43540430627847326
CCR8,-0.04529631776685497
CCR9,-0.04529631776685497
CD14,0.3195214287989412
CD19,0.3736761682956349
CD274,0.3447215513531354
CD28,-0.6175553241380136
CD36,-0.38004966111099137
CD3D,-0.24219285465193888
CD4,-0.5050498145106512
CD80,-0.9123478666405482
CD86,-0.19519603675202868
CDC42,-0.38189848238506424
CDCP1,-0.593987412515519
CFB,-0.40922443505647127
CFH,-0.7092774570476357
CFTR,-0.2083824715407445
CHEK2,-0.5763823945868634
CHRM1,-0.7575735137416671
CHRM2,-0.7459149988675619
CHRM3,-0.7557943475878404
CHRNA4,-0.5689768383056784
CHUK,0.6458892830115133
CNR1,-0.6488435788039116
CNR2,-0.6369007758154736
COMT,-0.8698317743030746
CREB1,-0.2887825554547358
CRH,-0.108653537232885
CRK,0.001316472220301207
CSF2,-0.28025301557808424
CSF3R,0.2143192012936188
CST3,-0.7734495813219016
CTSL,-0.42360833623237026
CXCL1,-0.29790118727404835
CXCL10,-0.35834658323036966
CXCL12,-0.29417575190518797
CXCL13,-0.04529631776685497
CXCL2,-0.049268672965088696
CXCL5,-0.04529631776685497
CXCL6,-0.7038616296648362
CXCL8,-0.2637939673265493
CXCL9,-0.04529631776685497
CXCR1,-0.6786553469724086
CXCR2,-0.29626793943357516
CXCR3,-0.04529631776685497
CXCR4,-0.29676123064124454
CXCR5,-0.6786553469724086
CYP11B2,-0.8376359906638751
CYP17A1,-0.8849100520338276
CYP19A1,-0.3337073330542832
CYP1A1,-0.4764518704790793
CYP1A2,-0.6725514653239846
CYP1B1,-0.5816386577667121
CYP2B6,-0.8694518581671827
CYP2C19,-0.4485541287087342
CYP2C8,-0.26598623369636276
CYP2C9,-0.4290611638911188
CYP2D6,-0.6271246375074528
CYP2E1,-0.2873999908248706
CYP3A4,-0.5598856677498072
CYP3A5,-0.5390245775705514
CYP4A11,-0.93218411340378
CYSLTR1,-0.3146805070883325
DAB2,-0.7564701900691333
DCLRE1C,-0.2847480758318834
DLD,-0.3833793740107314
DLG4,-0.4911643324698271
DNAJC6,-0.7529902115837217
DRD1,-0.6884623792168628
DRD2,-0.5243681847516991
DRD3,-0.48528781700245505
DRD4,-0.7105826158244539
EDN1,-0.5536244331453315
EDN2,-0.773689908104198
EDN3,-0.281804682044044
EDNRA,-0.7387597135332006
EDNRB,-0.7004360113461173
EFNA5,0.024039159259095284
EGF,-0.35142954387583225
EGFR,-0.32291322067330014
ELANE,0.2143192012936188
ERBB2,-0.600880662648489
ERBB3,-0.5763823945868634
ERBB4,-0.4880258683267901
ESR1,-0.5669700281970553
ESR2,-0.4569307938774507
F10,0.09315503701039374
F2,-0.5006546463139867
F2R,-0.557730446491781
F2RL1,-0.5862120036740436
F2RL3,-0.7910639421333645
F3,-0.3154623143307671
F5,-1.0575093492808156
F7,-0.300659448397127
FABP2,-0.4569307938774507
FABP5,-0.0295847671461526
FCGR1A,0.2094934726432926
FCGR2A,-0.2096964880826551
FCGR2B,0.2094934726432926
FCGR2C,-1.0480764095345505
FCGR3A,-0.2096964880826551
FCGR3B,0.2094934726432926
FGA,-0.6934021502817477
FGB,-0.6934021502817477
FGF1,-0.07212153387493857
FGF10,0.34378280057691296
FGF2,-0.409236594047553
FGF20,-0.4880258683267901
FGF4,-0.03531159156243532
FGF7,0.453524878502539
FGFR1,-0.09946667346558939
FGFR2,-0.09946667346558939
FGFR3,-0.5101149998918084
FGFR4,-0.600880662648489
FGG,-0.8340701715388961
FMO3,-0.529581339634869
FN1,-0.5841040149319826
FPR1,-0.3568412835404082
FPR2,-0.047392517990549145
FSHR,-0.2582169111136173
FYN,-1.0303811815551192
GAK,-0.24219285465193888
