,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
AAK1,-0.5917718426913918,,-0.5917718426913918,-0.5917718426913918,-0.5917718426913918
ABCB1,-0.1694539813468086,0.4739147516355908,-0.9521137418296064,0.7195017661471432,-3.897441570976598
ABCG2,-0.11253198527293111,0.4100968073890443,-0.93218411340378,0.5222216338254775,-1.3503838232751733
ABL1,-0.1125481496176217,,-0.1125481496176217,-0.1125481496176217,-0.1125481496176217
ACAD9,-0.999252666038501,,-0.999252666038501,-0.999252666038501,-0.999252666038501
ACE,-0.8291411514213198,,-0.8291411514213198,-0.8291411514213198,-0.8291411514213198
ACKR3,-0.04529631776685498,0.8272025288927717,-0.7742453080292844,2.69020138254721,-2.717779066011299
ADA,0.0479445569449783,,0.0479445569449783,0.0479445569449783,0.0479445569449783
ADM,-0.5520202110429033,0.4232930795162475,-1.360518672475873,0.0097407038205137,-4.416161688343227
ADORA1,-0.6337979677861898,0.18295465781491166,-0.8673038141375802,-0.427521145551303,-2.535191871144759
ADORA2A,-0.058684563173093444,0.1507963478148869,-0.1653136832911652,0.0479445569449783,-0.11736912634618689
ADORA2B,-0.0805647742581761,0.35499979922111646,-0.7742453080292844,0.401810761221526,-0.9667772910981132
ADORA3,-0.6337979677861898,0.18295465781491163,-0.8673038141375802,-0.427521145551303,-2.535191871144759
ADRA1D,-0.4988853033481366,0.3928042162431325,-1.360518672475873,0.0097407038205137,-7.483279550222049
ADRA2A,-0.056190544716344694,0.610851649950106,-1.0226634175440594,2.580384974496262,-1.4047636179086174
ADRA2B,-0.6566831631869281,0.2582719249382257,-1.3298291530646846,0.0192379029844644,-23.64059387472941
ADRB1,-0.6882444479886368,0.2664367180379014,-1.360518672475873,-0.1983071491784933,-17.894355647704558
ADRB2,-0.5470591675886739,0.3948941483939345,-1.3298291530646846,-0.0302973919320468,-3.8294141731207176
ADRB3,-0.6149052734445155,0.30114592975019566,-1.360518672475873,0.0142432006435964,-22.751495117447075
AGK,-0.9458878868462754,,-0.9458878868462754,-0.9458878868462754,-0.9458878868462754
AGT,-0.12917297344550766,0.663101579060491,-0.999252666038501,2.69020138254721,-13.950681132114827
