Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
F2R,acamprosate,Myocardial Infarction,-0.73552908469388,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,amitriptyline,Myocardial Infarction,-0.4387633123015213,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,amoxapine,Myocardial Infarction,-0.6806729813555457,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,apomorphine,Myocardial Infarction,-0.5398531574849681,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,aripiprazole,Myocardial Infarction,-0.5601201197567622,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,atropine,Myocardial Infarction,-0.5563150188446446,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,bromocriptine,Myocardial Infarction,-0.5066459573765147,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,clozapine,Myocardial Infarction,-0.926819571051034,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,cyclobenzaprine,Myocardial Infarction,-0.4713167667672469,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,danazol,Myocardial Infarction,-1.065235969578584,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,desipramine,Myocardial Infarction,-0.9501123357607176,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,dexamethasone,Myocardial Infarction,-0.93218411340378,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,dextroamphetamine,Myocardial Infarction,-1.2871471573376765,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,dihydroergotamine,Myocardial Infarction,-0.6500183979496104,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,diphenhydramine,Myocardial Infarction,-1.0567399606511465,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,disopyramide,Myocardial Infarction,-0.4555729728125453,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,eletriptan,Myocardial Infarction,-0.8595706615867158,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,epinephrine,Myocardial Infarction,-0.8698317743030746,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,escitalopram,Myocardial Infarction,-0.8673038141375802,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,fenoldopam,Myocardial Infarction,-0.7871506637445247,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,goserelin,Myocardial Infarction,-0.5372811355387537,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,histrelin,Myocardial Infarction,-0.7265873945267582,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,imipramine,Myocardial Infarction,-0.69967517097359,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,irbesartan,Myocardial Infarction,-0.3791874067375502,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,leuprolide,Myocardial Infarction,-1.0701330305147323,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,losartan,Myocardial Infarction,-1.009051765619958,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,lurasidone,Myocardial Infarction,-0.553838195931954,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,maprotiline,Myocardial Infarction,-0.818613548972376,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,metoclopramide,Myocardial Infarction,-0.8376359906638751,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,mirtazapine,Myocardial Infarction,-0.5564977606077797,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,nafarelin,Myocardial Infarction,-0.7265873945267582,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,nortriptyline,Myocardial Infarction,-0.5054846392511241,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,olanzapine,Myocardial Infarction,-0.631909386264736,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,olmesartan,Myocardial Infarction,-0.4096354456851934,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,paroxetine,Myocardial Infarction,-1.3298291530646846,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,pergolide,Myocardial Infarction,-0.686442119595279,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,phentolamine,Myocardial Infarction,-0.72600119448939,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,phenylephrine,Myocardial Infarction,-1.0221840402638254,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,pilocarpine,Myocardial Infarction,-0.7252194804099492,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,pramipexole,Myocardial Infarction,-1.360518672475873,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,pseudoephedrine,Myocardial Infarction,-0.724809404776563,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,risperidone,Myocardial Infarction,-0.8611946433904603,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,ropinirole,Myocardial Infarction,-0.9282152844089424,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,tramadol,Myocardial Infarction,-0.9521137418296064,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,trazodone,Myocardial Infarction,-1.0603108150263996,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,trimipramine,Myocardial Infarction,-1.1360095220884947,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,triptorelin,Myocardial Infarction,-0.7265873945267582,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,tropicamide,Myocardial Infarction,-0.743321033794544,48.0,-0.784203719934458,116,-0.5554843168978487
F2R,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,116,-0.5554843168978487
F2R,amitriptyline,Tardive Dyskinesia,-0.7264757988413955,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,amoxapine,Tardive Dyskinesia,-0.6850847532173159,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,aripiprazole,Tardive Dyskinesia,-0.5549177615706657,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,asenapine,Tardive Dyskinesia,-0.7536416673914612,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,chlorpromazine,Tardive Dyskinesia,-0.5103477945881192,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,clozapine,Tardive Dyskinesia,-0.5461305563546084,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,escitalopram,Tardive Dyskinesia,-0.2089667088802898,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,haloperidol,Tardive Dyskinesia,-0.5974019599710729,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,iloperidone,Tardive Dyskinesia,-0.9074846690488024,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,loxapine,Tardive Dyskinesia,-0.7265415463446807,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,olanzapine,Tardive Dyskinesia,-0.467962963672095,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,paliperidone,Tardive Dyskinesia,-0.7064127517884486,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,quetiapine,Tardive Dyskinesia,-0.5675078345557392,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,risperidone,Tardive Dyskinesia,-0.5907600817008962,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,thiothixene,Tardive Dyskinesia,-0.920726976339216,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,trazodone,Tardive Dyskinesia,-1.1355480737708683,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,ziprasidone,Tardive Dyskinesia,-0.7575862513884761,17.0,-0.6684410676131853,116,-0.5554843168978487
F2R,atropine,Sepsis,-0.3586910540490571,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,bivalirudin,Sepsis,-1.0325860947358212,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,clozapine,Sepsis,-0.2122118097084371,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,cocaine,Sepsis,-0.1987468697915204,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,conivaptan,Sepsis,-0.1739713535752418,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,dexamethasone,Sepsis,-0.2660121012499328,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,epinephrine,Sepsis,-0.267343186135438,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,goserelin,Sepsis,-0.5307917003482245,10.0,-0.2802254239646329,116,-0.5554843168978487
F2R,paroxetine,Sepsis,-0.5917718426913918,10.0,-0.2802254239646329,116,-0.5554843168978487
