,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
AAK1,-0.5917718426913918,,-0.5917718426913918,-0.5917718426913918,-0.5917718426913918
ABCB1,-0.5265772021316035,0.2572139232098604,-0.818613548972376,-0.3337073330542832,-1.5797316063948106
ABCG2,-0.7569113855852461,0.24787306879509882,-0.93218411340378,-0.5816386577667121,-1.5138227711704921
ABL1,-0.1125481496176217,,-0.1125481496176217,-0.1125481496176217,-0.1125481496176217
ACAD9,-0.999252666038501,,-0.999252666038501,-0.999252666038501,-0.999252666038501
ACE,-0.8291411514213198,,-0.8291411514213198,-0.8291411514213198,-0.8291411514213198
ADA,0.0479445569449783,,0.0479445569449783,0.0479445569449783,0.0479445569449783
ADM,-0.5635492745108542,0.45585007351016693,-1.360518672475873,0.0097407038205137,-3.9448449215759798
ADORA2B,0.23042968905431196,0.22949160327641815,-0.0302973919320468,0.401810761221526,0.6912890671629359
ADRA1D,-0.5039827431907675,0.4071170229286757,-1.360518672475873,0.0097407038205137,-7.055758404670746
ADRA2A,-0.0561905447163447,0.610851649950106,-1.0226634175440594,2.580384974496262,-1.4047636179086176
ADRA2B,-0.6566247320297214,0.262042276029203,-1.3298291530646846,0.0192379029844644,-22.98186562104025
ADRB1,-0.6882444479886369,0.2664367180379014,-1.360518672475873,-0.1983071491784933,-17.89435564770456
ADRB2,-0.5470591675886739,0.39489414839393455,-1.3298291530646846,-0.0302973919320468,-3.8294141731207176
ADRB3,-0.6149052734445155,0.30114592975019566,-1.360518672475873,0.0142432006435964,-22.751495117447075
AGK,-0.9458878868462754,,-0.9458878868462754,-0.9458878868462754,-0.9458878868462754
AGT,-0.3300373434774432,0.3388975103972963,-0.999252666038501,0.245765087485239,-8.580970930413523
AGTR2,-0.48388954757419333,0.21299376033762019,-0.7238184736771327,-0.1665744940904758,-3.8711163805935467
AHSG,-0.7734495813219016,0.3473902617638881,-1.7527272831184817,-0.2887825554547358,-17.789340370403735
AKT1,-0.8638735130654851,0.3001457416774244,-1.1762069099477337,-0.5103477945881192,-4.3193675653274255
ALAS1,-0.3833793740107314,,-0.3833793740107314,-0.3833793740107314,-0.3833793740107314
