Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
F2R,acamprosate,Myocardial Infarction,-0.73552908469388,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,amitriptyline,Myocardial Infarction,-0.4387633123015213,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,amoxapine,Myocardial Infarction,-0.6806729813555457,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,apomorphine,Myocardial Infarction,-0.5398531574849681,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,aripiprazole,Myocardial Infarction,-0.5601201197567622,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,atropine,Myocardial Infarction,-0.5563150188446446,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,bromocriptine,Myocardial Infarction,-0.5066459573765147,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,clozapine,Myocardial Infarction,-0.926819571051034,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,cyclobenzaprine,Myocardial Infarction,-0.4713167667672469,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,danazol,Myocardial Infarction,-1.065235969578584,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,desipramine,Myocardial Infarction,-0.9501123357607176,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,dexamethasone,Myocardial Infarction,-0.93218411340378,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,dextroamphetamine,Myocardial Infarction,-1.2871471573376765,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,dihydroergotamine,Myocardial Infarction,-0.6500183979496104,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,diphenhydramine,Myocardial Infarction,-1.0567399606511465,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,disopyramide,Myocardial Infarction,-0.4555729728125453,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,eletriptan,Myocardial Infarction,-0.8595706615867158,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,epinephrine,Myocardial Infarction,-0.8698317743030746,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,escitalopram,Myocardial Infarction,-0.8673038141375802,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,fenoldopam,Myocardial Infarction,-0.7871506637445247,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,goserelin,Myocardial Infarction,-0.5372811355387537,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,histrelin,Myocardial Infarction,-0.7265873945267582,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,imipramine,Myocardial Infarction,-0.69967517097359,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,irbesartan,Myocardial Infarction,-0.3791874067375502,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,leuprolide,Myocardial Infarction,-1.0701330305147323,48.0,-0.7842037199344579,112,-0.5759962479519208
F2R,losartan,Myocardial Infarction,-1.009051765619958,48.0,-0.7842037199344579,112,-0.5759962479519208
