Gene,Mean Difference in -log(BH)
AAK1,-0.5917718426913918
ABCB1,-0.5265772021316035
ABCG2,-0.7569113855852461
ABL1,-0.1125481496176217
ACAD9,-0.999252666038501
ACE,-0.8291411514213198
ADA,0.0479445569449783
ADM,-0.5635492745108542
ADORA2B,0.23042968905431196
ADRA1D,-0.5039827431907675
ADRA2A,-0.0561905447163447
ADRA2B,-0.6566247320297214
ADRB1,-0.6882444479886368
ADRB2,-0.5470591675886739
ADRB3,-0.6149052734445155
AGK,-0.9458878868462754
AGT,-0.3300373434774432
AGTR2,-0.48388954757419333
AHSG,-0.7734495813219016
AKT1,-0.8638735130654851
ALAS1,-0.3833793740107314
ALB,-0.3973036866723021
ANGPT1,-0.5402126848176572
APOB,-0.7186580038762234
APOC1,-0.6317968889028898
APOE,-0.4830806976400506
APP,-0.1036698466833925
ARHGEF7,0.3447215513531354
ARRB2,-0.7264757988413955
ARTN,-0.4911643324698271
ATM,-0.18506706628344355
AVPR1A,-1.0904018393391801
BAAT,-0.3833793740107314
BBC3,-0.3749620076542267
BCR,0.272506611583794
BDKRB1,-0.5146918624723881
BDKRB2,-0.5473843225189743
BRAF,-0.5751232147229022
BTK,0.3404289657703175
C3,-0.13379151916238927
C6,-0.7563500886107661
CALCA,-0.10135716104854264
CALM3,-0.4911643324698271
CAMTA1,-0.3433359475365328
CARD11,-0.4929166784717722
CAV1,-0.3953737532807275
CBL,-0.32830346208198813
CCK,-0.44844944099314965
CCL19,0.006468348007572053
CCL20,0.006468348007572053
CCL5,-0.05494744397257489
CCR1,-0.5726663731636923
CCR5,-0.3568412835404082
CD19,0.3736761682956349
CD274,0.3447215513531354
CD28,-0.5763823945868634
CDC42,-0.999252666038501
CDCP1,-0.593987412515519
CFB,-0.40922443505647127
CFH,-0.7092774570476357
CHEK2,-0.5763823945868634
CHRM2,-0.7459149988675619
CNR1,-0.654378465766144
CRH,-0.10135716104854264
CSF2,-0.33432896707118426
CST3,-0.7734495813219016
CTSL,-0.6404047733705263
CXCL1,-0.2405262899447053
CXCL10,-0.3590972515014865
CXCL12,-0.4643107612465096
CXCL13,0.006468348007572053
CXCL2,-0.21681209763334905
CXCL5,0.006468348007572053
CXCL6,-0.9721040640864068
CXCL8,-0.3422059932576005
CXCL9,0.006468348007572053
CXCR4,-0.5495417895309078
CYP11B2,-0.8376359906638751
CYP17A1,-0.8849100520338276
CYP1A1,-0.29009681602701853
CYP1A2,-0.7732040987944895
CYP2B6,-1.0544657966059647
CYP2C19,-0.306925867490289
CYP2C8,-0.307719274000927
CYP2C9,-0.34956867173590417
CYP2D6,-0.3585881463121872
CYP2E1,-0.32799244060779525
CYP3A4,-0.3845279658812017
CYP3A5,-0.6392332600455589
CYP4A11,-0.93218411340378
CYSLTR1,-0.3146805070883325
DAB2,-0.7750300753246618
DCLRE1C,-0.1653136832911652
DLD,-0.3833793740107314
DLG4,-0.4911643324698271
DRD3,-0.44821042757564517
EDN1,-0.5647245268280333
EDN2,-1.1443669784424078
EDN3,-0.281804682044044
EDNRA,-0.7387597135332006
EDNRB,-0.7004360113461173
EGF,-0.33284062931527114
EGFR,-0.32291322067330014
ELANE,0.2143192012936188
ERBB2,-0.600880662648489
ESR1,-0.3322229299881893
ESR2,-0.3322229299881893
F2,-0.554822343844607
F2R,-0.5759962479519208
F2RL1,-0.5862120036740436
