,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
AAK1,-0.24219285465193888,0.07356113019464554,-0.3586910540490571,-0.1739713535752418,-1.2109642732596944
ABCB1,-0.40459891262973385,0.4752802836450668,-1.3298291530646846,0.7195017661471432,-19.016148893597492
ABCG2,0.004274942040026501,0.2842560919387433,-0.5086325303680272,0.5222216338254775,0.04702436244029151
ABL1,-0.11195395626341205,0.49815421013962397,-0.9458878868462754,0.3172528023744974,-0.5597697813170602
ACE,-0.429923099603793,0.9098090481899378,-1.340930746824771,0.4786825935646952,-1.289769298811379
ACKR3,-0.04529631776685498,0.8272025288927717,-0.7742453080292844,2.69020138254721,-2.717779066011299
ADM,-0.5167577975503372,0.33705493839268097,-1.2871471573376765,0.3742117306595141,-22.73734309221484
ADORA1,-0.6763497477323818,0.259698611305185,-1.360518672475873,0.0192379029844644,-37.87558587301338
ADORA2A,-0.058684563173093444,0.1507963478148869,-0.1653136832911652,0.0479445569449783,-0.11736912634618689
ADORA2B,-0.234765639847985,0.5422017378694964,-0.7742453080292844,2.514772844129258,-7.982031754831491
ADORA3,-0.3459763799078371,0.7056818066337712,-1.360518672475873,2.69020138254721,-38.749354549677754
ADRA1D,-0.7575735137416671,0.2356297127497098,-1.3298291530646846,-0.3791874067375502,-34.84838163211669
ADRA2B,-0.7416908515381038,0.2452096927100578,-1.360518672475873,-0.3590972515014865,-15.57550788230018
ADRB1,-0.821362100385643,0.16186279639760678,-1.0070394025827394,-0.5601201197567622,-4.9281726023138575
ADRB2,-0.5794256010403706,0.2378639989962046,-1.0567399606511465,-0.1739713535752418,-21.43874723849371
ADRB3,-0.91164948385837,0.13490171677367047,-1.0070394025827394,-0.8162595651340006,-1.82329896771674
AGT,-0.3203792342821304,0.6476985125662479,-1.360518672475873,2.69020138254721,-57.34788293650134
AGTR1,-0.7497517706370926,0.40170642688560637,-1.340930746824771,-0.3791874067375502,-4.498510623822556
AGTR2,-0.48687929766146393,0.496917204501043,-1.360518672475873,2.580384974496262,-38.46346451525565
ALB,-0.4107012861577805,0.5628119077801824,-1.901196468100899,2.580384974496262,-34.08820675109578
