Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CXCL8,0.0,Hyperlipidemia,184,0.0,-0.26208935806717865
CXCL8,23.0,Sepsis,184,-0.0049894354012660815,-0.26208935806717865
CXCL8,0.0,Proteinuria,184,0.0,-0.26208935806717865
CXCL8,58.0,Pneumonia,184,-0.04708130624183522,-0.26208935806717865
CXCL8,0.0,Peripheral Neuropathy,184,0.0,-0.26208935806717865
CXCL8,11.0,Pancreatitis,184,-0.42812792003079864,-0.26208935806717865
CXCL8,53.0,Myocardial Infarction,184,-0.6850607278922985,-0.26208935806717865
CXCL8,0.0,Tardive Dyskinesia,184,0.0,-0.26208935806717865
CXCL8,0.0,Hemorrhage,184,0.0,-0.26208935806717865
CXCL8,15.0,Gastric ulcer,184,-0.0034894085349328825,-0.26208935806717865
CXCL8,11.0,Edema,184,-0.23280551695733384,-0.26208935806717865
CXCL8,10.0,Delirium,184,-0.07292103722310976,-0.26208935806717865
CXCL8,0.0,Deep Vein Thrombosis,184,0.0,-0.26208935806717865
CXCL8,1.0,Cerebral Infarction,184,-0.5495417895309078,-0.26208935806717865
CXCL8,1.0,Thrombocytopenia,184,-0.1125481496176217,-0.26208935806717865
CXCL8,1.0,Pulmonary Edema,184,-0.3568412835404082,-0.26208935806717865
AGT,0.0,Hyperlipidemia,179,0.0,-0.3203792342821304
AGT,0.0,Peripheral Neuropathy,179,0.0,-0.3203792342821304
AGT,0.0,Deep Vein Thrombosis,179,0.0,-0.3203792342821304
AGT,0.0,Delirium,179,0.0,-0.3203792342821304
AGT,0.0,Edema,179,0.0,-0.3203792342821304
AGT,23.0,Gastric ulcer,179,-0.08945025138731086,-0.3203792342821304
AGT,0.0,Hemorrhage,179,0.0,-0.3203792342821304
AGT,70.0,Myocardial Infarction,179,-0.7083210800274722,-0.3203792342821304
AGT,0.0,Pancreatitis,179,0.0,-0.3203792342821304
AGT,58.0,Pneumonia,179,-0.04708130624183523,-0.3203792342821304
AGT,1.0,Proteinuria,179,-1.340930746824771,-0.3203792342821304
AGT,0.0,Pulmonary Edema,179,0.0,-0.3203792342821304
AGT,26.0,Sepsis,179,-0.041802432857231696,-0.3203792342821304
AGT,0.0,Tardive Dyskinesia,179,0.0,-0.3203792342821304
AGT,1.0,Cerebral Infarction,179,-0.5495417895309078,-0.3203792342821304
AGT,0.0,Thrombocytopenia,179,0.0,-0.3203792342821304
CCR2,0.0,Pulmonary Edema,149,0.0,-0.3056059506312193
CCR2,0.0,Peripheral Neuropathy,149,0.0,-0.3056059506312193
CCR2,60.0,Pneumonia,149,-0.045296317766854985,-0.3056059506312193
CCR2,0.0,Proteinuria,149,0.0,-0.3056059506312193
CCR2,24.0,Sepsis,149,-0.04739251799054914,-0.3056059506312193
CCR2,0.0,Tardive Dyskinesia,149,0.0,-0.3056059506312193
CCR2,0.0,Thrombocytopenia,149,0.0,-0.3056059506312193
CCR2,55.0,Myocardial Infarction,149,-0.6786553469724086,-0.3056059506312193
