,Count
CXCL8,184
AGT,179
CCR2,149
CXCR4,140
CXCR2,139
CXCL12,138
CCL5,133
C3,121
KNG1,113
CXCL10,113
CCR3,113
ADORA3,112
POMC,99
GAL,91
CCR5,89
CASR,85
C3AR1,84
C5AR1,84
ALB,83
CXCL2,82
AGTR2,79
EDN1,78
GHRL,71
CYP3A4,70
F2,69
CNR2,66
APOA1,62
CXCR3,60
CCR1,60
CCR6,60
CCR8,60
CCR9,60
ACKR3,60
PF4,59
CXCL13,58
CXCL9,58
CXCL5,58
CCL19,58
CXCL1,58
CCL20,58
ADORA1,56
OPRK1,55
TAS2R50,55
GPER1,55
CXCR5,55
CXCR1,55
NPY,54
CXCL6,54
CCL16,53
HTR1D,52
CYP2D6,52
SST,49
P2RY2,47
ABCB1,47
HTR1E,47
GHSR,46
AVPR1A,46
GPR65,46
UTS2,46
ADRA1D,46
UTS2B,46
UTS2R,46
CHRM1,46
EDN2,46
CHRM3,45
ADM,44
HTR2A,43
VIP,42
APOC1,41
ADRB2,37
CYP1A2,37
APOA2,35
APOA4,35
APOC3,35
ADORA2B,34
CALCA,33
CYP2C19,33
SAA1,33
OXT,32
GCG,30
CYP2C9,30
DRD2,27
RAMP1,27
GHRH,27
TSHR,26
GIP,26
RLN2,26
DRD1,26
CALCR,26
CCK,25
PTHLH,25
APOB,25
SSTR1,24
HGF,24
C5,24
FPR2,24
GAST,24
AP1M1,23
KRT16,23
ATM,23
TTN,23
PNOC,23
APOC2,23
ADRA2B,21
DRD3,21
WNT5A,21
PTGS2,20
LDLRAP1,20
TBXA2R,19
VWF,19
HTR1B,18
GRAP2,18
HTR2C,17
PPBP,17
ANXA1,17
IGF2R,16
DAB2,16
CYP2C8,16
BIN1,16
DNAJC6,16
VAMP8,16
DRD4,16
TAC1,15
HRH3,15
CTSL,14
ITGB3,14
FGFR2,14
CYP1A1,14
SLC6A4,14
PTGS1,14
PLAT,14
PDGFB,13
FGF4,13
JAK2,13
PDGFRB,12
IL2RA,12
PDGFRA,12
OPRD1,12
BDKRB2,12
FGFR1,11
NRAS,11
NCOA3,11
EGF,11
PPY,11
ABCG2,11
SRC,10
CCR7,10
CYP2E1,10
PLG,10
TNF,10
CYP2B6,10
SCT,9
HTR1A,9
PIK3CA,9
CSF2,9
MET,9
NRG1,9
BDKRB1,8
CRH,8
SLC6A3,8
F2R,8
IL2,8
CD4,8
PDGFA,7
HRH1,7
PIK3CB,7
SERPINE1,7
NR1I2,7
NTS,7
GRP,7
GRPR,7
AP2S1,7
TF,7
ARRB2,7
GPR17,7
FGF2,7
P2RY12,6
NFKB1,6
ADRB1,6
IL2RG,6
JAK1,6
AGTR1,6
IL3,5
RIPK1,5
SCARB2,5
CD14,5
OCRL,5
VEGFA,5
SLCO1B1,5
FGF7,5
ABL1,5
JAK3,5
AAK1,5
IAPP,5
EFNA5,5
AVP,5
CYP3A5,5
TRH,5
CD3D,5
GAK,5
SYT1,5
IL2RB,5
PPARG,4
PLAUR,4
PALB2,4
SERPINC1,4
SHC1,4
GRM8,4
GSTP1,4
FGA,4
PTH,4
KRAS,4
HBEGF,4
NCAM1,4
LTA,4
CD86,4
BCR,4
LPAR2,4
LPAR1,4
MAP3K7,3
S1PR1,3
PTGDR2,3
HLA-DPA1,3
XDH,3
HLA-DRB3,3
GALR1,3
TAB2,3
TLR4,3
ESR1,3
B2M,3
NOS2,3
ACE,3
FCGR2A,3
ERBB4,3
PIK3CD,3
TP53,3
FGF20,3
FGF10,3
FGF1,3
KL,3
SYK,3
IRAK1,2
MYD88,2
SLC22A1,2
TAB3,2
TEK,2
KIT,2
TLR3,2
RASGRP1,2
ADRB3,2
TRAF6,2
STAT3,2
PAK2,2
NFKBIA,2
LTB,2
NCK1,2
FGFR3,2
GH1,2
NCK2,2
MTOR,2
IL5RA,2
IL1B,2
ANGPT1,2
IL5,2
PTPRA,2
STAT1,2
CD80,2
GDNF,2
MMP2,2
CHRNA4,2
ALOX5,2
ADORA2A,2
FCGR1A,2
DCLRE1C,2
FCGR2B,2
FCGR3A,2
RET,2
CRK,2
CD36,2
S1PR3,2
LY96,2
CDC42,2
SLCO1B3,1
IL6,1
HLA-DPB1,1
ITGAV,1
RAP1B,1
ZAP70,1
HLCS,1
TPMT,1
RHOA,1
F2RL3,1
ITK,1
ICOS,1
GSTT1,1
GSTM1,1
SOD1,1
SCN5A,1
IL1R1,1
NTRK2,1
APP,1
LRP2,1
IGHG3,1
PLA2G4A,1
PTPN6,1
IL6ST,1
NGF,1
ITGA2B,1
PARP1,1
IKBKB,1
CHUK,1
BIRC3,1
CYP19A1,1
KRT8,1
LRP1,1
CALR,1
BRAF,1
MAPK3,1
MAPK1,1
RELA,1
BTK,1
MAP3K8,1
HLA-DQA1,1
HLA-DQB1,1
CSF3R,1
CD28,1
BRCA1,1
KAT5,1
IRS1,1
CNR1,1
PTPN11,1
SLC18A2,1
GRIN2B,1
LTA4H,1
PPARA,1
HLA-DQA2,1
ESR2,1
CYP1B1,1
BECN1,1
AR,1
CCL2,1
TXNRD2,1
SF3B1,1
COMT,1
SRSF2,1
RAD51,1
F10,1
NBN,1
BRIP1,1
TTR,1
CREB1,1
KDR,1
PSPN,1
TICAM1,1
ARTN,1
GFRA1,1
IRAK4,1
PTK2B,1
CASP3,1
CASP1,1
AMY2A,1
CFTR,1
BCL2,1
SPTBN5,1
SPTBN4,1
ERBB3,1
GRIN2A,1
BRCA2,1
RAMP2,1
