Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
AGT,0.0,Deep Vein Thrombosis,82,0.0,-0.06548427075245493
AGT,0.0,Peripheral Neuropathy,82,0.0,-0.06548427075245493
AGT,0.0,Cerebral Infarction,82,0.0,-0.06548427075245493
AGT,0.0,Thrombocytopenia,82,0.0,-0.06548427075245493
AGT,0.0,Tardive Dyskinesia,82,0.0,-0.06548427075245493
AGT,0.0,Sepsis,82,0.0,-0.06548427075245493
AGT,0.0,Proteinuria,82,0.0,-0.06548427075245493
AGT,58.0,Pneumonia,82,-0.04708130624183522,-0.06548427075245493
AGT,0.0,Pulmonary Edema,82,0.0,-0.06548427075245493
AGT,0.0,Pancreatitis,82,0.0,-0.06548427075245493
AGT,1.0,Myocardial Infarction,82,-0.5816386577667121,-0.06548427075245493
AGT,0.0,Hyperlipidemia,82,0.0,-0.06548427075245493
AGT,0.0,Hemorrhage,82,0.0,-0.06548427075245493
AGT,23.0,Gastric ulcer,82,-0.08945025138731086,-0.06548427075245493
AGT,0.0,Edema,82,0.0,-0.06548427075245493
AGT,0.0,Delirium,82,0.0,-0.06548427075245493
GAL,53.0,Myocardial Infarction,68,-0.6850607278922985,-0.5347141133281736
GAL,0.0,Cerebral Infarction,68,0.0,-0.5347141133281736
GAL,0.0,Deep Vein Thrombosis,68,0.0,-0.5347141133281736
GAL,0.0,Delirium,68,0.0,-0.5347141133281736
GAL,0.0,Edema,68,0.0,-0.5347141133281736
GAL,15.0,Gastric ulcer,68,-0.003489408534932877,-0.5347141133281736
GAL,0.0,Hemorrhage,68,0.0,-0.5347141133281736
GAL,0.0,Hyperlipidemia,68,0.0,-0.5347141133281736
GAL,0.0,Peripheral Neuropathy,68,0.0,-0.5347141133281736
GAL,0.0,Pancreatitis,68,0.0,-0.5347141133281736
GAL,0.0,Pneumonia,68,0.0,-0.5347141133281736
GAL,0.0,Proteinuria,68,0.0,-0.5347141133281736
GAL,0.0,Pulmonary Edema,68,0.0,-0.5347141133281736
GAL,0.0,Sepsis,68,0.0,-0.5347141133281736
GAL,0.0,Tardive Dyskinesia,68,0.0,-0.5347141133281736
GAL,0.0,Thrombocytopenia,68,0.0,-0.5347141133281736
CXCL10,0.0,Hyperlipidemia,63,0.0,-0.0962009250146735
CXCL10,0.0,Pulmonary Edema,63,0.0,-0.0962009250146735
CXCL10,1.0,Proteinuria,63,-1.340930746824771,-0.0962009250146735
CXCL10,58.0,Pneumonia,63,-0.04708130624183522,-0.0962009250146735
CXCL10,0.0,Peripheral Neuropathy,63,0.0,-0.0962009250146735
CXCL10,1.0,Thrombocytopenia,63,-0.1125481496176217,-0.0962009250146735
CXCL10,3.0,Myocardial Infarction,63,-0.6254878724851984,-0.0962009250146735
CXCL10,0.0,Edema,63,0.0,-0.0962009250146735
