,Count
AGT,82
GAL,68
CXCL10,63
ACKR3,60
CXCR4,56
CNR2,55
CXCR1,55
CXCR2,55
GPER1,55
CCL16,53
ALB,50
HTR1E,47
CHRM1,46
GPR65,46
UTS2B,46
CHRM3,45
CCR5,30
TSHR,26
GIP,26
APOA1,26
CALCR,26
SSTR1,24
AP1M1,23
TTN,23
ABCB1,20
HTR1B,18
PPBP,17
ANXA1,16
DNAJC6,16
WNT5A,16
BIN1,16
GRAP2,16
PTHLH,16
APOC1,14
FGF4,13
APOC3,13
APOA4,13
APOA2,13
PDGFRA,12
ATM,12
KRT16,12
HGF,12
FGFR1,11
FGFR2,11
DRD1,10
IL2RA,10
ABCG2,10
ADORA2B,9
HTR1A,9
CYP2C8,8
HRH1,7
GPR17,7
NR1I2,6
CCR2,6
CXCL8,6
APOC2,6
CCL5,5
EFNA5,5
AVP,5
CYP3A4,5
GAK,5
CD3D,5
APOB,5
HTR1D,4
CTSL,4
CCR3,4
CXCR5,4
NCOA3,4
PIK3CA,4
OPRK1,4
AGTR2,4
NCAM1,4
HTR2C,4
TAS2R50,4
C3,4
BDKRB2,4
ADORA3,4
ADORA1,4
F2R,4
CXCL12,4
FGF1,3
KNG1,3
TAB2,3
HLA-DPA1,3
MAP3K7,3
GALR1,3
CD14,3
S1PR1,3
GSTP1,3
NFKB1,3
NPY,3
HTR2A,3
B2M,3
CXCL6,3
ERBB4,3
PIK3CB,3
BDKRB1,3
FGF20,3
KL,3
CASR,3
POMC,3
BCR,2
FCGR2B,2
CHRNA4,2
KIT,2
SLC6A4,2
PPARG,2
CYP1A2,2
PIK3CD,2
SLC6A3,2
SERPINC1,2
CRK,2
LTB,2
P2RY12,2
SLC22A1,2
AGTR1,2
CCR7,2
TEK,2
PTPRA,2
LY96,2
ADORA2A,2
OXT,2
GRM8,2
GHRL,2
F2,2
MTOR,2
SAA1,2
RASGRP1,2
EDN1,2
CYP2C19,2
RIPK1,2
BIRC3,1
MET,1
SPTBN4,1
JAK2,1
NRG1,1
HBEGF,1
OPRD1,1
GRIN2A,1
PDGFA,1
IGHG3,1
FGFR3,1
MAP3K8,1
IL6,1
TAB3,1
SPTBN5,1
TICAM1,1
TLR3,1
TRAF6,1
MYD88,1
IRAK4,1
HLA-DPB1,1
PALB2,1
IRAK1,1
PTPN6,1
TPMT,1
RHOA,1
VIP,1
NFKBIA,1
PARP1,1
CFTR,1
GH1,1
SLCO1B1,1
HRH3,1
FGF2,1
UTS2,1
RLN2,1
RAMP1,1
GHRH,1
CD36,1
ADM,1
SST,1
GAST,1
CCK,1
UTS2R,1
P2RY2,1
VWF,1
GHSR,1
EDN2,1
AVPR1A,1
ADRA1D,1
TAC1,1
TP53,1
F2RL3,1
NGF,1
PLAUR,1
TLR4,1
SF3B1,1
CSF2,1
TRH,1
CD28,1
ANGPT1,1
ADRA2B,1
SHC1,1
IRS1,1
CNR1,1
PTPN11,1
SLC18A2,1
DRD4,1
CSF3R,1
SRSF2,1
PPARA,1
CYP1B1,1
BECN1,1
DRD2,1
TXNRD2,1
COMT,1
IL1B,1
TTR,1
NOS2,1
APP,1
