,Number of Neighbrohood Genes PathFXv1,Number of Neighbrohood Genes PathFXv1,Number of Neighbrohood Genes PathFXv1,Number of Neighbrohood Genes PathFXv1,Number of Neighbrohood Genes PathFXv1,Number of Neighbrohood Genes PathFXv2,Number of Neighbrohood Genes PathFXv2,Number of Neighbrohood Genes PathFXv2,Number of Neighbrohood Genes PathFXv2,Number of Neighbrohood Genes PathFXv2
,mean,std,min,max,sum,mean,std,min,max,sum
Adverse Event,,,,,,,,,,
Cerebral Infarction,12.2,7.661592523751182,7,24,61,7.4,4.979959839195493,4,15,37
Deep Vein Thrombosis,5.0,4.242640687119285,2,8,10,4.0,2.8284271247461903,2,6,8
Delirium,5.2727272727272725,1.009049958219026,3,6,58,5.454545454545454,1.2933395813657265,3,7,60
Edema,19.72222222222222,7.1357060374986565,6,35,355,7.222222222222222,1.6647047275914606,3,9,130
Gastric ulcer,12.807692307692308,4.578377273831686,5,23,333,9.961538461538462,3.736102452886101,6,17,259
Hemorrhage,4.166666666666667,1.6422453217986943,2,6,50,2.5,1.243163121016122,1,5,30
Hyperlipidemia,20.105263157894736,10.413104654137099,2,42,382,12.736842105263158,5.762350072893272,2,26,242
Myocardial Infarction,42.4,20.483151458476456,4,96,3392,40.475,18.607181817509964,7,79,3238
Pancreatitis,14.708333333333334,8.201161989072919,1,28,353,10.583333333333334,5.79292421964009,1,20,254
Peripheral Neuropathy,17.0,,17,17,17,7.0,,7,7,7
Pneumonia,33.042857142857144,10.711548304551744,2,49,2313,26.52857142857143,7.777189665234283,1,38,1857
Proteinuria,10.25,5.377421934967226,4,17,41,6.75,3.8622100754188224,3,11,27
Pulmonary Edema,7.333333333333333,2.309401076758503,6,10,22,6.666666666666667,0.5773502691896258,6,7,20
Sepsis,27.545454545454547,11.803312324012348,3,52,909,21.03030303030303,9.970220811511803,2,42,694
Tardive Dyskinesia,13.583333333333334,4.221236854253756,5,19,326,7.166666666666667,2.200131748360749,4,11,172
Thrombocytopenia,11.0,6.640098575390962,1,22,253,10.695652173913043,7.594464387174598,1,24,246
