Gene,Version 1 Adverse Event Count,Version 2 Adverse Event Count,Adverse Event,All Records Version 1 Count,All Records Version 2 Count,Adverse Event Count Difference,All Records Count Difference
AAK1,6.0,5.0,Sepsis,6.0,5.0,-1.0,-1.0
ABCB1,0.0,10.0,Thrombocytopenia,30.0,47.0,10.0,17.0
ABCB1,0.0,7.0,Delirium,30.0,47.0,7.0,17.0
ABCB1,8.0,7.0,Hyperlipidemia,30.0,47.0,-1.0,17.0
ABCB1,22.0,23.0,Myocardial Infarction,30.0,47.0,1.0,17.0
ABCG2,0.0,10.0,Thrombocytopenia,3.0,11.0,10.0,8.0
ABCG2,2.0,0.0,Myocardial Infarction,3.0,11.0,-2.0,8.0
ABCG2,1.0,1.0,Delirium,3.0,11.0,0.0,8.0
ABL1,6.0,5.0,Thrombocytopenia,6.0,5.0,-1.0,-1.0
ACAD9,1.0,0.0,Edema,1.0,0.0,-1.0,-1.0
ACE,1.0,1.0,Proteinuria,4.0,3.0,0.0,-1.0
ACE,1.0,0.0,Edema,4.0,3.0,-1.0,-1.0
ACE,1.0,1.0,Myocardial Infarction,4.0,3.0,0.0,-1.0
ACE,1.0,1.0,Gastric ulcer,4.0,3.0,0.0,-1.0
ACKR3,0.0,60.0,Pneumonia,0.0,60.0,60.0,60.0
ADA,1.0,0.0,Sepsis,1.0,0.0,-1.0,-1.0
ADM,7.0,5.0,Gastric ulcer,50.0,44.0,-2.0,-6.0
ADM,1.0,1.0,Cerebral Infarction,50.0,44.0,0.0,-6.0
ADM,4.0,4.0,Hyperlipidemia,50.0,44.0,0.0,-6.0
ADM,10.0,8.0,Sepsis,50.0,44.0,-2.0,-6.0
ADM,28.0,26.0,Myocardial Infarction,50.0,44.0,-2.0,-6.0
ADORA1,1.0,1.0,Cerebral Infarction,52.0,56.0,0.0,4.0
ADORA1,51.0,55.0,Myocardial Infarction,52.0,56.0,4.0,4.0
ADORA2A,0.0,2.0,Sepsis,0.0,2.0,2.0,2.0
ADORA2B,28.0,26.0,Pneumonia,28.0,34.0,-2.0,6.0
ADORA2B,0.0,8.0,Sepsis,28.0,34.0,8.0,6.0
ADORA3,59.0,59.0,Pneumonia,108.0,112.0,0.0,4.0
ADORA3,49.0,53.0,Myocardial Infarction,108.0,112.0,4.0,4.0
ADRA1D,48.0,46.0,Myocardial Infarction,59.0,46.0,-2.0,-13.0
ADRA1D,11.0,0.0,Sepsis,59.0,46.0,-11.0,-13.0
ADRA2A,25.0,0.0,Sepsis,25.0,0.0,-25.0,-25.0
ADRA2B,55.0,21.0,Myocardial Infarction,55.0,21.0,-34.0,-34.0
ADRB1,4.0,0.0,Hyperlipidemia,32.0,6.0,-4.0,-26.0
ADRB1,28.0,6.0,Myocardial Infarction,32.0,6.0,-22.0,-26.0
ADRB2,6.0,5.0,Sepsis,44.0,37.0,-1.0,-7.0
ADRB2,15.0,12.0,Pneumonia,44.0,37.0,-3.0,-7.0
ADRB2,19.0,16.0,Myocardial Infarction,44.0,37.0,-3.0,-7.0
ADRB2,4.0,4.0,Hyperlipidemia,44.0,37.0,0.0,-7.0
ADRB3,7.0,0.0,Gastric ulcer,39.0,2.0,-7.0,-37.0
ADRB3,4.0,0.0,Hyperlipidemia,39.0,2.0,-4.0,-37.0
ADRB3,28.0,2.0,Myocardial Infarction,39.0,2.0,-26.0,-37.0
AGK,1.0,0.0,Thrombocytopenia,1.0,0.0,-1.0,-1.0
AGT,1.0,1.0,Proteinuria,123.0,179.0,0.0,56.0
AGT,1.0,1.0,Cerebral Infarction,123.0,179.0,0.0,56.0
AGT,18.0,0.0,Edema,123.0,179.0,-18.0,56.0
AGT,26.0,26.0,Sepsis,123.0,179.0,0.0,56.0
AGT,0.0,58.0,Pneumonia,123.0,179.0,58.0,56.0
AGT,69.0,70.0,Myocardial Infarction,123.0,179.0,1.0,56.0
AGT,0.0,23.0,Gastric ulcer,123.0,179.0,23.0,56.0
AGT,8.0,0.0,Hyperlipidemia,123.0,179.0,-8.0,56.0
AGTR1,0.0,1.0,Proteinuria,4.0,6.0,1.0,2.0
AGTR1,4.0,5.0,Myocardial Infarction,4.0,6.0,1.0,2.0
AGTR2,8.0,0.0,Hyperlipidemia,83.0,79.0,-8.0,-4.0
AGTR2,24.0,24.0,Sepsis,83.0,79.0,0.0,-4.0
AGTR2,51.0,55.0,Myocardial Infarction,83.0,79.0,4.0,-4.0
AHSG,23.0,0.0,Myocardial Infarction,23.0,0.0,-23.0,-23.0
AKT1,4.0,0.0,Tardive Dyskinesia,5.0,0.0,-4.0,-5.0
AKT1,1.0,0.0,Edema,5.0,0.0,-1.0,-5.0
ALAS1,1.0,0.0,Sepsis,1.0,0.0,-1.0,-1.0
ALB,4.0,5.0,Thrombocytopenia,34.0,83.0,1.0,49.0
ALB,1.0,1.0,Pulmonary Edema,34.0,83.0,0.0,49.0
ALB,14.0,13.0,Hyperlipidemia,34.0,83.0,-1.0,49.0
ALB,0.0,11.0,Sepsis,34.0,83.0,11.0,49.0
ALB,3.0,3.0,Proteinuria,34.0,83.0,0.0,49.0
ALB,12.0,16.0,Pancreatitis,34.0,83.0,4.0,49.0
ALB,0.0,34.0,Myocardial Infarction,34.0,83.0,34.0,49.0
ALOX5,1.0,1.0,Sepsis,2.0,2.0,0.0,0.0
ALOX5,1.0,1.0,Pneumonia,2.0,2.0,0.0,0.0
AMY2A,1.0,1.0,Pancreatitis,1.0,1.0,0.0,0.0
ANGPT1,1.0,0.0,Cerebral Infarction,4.0,2.0,-1.0,-2.0
ANGPT1,1.0,1.0,Myocardial Infarction,4.0,2.0,0.0,-2.0
ANGPT1,1.0,1.0,Pneumonia,4.0,2.0,0.0,-2.0
ANGPT1,1.0,0.0,Gastric ulcer,4.0,2.0,-1.0,-2.0
ANXA1,0.0,16.0,Gastric ulcer,1.0,17.0,16.0,16.0
ANXA1,1.0,1.0,Cerebral Infarction,1.0,17.0,0.0,16.0
AP1M1,0.0,23.0,Myocardial Infarction,0.0,23.0,23.0,23.0
AP2S1,7.0,7.0,Pancreatitis,7.0,7.0,0.0,0.0
APOA1,11.0,12.0,Hyperlipidemia,36.0,62.0,1.0,26.0
APOA1,3.0,3.0,Proteinuria,36.0,62.0,0.0,26.0
APOA1,11.0,23.0,Myocardial Infarction,36.0,62.0,12.0,26.0
APOA1,4.0,6.0,Edema,36.0,62.0,2.0,26.0
APOA1,5.0,12.0,Pneumonia,36.0,62.0,7.0,26.0
APOA1,2.0,6.0,Sepsis,36.0,62.0,4.0,26.0
APOA2,11.0,23.0,Myocardial Infarction,22.0,35.0,12.0,13.0
APOA2,11.0,12.0,Hyperlipidemia,22.0,35.0,1.0,13.0
APOA4,11.0,12.0,Hyperlipidemia,22.0,35.0,1.0,13.0
APOA4,11.0,23.0,Myocardial Infarction,22.0,35.0,12.0,13.0
APOB,19.0,16.0,Myocardial Infarction,24.0,25.0,-3.0,1.0
APOB,0.0,5.0,Sepsis,24.0,25.0,5.0,1.0
APOB,4.0,4.0,Hyperlipidemia,24.0,25.0,0.0,1.0
APOB,1.0,0.0,Cerebral Infarction,24.0,25.0,-1.0,1.0
APOC1,7.0,6.0,Sepsis,44.0,41.0,-1.0,-3.0
APOC1,23.0,23.0,Myocardial Infarction,44.0,41.0,0.0,-3.0
APOC1,14.0,12.0,Hyperlipidemia,44.0,41.0,-2.0,-3.0
APOC2,11.0,12.0,Hyperlipidemia,17.0,23.0,1.0,6.0
APOC2,6.0,11.0,Pancreatitis,17.0,23.0,5.0,6.0
APOC3,11.0,23.0,Myocardial Infarction,22.0,35.0,12.0,13.0
APOC3,11.0,12.0,Hyperlipidemia,22.0,35.0,1.0,13.0
APOE,23.0,0.0,Myocardial Infarction,99.0,0.0,-23.0,-99.0
APOE,1.0,0.0,Cerebral Infarction,99.0,0.0,-1.0,-99.0
APOE,14.0,0.0,Edema,99.0,0.0,-14.0,-99.0
APOE,3.0,0.0,Proteinuria,99.0,0.0,-3.0,-99.0
APOE,14.0,0.0,Hyperlipidemia,99.0,0.0,-14.0,-99.0
APOE,5.0,0.0,Thrombocytopenia,99.0,0.0,-5.0,-99.0
APOE,12.0,0.0,Tardive Dyskinesia,99.0,0.0,-12.0,-99.0
APOE,8.0,0.0,Delirium,99.0,0.0,-8.0,-99.0
APOE,7.0,0.0,Sepsis,99.0,0.0,-7.0,-99.0
APOE,12.0,0.0,Pancreatitis,99.0,0.0,-12.0,-99.0
APP,0.0,1.0,Cerebral Infarction,27.0,1.0,1.0,-26.0
