,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCA3,-0.1577439437870591,,-0.1577439437870591,-0.1577439437870591,-0.1577439437870591
ABCA5,-0.0850320728298843,,-0.0850320728298843,-0.0850320728298843,-0.0850320728298843
ABCB1,-0.349526115675859,0.5407916125373614,-1.340930746824771,2.580384974496262,-46.13744726921339
ABCB11,-0.35031979497483906,0.36046455027242547,-1.009051765619958,0.3977086226612929,-6.305756309547103
ABCC1,-0.3911717201261375,0.1585782058025315,-0.5173696063400754,-0.2083824715407445,-1.9558586006306875
ABCC10,-0.4569307938774507,0.17636355244677143,-0.5816386577667121,-0.3322229299881893,-0.9138615877549014
ABCC2,-0.3922483982303828,0.4291618361322911,-0.943374659083517,0.3977086226612929,-3.1379871858430626
ABCC4,-0.23969590077172995,0.20195920481062235,-0.4705952514928366,0.0721334065028944,-1.1984795038586498
ABCC5,-0.244250962419704,,-0.244250962419704,-0.244250962419704,-0.244250962419704
ABCG2,-0.2354774806844671,0.36674348284978037,-0.943374659083517,0.656957082371072,-8.241711823956349
ABL1,0.016197883509001976,0.5450352813224048,-0.9458878868462754,0.656957082371072,0.09718730105401185
ABL2,0.41938477174102484,0.33597798373732646,0.1818124611109777,0.656957082371072,0.8387695434820497
ACACA,-1.1705119419266277,,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
ACACB,-1.1705119419266277,,-1.1705119419266277,-1.1705119419266277,-1.1705119419266277
ACAT1,-0.4929166784717722,,-0.4929166784717722,-0.4929166784717722,-0.4929166784717722
ACE,-0.5297276125581747,0.769206582137139,-1.340930746824771,0.4786825935646952,-2.1189104502326988
ACHE,-0.482013522098871,,-0.482013522098871,-0.482013522098871,-0.482013522098871
ADA,-0.27847328458170306,0.4616245384875845,-0.6048911261083845,0.0479445569449783,-0.5569465691634061
ADAMTS4,-0.11882601332882044,0.2238077321472723,-0.3590972515014865,0.0837244105509213,-0.3564780399864613
ADK,-0.6048911261083845,,-0.6048911261083845,-0.6048911261083845,-0.6048911261083845
ADORA1,-0.3460612818429334,0.30099090214898894,-0.9521137418296064,0.0787767388431266,-5.536980509486934
