Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP3A4,12.0,Thrombocytopenia,179,-0.12386171260552875,-0.3567342531102537
CYP3A4,20.0,Tardive Dyskinesia,179,-0.7259214903666616,-0.3567342531102537
CYP3A4,2.0,Cerebral Infarction,179,-0.5203530610003675,-0.3567342531102537
CYP3A4,0.0,Deep Vein Thrombosis,179,0.0,-0.3567342531102537
CYP3A4,11.0,Delirium,179,-0.044869343523860294,-0.3567342531102537
CYP3A4,10.0,Edema,179,-0.2634809040003699,-0.3567342531102537
CYP3A4,12.0,Gastric ulcer,179,-0.23185430154061995,-0.3567342531102537
CYP3A4,0.0,Hemorrhage,179,0.0,-0.3567342531102537
CYP3A4,14.0,Hyperlipidemia,179,-0.2991567066193192,-0.3567342531102537
CYP3A4,34.0,Myocardial Infarction,179,-0.6853497829430389,-0.3567342531102537
CYP3A4,1.0,Peripheral Neuropathy,179,-0.600880662648489,-0.3567342531102537
CYP3A4,36.0,Pneumonia,179,-0.21037531609262963,-0.3567342531102537
CYP3A4,1.0,Proteinuria,179,-0.4941551110670765,-0.3567342531102537
CYP3A4,2.0,Pulmonary Edema,179,0.15005789941533187,-0.3567342531102537
CYP3A4,14.0,Sepsis,179,-0.060910590781286786,-0.3567342531102537
CYP3A4,10.0,Pancreatitis,179,-0.4188065250990126,-0.3567342531102537
CYP2D6,1.0,Cerebral Infarction,158,-0.5495417895309078,-0.42029938657277854
CYP2D6,8.0,Pancreatitis,158,-0.4159167531823189,-0.42029938657277854
CYP2D6,5.0,Thrombocytopenia,158,0.005232615440175436,-0.42029938657277854
CYP2D6,11.0,Sepsis,158,0.0913605133604729,-0.42029938657277854
CYP2D6,1.0,Pulmonary Edema,158,-0.3568412835404082,-0.42029938657277854
CYP2D6,1.0,Proteinuria,158,-1.340930746824771,-0.42029938657277854
CYP2D6,37.0,Pneumonia,158,-0.2786088148373602,-0.42029938657277854
CYP2D6,0.0,Peripheral Neuropathy,158,0.0,-0.42029938657277854
CYP2D6,23.0,Tardive Dyskinesia,158,-0.7521934107320652,-0.42029938657277854
CYP2D6,32.0,Myocardial Infarction,158,-0.749460783650241,-0.42029938657277854
CYP2D6,0.0,Hemorrhage,158,0.0,-0.42029938657277854
CYP2D6,14.0,Gastric ulcer,158,-0.24201310862354766,-0.42029938657277854
CYP2D6,9.0,Edema,158,-0.36455439677618173,-0.42029938657277854
CYP2D6,9.0,Delirium,158,-0.06808842075289671,-0.42029938657277854
CYP2D6,0.0,Deep Vein Thrombosis,158,0.0,-0.42029938657277854
CYP2D6,7.0,Hyperlipidemia,158,-0.4271564865987906,-0.42029938657277854
CYP1A2,0.0,Peripheral Neuropathy,121,0.0,-0.3963695906001565
CYP1A2,8.0,Edema,121,-0.3149832018824159,-0.3963695906001565
CYP1A2,12.0,Gastric ulcer,121,-0.1782838495228328,-0.3963695906001565
CYP1A2,0.0,Hemorrhage,121,0.0,-0.3963695906001565
CYP1A2,6.0,Hyperlipidemia,121,-0.35787659384001486,-0.3963695906001565
CYP1A2,25.0,Myocardial Infarction,121,-0.7753131794916679,-0.3963695906001565
CYP1A2,8.0,Pancreatitis,121,-0.5177074635474392,-0.3963695906001565
CYP1A2,3.0,Pulmonary Edema,121,0.34378280057691296,-0.3963695906001565
CYP1A2,24.0,Pneumonia,121,-0.15138806480875708,-0.3963695906001565
CYP1A2,0.0,Proteinuria,121,0.0,-0.3963695906001565
CYP1A2,9.0,Sepsis,121,-0.2120392431542704,-0.3963695906001565
CYP1A2,15.0,Tardive Dyskinesia,121,-0.7810488728244438,-0.3963695906001565
CYP1A2,6.0,Thrombocytopenia,121,-0.03536662396123801,-0.3963695906001565
CYP1A2,0.0,Deep Vein Thrombosis,121,0.0,-0.3963695906001565
CYP1A2,4.0,Delirium,121,-0.1604767317103621,-0.3963695906001565
CYP1A2,1.0,Cerebral Infarction,121,-0.5495417895309078,-0.3963695906001565
ABCB1,22.0,Myocardial Infarction,119,-0.7119412600018331,-0.3432746295728264
ABCB1,11.0,Thrombocytopenia,119,0.04051685068765581,-0.3432746295728264
ABCB1,1.0,Proteinuria,119,-1.340930746824771,-0.3432746295728264
ABCB1,24.0,Pneumonia,119,-0.19029094256269505,-0.3432746295728264
ABCB1,0.0,Peripheral Neuropathy,119,0.0,-0.3432746295728264
ABCB1,7.0,Pancreatitis,119,-0.4835127889954039,-0.3432746295728264
ABCB1,14.0,Tardive Dyskinesia,119,-0.7681025196180028,-0.3432746295728264
ABCB1,8.0,Hyperlipidemia,119,-0.3269328519212733,-0.3432746295728264
ABCB1,0.0,Hemorrhage,119,0.0,-0.3432746295728264
ABCB1,11.0,Gastric ulcer,119,-0.12249404915693933,-0.3432746295728264
ABCB1,6.0,Edema,119,-0.4510289515735284,-0.3432746295728264
ABCB1,6.0,Delirium,119,-0.07575625310019932,-0.3432746295728264
ABCB1,0.0,Deep Vein Thrombosis,119,0.0,-0.3432746295728264
ABCB1,0.0,Cerebral Infarction,119,0.0,-0.3432746295728264
ABCB1,2.0,Pulmonary Edema,119,0.15005789941533187,-0.3432746295728264
ABCB1,7.0,Sepsis,119,0.1766817706524737,-0.3432746295728264
DRD2,8.0,Delirium,108,-0.03603899329311623,-0.4124771807237059
DRD2,7.0,Edema,108,-0.10990710388277058,-0.4124771807237059
DRD2,5.0,Gastric ulcer,108,-0.22303081498961747,-0.4124771807237059
DRD2,0.0,Hemorrhage,108,0.0,-0.4124771807237059
DRD2,5.0,Hyperlipidemia,108,-0.5391541761265796,-0.4124771807237059
DRD2,19.0,Myocardial Infarction,108,-0.7336087477151852,-0.4124771807237059
DRD2,6.0,Pancreatitis,108,-0.44681615301120114,-0.4124771807237059
DRD2,0.0,Peripheral Neuropathy,108,0.0,-0.4124771807237059
DRD2,35.0,Pneumonia,108,-0.2296777995758182,-0.4124771807237059
DRD2,0.0,Proteinuria,108,0.0,-0.4124771807237059
DRD2,0.0,Pulmonary Edema,108,0.0,-0.4124771807237059
DRD2,4.0,Sepsis,108,-0.20263966416100088,-0.4124771807237059
DRD2,0.0,Deep Vein Thrombosis,108,0.0,-0.4124771807237059
DRD2,1.0,Cerebral Infarction,108,-0.5495417895309078,-0.4124771807237059
DRD2,0.0,Thrombocytopenia,108,0.0,-0.4124771807237059
DRD2,18.0,Tardive Dyskinesia,108,-0.7589256851705921,-0.4124771807237059
HTR2A,1.0,Cerebral Infarction,103,-0.5495417895309078,-0.45169984342035935
HTR2A,8.0,Edema,103,-0.12122042191178362,-0.45169984342035935
HTR2A,8.0,Gastric ulcer,103,-0.25610011092449003,-0.45169984342035935
