Gene,Mean Difference in -log(BH)
ABCA3,-0.1577439437870591
ABCA5,-0.0850320728298843
ABCB1,-0.3432746295728264
ABCB11,-0.32312717977965527
ABCC1,-0.409960026912227
ABCC10,-0.4569307938774507
ABCC2,-0.3922483982303828
ABCC4,-0.23969590077172995
ABCC5,-0.244250962419704
ABCG2,-0.2324644003785926
ABL1,0.01619788350900196
ABL2,0.41938477174102484
ACACA,-1.1705119419266277
ACACB,-1.1705119419266277
ACAT1,-0.4929166784717722
ACE,-0.5297276125581747
ACHE,-0.482013522098871
ADA,-0.18268492182997348
ADAMTS4,-0.11882601332882044
ADK,-0.6048911261083845
ADORA1,-0.29751378004090523
ADORA2A,-0.3080460166330226
ADORA2B,-0.27847328458170306
ADRA1A,-0.48544753275712704
ADRA1B,-0.46260115105708544
ADRA1D,-0.4079351478742878
ADRA2A,-0.46965634835975045
ADRA2B,-0.453868448936287
ADRA2C,-0.4353362200874411
ADRB1,-0.5335961928881456
ADRB2,-0.5427432013274793
ADRB3,-0.4828695088469906
AGTR1,-0.3500414988453522
AGXT,-0.3896330086871673
AGXT2,-0.3896330086871673
AKR1B1,-0.9239249681871975
ALAS1,-0.3896330086871673
ALAS2,-0.3896330086871673
ALB,-0.4181920131120447
ALOX5,-0.008611568116272061
AMY2A,0.5108256237660376
ANXA1,-0.4874833813163697
ANXA2,-1.0120386970902733
AR,-0.38710216588846863
ATM,-0.351144979084989
ATP7A,-0.943374659083517
ATP7B,-0.943374659083517
AVPR1A,-0.06216426152664754
AVPR1B,0.0496428305219467
AVPR2,-0.06216426152664754
BAAT,-0.3896330086871673
BCAT1,-0.3059212743427677
BCHE,-0.3967828685516599
BCL2,-0.2083824715407445
BCR,-0.31431754223588904
BRAF,0.0447967858307993
C1QA,-0.2096964880826551
C1QB,-0.2096964880826551
C1QC,-0.2096964880826551
C1R,-0.2096964880826551
C1S,-0.45441382298337907
C5,-0.481092759006332
CACNA1B,-0.3059212743427677
CACNA2D1,-0.3059212743427677
CACNA2D2,-0.3059212743427677
CALM3,-0.6115227690424927
CALR,-1.0120386970902733
CALY,-0.4580215443382926
CAMK2G,-0.9458878868462754
CANX,-1.0120386970902733
CASP1,-0.2537520348278947
CASP3,-0.2537520348278947
CBR1,-0.4363521345703519
CCL2,-1.065235969578584
CCR5,1.0076055670571096
CD80,-1.6593820499899312
CD86,-1.6593820499899312
CDK2,-0.9458878868462754
CES1,-0.024860638377833588
CFTR,-0.2083824715407445
CHRM1,-0.46099446349242995
CHRM2,-0.47176926116636253
CHRM3,-0.475788323435431
CHRM4,-0.4719722120688228
CHRM5,-0.4756035807841549
CHRNA2,-0.05340049792814751
CHRNA3,-0.05340049792814751
CHRNA4,-0.05340049792814751
CHRNA7,-0.05340049792814751
CHRNB2,-0.05340049792814751
CHRNB4,-0.05340049792814751
CHUK,-0.4929166784717722
CLEC3B,-1.0120386970902733
CNR1,-0.1164145854550273
CNR2,-0.1164145854550273
CRBN,0.1878986383258936
CREB1,-0.26534948335938674
CSF1R,-0.1577439437870591
CSF2RA,-0.3689605682963659
CSF2RB,-0.3689605682963659
CSF3R,0.2143192012936188
CXCL12,-0.11882601332882044
CXCR1,-0.24861535663273374
CYCS,-0.2537520348278947
CYP11A1,-0.40469527166363123
CYP11B2,-0.596203513472795
CYP17A1,-0.5309714341789398
CYP19A1,-0.6515783093527544
CYP1A1,-0.3436072457845024
CYP1A2,-0.3963695906001565
CYP1B1,-0.3765273473102112
CYP2A13,-0.3337073330542832
CYP2A6,-0.5047280456753714
CYP2B6,-0.4792216488101704
CYP2C18,-0.5309730453057173
CYP2C19,-0.3929821598026093
CYP2C8,-0.2950055452088544
CYP2C9,-0.38019770825148885
CYP2D6,-0.42029938657277854
CYP2E1,-0.3825486953800584
CYP3A4,-0.3567342531102537
CYP3A43,-0.4490393692508481
CYP3A5,-0.3389219034684431
CYP4A11,-0.4874833813163697
DDC,0.3676635027890395
DDR1,-0.1577439437870591
DDR2,0.0447967858307993
DPP4,0.2385611311535278
DRD1,-0.40289758149064364
DRD2,-0.4124771807237059
DRD3,-0.3848480612811594
DRD4,-0.3766482026551219
DRD5,-0.32024613166201865
EGFR,-0.5363231022128028
ELANE,0.2143192012936188
EPHA2,0.29452210977094967
ERBB2,-0.5325727337880908
ESR1,-0.5019593048104518
ESR2,-0.4569307938774507
F10,-0.2245581602303183
F2,-0.22470882980666448
FAAH,-0.1655406646250501
FABP2,-0.3740813530985487
FCGR1A,-0.2096964880826551
FCGR2A,-0.2096964880826551
FCGR2B,-0.2096964880826551
FCGR2C,-0.2096964880826551
FCGR3A,-0.2096964880826551
FCGR3B,-0.2096964880826551
