Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP3A4,32.0,Myocardial Infarction,170,-0.6636771191739339,-0.3559145250772336
CYP3A4,10.0,Pancreatitis,170,-0.4188065250990126,-0.3559145250772336
CYP3A4,2.0,Cerebral Infarction,170,-0.5203530610003675,-0.3559145250772336
CYP3A4,0.0,Deep Vein Thrombosis,170,0.0,-0.3559145250772336
CYP3A4,10.0,Delirium,170,-0.02090060579499404,-0.3559145250772336
CYP3A4,10.0,Edema,170,-0.2634809040003699,-0.3559145250772336
CYP3A4,0.0,Hemorrhage,170,0.0,-0.3559145250772336
CYP3A4,13.0,Hyperlipidemia,170,-0.3094348636958015,-0.3559145250772336
CYP3A4,11.0,Gastric ulcer,170,-0.21130144479364302,-0.3559145250772336
CYP3A4,1.0,Peripheral Neuropathy,170,-0.600880662648489,-0.3559145250772336
CYP3A4,34.0,Pneumonia,170,-0.21728469851102541,-0.3559145250772336
CYP3A4,1.0,Proteinuria,170,-0.4941551110670765,-0.3559145250772336
CYP3A4,2.0,Pulmonary Edema,170,0.15005789941533187,-0.3559145250772336
CYP3A4,12.0,Sepsis,170,-0.055072981248707596,-0.3559145250772336
CYP3A4,20.0,Tardive Dyskinesia,170,-0.7259214903666616,-0.3559145250772336
CYP3A4,12.0,Thrombocytopenia,170,-0.12386171260552874,-0.3559145250772336
CYP2D6,25.0,Myocardial Infarction,132,-0.8164703390294218,-0.4704026619083214
CYP2D6,22.0,Tardive Dyskinesia,132,-0.7519482816113192,-0.4704026619083214
CYP2D6,8.0,Sepsis,132,-0.16489349126270514,-0.4704026619083214
CYP2D6,1.0,Pulmonary Edema,132,-0.3568412835404082,-0.4704026619083214
CYP2D6,0.0,Proteinuria,132,0.0,-0.4704026619083214
CYP2D6,33.0,Pneumonia,132,-0.37939454232645226,-0.4704026619083214
CYP2D6,0.0,Peripheral Neuropathy,132,0.0,-0.4704026619083214
CYP2D6,7.0,Pancreatitis,132,-0.5069126650064621,-0.4704026619083214
CYP2D6,0.0,Deep Vein Thrombosis,132,0.0,-0.4704026619083214
CYP2D6,5.0,Hyperlipidemia,132,-0.4201472535778702,-0.4704026619083214
CYP2D6,0.0,Hemorrhage,132,0.0,-0.4704026619083214
CYP2D6,11.0,Gastric ulcer,132,-0.2716953005957498,-0.4704026619083214
CYP2D6,7.0,Edema,132,-0.28781829801358355,-0.4704026619083214
CYP2D6,8.0,Delirium,132,-0.03952291898960604,-0.4704026619083214
CYP2D6,0.0,Cerebral Infarction,132,0.0,-0.4704026619083214
CYP2D6,5.0,Thrombocytopenia,132,0.005232615440175431,-0.4704026619083214
ABCB1,6.0,Pancreatitis,106,-0.4637684828186452,-0.3714795970626732
ABCB1,14.0,Tardive Dyskinesia,106,-0.7681025196180028,-0.3714795970626732
ABCB1,6.0,Sepsis,106,0.23368101297641353,-0.3714795970626732
ABCB1,1.0,Pulmonary Edema,106,0.656957082371072,-0.3714795970626732
ABCB1,1.0,Proteinuria,106,-1.340930746824771,-0.3714795970626732
ABCB1,21.0,Pneumonia,106,-0.3119494175293842,-0.3714795970626732
ABCB1,0.0,Peripheral Neuropathy,106,0.0,-0.3714795970626732
ABCB1,10.0,Thrombocytopenia,106,0.05582335071818355,-0.3714795970626732
ABCB1,20.0,Myocardial Infarction,106,-0.72083417233499,-0.3714795970626732
ABCB1,0.0,Hemorrhage,106,0.0,-0.3714795970626732
ABCB1,9.0,Gastric ulcer,106,-0.14260350078642148,-0.3714795970626732
ABCB1,5.0,Edema,106,-0.4259582629708614,-0.3714795970626732
ABCB1,6.0,Delirium,106,-0.07575625310019932,-0.3714795970626732
ABCB1,0.0,Deep Vein Thrombosis,106,0.0,-0.3714795970626732
ABCB1,0.0,Cerebral Infarction,106,0.0,-0.3714795970626732
ABCB1,7.0,Hyperlipidemia,106,-0.3259650689022719,-0.3714795970626732
DRD2,0.0,Peripheral Neuropathy,105,0.0,-0.414123884995741
DRD2,18.0,Tardive Dyskinesia,105,-0.7589256851705921,-0.414123884995741
DRD2,4.0,Sepsis,105,-0.20263966416100088,-0.414123884995741
DRD2,0.0,Pulmonary Edema,105,0.0,-0.414123884995741
DRD2,0.0,Proteinuria,105,0.0,-0.414123884995741
DRD2,33.0,Pneumonia,105,-0.22820282279254478,-0.414123884995741
DRD2,0.0,Hemorrhage,105,0.0,-0.414123884995741
DRD2,6.0,Pancreatitis,105,-0.44681615301120114,-0.414123884995741
DRD2,18.0,Myocardial Infarction,105,-0.7434482469989301,-0.414123884995741
DRD2,5.0,Hyperlipidemia,105,-0.5391541761265796,-0.414123884995741
DRD2,5.0,Gastric ulcer,105,-0.22303081498961747,-0.414123884995741
DRD2,7.0,Edema,105,-0.10990710388277058,-0.414123884995741
DRD2,8.0,Delirium,105,-0.03603899329311623,-0.414123884995741
DRD2,0.0,Thrombocytopenia,105,0.0,-0.414123884995741
DRD2,0.0,Deep Vein Thrombosis,105,0.0,-0.414123884995741
DRD2,1.0,Cerebral Infarction,105,-0.5495417895309078,-0.414123884995741
HTR2A,6.0,Gastric ulcer,95,-0.19198366756827012,-0.46166655968867154
HTR2A,26.0,Pneumonia,95,-0.36425681212394984,-0.46166655968867154
HTR2A,1.0,Cerebral Infarction,95,-0.5495417895309078,-0.46166655968867154
HTR2A,0.0,Deep Vein Thrombosis,95,0.0,-0.46166655968867154
HTR2A,0.0,Thrombocytopenia,95,0.0,-0.46166655968867154
HTR2A,16.0,Tardive Dyskinesia,95,-0.6971582150339913,-0.46166655968867154
HTR2A,2.0,Sepsis,95,-0.40199182619991447,-0.46166655968867154
HTR2A,0.0,Pulmonary Edema,95,0.0,-0.46166655968867154
