Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
CYP3A4,amitriptyline,Myocardial Infarction,-0.4387633123015213,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,aripiprazole,Myocardial Infarction,-0.5601201197567622,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,bromocriptine,Myocardial Infarction,-0.5066459573765147,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,clozapine,Myocardial Infarction,-0.926819571051034,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,cyclobenzaprine,Myocardial Infarction,-0.4713167667672469,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,danazol,Myocardial Infarction,-1.065235969578584,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,desipramine,Myocardial Infarction,-0.9501123357607176,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,dexamethasone,Myocardial Infarction,-0.93218411340378,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,dihydroergotamine,Myocardial Infarction,-0.6500183979496104,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,disopyramide,Myocardial Infarction,-0.4555729728125453,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,eletriptan,Myocardial Infarction,-0.8595706615867158,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,epinephrine,Myocardial Infarction,-0.8698317743030746,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,escitalopram,Myocardial Infarction,-0.8673038141375802,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,estradiol,Myocardial Infarction,-0.5816386577667121,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,fentanyl,Myocardial Infarction,-0.3296246199192971,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,imipramine,Myocardial Infarction,-0.69967517097359,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,irbesartan,Myocardial Infarction,-0.3791874067375502,32.0,-0.6636771191739339,170,-0.3559145250772336
CYP3A4,losartan,Myocardial Infarction,-1.009051765619958,32.0,-0.6636771191739339,170,-0.3559145250772336
