,Count
CYP3A4,170
CYP2D6,132
ABCB1,106
DRD2,105
HTR2A,95
HTR1A,87
ADRA1A,85
CYP1A2,84
HTR2C,78
CYP2C9,77
ADRA2A,77
CYP2C19,74
DRD3,74
DRD1,72
HRH1,71
DRD4,70
ADRA1B,69
CHRM1,63
CYP3A5,61
HTR1D,58
HTR1B,57
CHRM3,55
ALB,54
CHRM2,53
ADRA2C,53
ADRA2B,53
HTR6,49
HTR7,48
CHRM4,46
CYP2C8,46
SLC6A4,43
DRD5,42
HTR3A,40
SLC6A2,39
CHRM5,38
CYP1A1,35
CYP2E1,34
CYP2B6,34
ORM1,33
ADRA1D,27
OPRM1,27
OPRK1,26
OPRD1,26
PTGS1,26
SLC22A2,25
HTR1E,25
ABCG2,25
HTR2B,21
PTGS2,20
HRH4,19
ADRB1,19
SLC6A3,19
CYP2A6,18
SLC22A1,17
FMO3,17
ADRB2,16
SLC22A6,16
CYP1B1,15
PLG,15
ADORA1,14
SLCO1A2,14
MAOA,13
PLAUR,11
MPO,11
FGA,11
UGT1A1,11
SERPINE1,11
TNF,10
HRH2,10
SLCO1B1,10
KCNH2,9
KDR,9
UGT1A4,9
SERPINC1,9
FGFR2,9
ADORA2A,9
CALY,9
SLC22A8,9
SLC22A11,8
GNRHR,8
ABCC2,8
PDE4B,8
HTR1F,7
P2RY12,7
EGFR,7
CYP2C18,7
SIGMAR1,7
SRC,7
UGT2B7,6
PIK3CB,6
SLC16A10,6
ABL1,6
PIK3CA,6
PRKDC,6
SLC22A5,6
VEGFA,6
PIK3CD,6
NTRK1,6
ATM,6
SLC22A3,6
LCK,6
XDH,6
RYR1,6
KIT,6
LYN,5
ABCB11,5
FGFR3,5
UGT1A8,5
TEK,5
HTR5A,5
DDC,5
ABCC4,5
PDGFRB,5
PDGFRA,5
F10,5
UGT1A3,5
FLT4,5
FLT1,5
ESR1,5
FGFR1,5
ABCC1,5
MMP9,5
UGT1A9,5
SLC22A4,4
KRT8,4
SERPINB2,4
LRP1,4
SLCO1B3,4
CLEC3B,4
CANX,4
FMO1,4
AGTR1,4
UGT2B4,4
ANXA2,4
HPSE,4
SELP,4
PPARD,4
SHBG,4
ITGB3,4
JAK2,4
CYP3A43,4
CALR,4
BCAT1,4
MMP2,4
SSTR5,4
LTA4H,4
NTRK2,4
KCNQ3,4
KCNQ2,4
KCNA1,4
FLT3,4
SSTR1,4
PRSS1,4
IL2RB,4
IL2RA,4
SSTR2,4
KLK1,4
ACE,4
CACNA2D1,4
CACNA2D2,4
NFKB1,4
RET,4
JAK1,4
SLCO2B1,4
CRBN,4
CYP17A1,3
CBR1,3
LHCGR,3
GABRA1,3
ADRB3,3
ANXA1,3
KCND2,3
KCND3,3
NOS2,3
NR0B1,3
NR3C1,3
GRIN3A,3
FABP2,3
NR1I2,3
ERBB2,3
PTGIR,3
CYP4A11,3
PPARG,3
ALOX5,3
PTK6,3
GRIN1,3
SLC7A8,3
SMPD1,3
SLC7A5,3
