,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Cerebral Infarction -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Deep Vein Thrombosis -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Delirium -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Edema -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Gastric ulcer -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hemorrhage -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Hyperlipidemia -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Myocardial Infarction -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Pancreatitis -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Peripheral Neuropathy -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Pneumonia -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Proteinuria -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Pulmonary Edema -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Sepsis -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Tardive Dyskinesia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff,Thrombocytopenia -log(BH) Diff
,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum,mean,std,min,max,sum
Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2356475934686344,0.0,0.2356475934686344,0.2356475934686344,0.2356475934686344,-0.2928813864240869,0.2825726411115821,-0.5763823945868634,-0.0112463539530587,-0.8786441592722607,-0.1456218960189543,0.2703179101453635,-0.482013522098871,0.1528266445650228,-0.5824875840758172,0.0,0.0,0.0,0.0,0.0,-0.3337073330542832,0.0,-0.3337073330542832,-0.3337073330542832,-0.3337073330542832,-0.7806155639943178,0.2039456498488275,-0.9521137418296064,-0.4274107243681513,-3.903077819971589,-0.6019786260559563,0.0,-0.6019786260559563,-0.6019786260559563,-0.6019786260559563,0.0,0.0,0.0,0.0,0.0,0.14228675425152973,1.1042662848550142,-0.4196738470846544,2.3878245537366585,0.8537205255091784,0.0,0.0,0.0,0.0,0.0,-0.3568412835404082,0.0,-0.3568412835404082,-0.3568412835404082,-0.3568412835404082,-0.1653136832911652,0.0,-0.1653136832911652,-0.1653136832911652,-0.1653136832911652,-0.4576897303343692,0.35174747021477343,-0.7064127517884486,-0.2089667088802898,-0.9153794606687384,-0.1125481496176217,0.0,-0.1125481496176217,-0.1125481496176217,-0.1125481496176217
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3244838404311405,0.0,-0.3244838404311405,-0.3244838404311405,-0.3244838404311405,0.0,0.0,0.0,0.0,0.0,-0.0401780619153644,0.0,-0.0401780619153644,-0.0401780619153644,-0.0401780619153644,0.0,0.0,0.0,0.0,0.0,-0.2273188813147637,0.0,-0.2273188813147637,-0.2273188813147637,-0.2273188813147637,-0.6583340767165987,0.3124594330114629,-1.009051765619958,-0.4096354456851934,-1.975002230149796,-0.13592640473103312,0.7546738930955657,-0.6695614321233592,0.3977086226612929,-0.27185280946206625,0.0,0.0,0.0,0.0,0.0,-0.362377007997523,0.0,-0.362377007997523,-0.362377007997523,-0.362377007997523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3586910540490571,0.0,-0.3586910540490571,-0.3586910540490571,-0.3586910540490571,-0.6493454017624014,0.0,-0.6493454017624014,-0.6493454017624014,-0.6493454017624014,0.07975442929371913,0.33587342025238176,-0.1577439437870591,0.3172528023744974,0.15950885858743827
ABCG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5763823945868634,0.0,-0.5763823945868634,-0.5763823945868634,-0.5763823945868634,-0.34942160015621665,0.18751329427241656,-0.482013522098871,-0.2168296782135623,-0.6988432003124333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6935581441608276,0.1295129965395014,-0.7851376622656989,-0.6019786260559563,-1.3871162883216552,0.0,0.0,0.0,0.0,0.0,0.3447215513531354,0.0,0.3447215513531354,0.3447215513531354,0.3447215513531354,0.0,0.0,0.0,0.0,0.0,-0.3568412835404082,0.0,-0.3568412835404082,-0.3568412835404082,-0.3568412835404082,-0.1653136832911652,0.0,-0.1653136832911652,-0.1653136832911652,-0.1653136832911652,0.0,0.0,0.0,0.0,0.0,0.20483674210392788,0.4488500183649317,-0.1125481496176217,0.5222216338254775,0.40967348420785576
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9521137418296064,0.0,-0.9521137418296064,-0.9521137418296064,-0.9521137418296064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4196738470846544,0.0,-0.4196738470846544,-0.4196738470846544,-0.4196738470846544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5763823945868634,0.0,-0.5763823945868634,-0.5763823945868634,-0.5763823945868634,-0.2168296782135623,0.0,-0.2168296782135623,-0.2168296782135623,-0.2168296782135623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6019786260559563,0.0,-0.6019786260559563,-0.6019786260559563,-0.6019786260559563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3568412835404082,0.0,-0.3568412835404082,-0.3568412835404082,-0.3568412835404082,-0.1653136832911652,0.0,-0.1653136832911652,-0.1653136832911652,-0.1653136832911652,0.0,0.0,0.0,0.0,0.0,-0.1125481496176217,0.0,-0.1125481496176217,-0.1125481496176217,-0.1125481496176217
ADRA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308612357733878,0.0,0.1308612357733878,0.1308612357733878,0.1308612357733878,0.0,0.0,0.0,0.0,0.0,-0.3242546491784441,0.0,-0.3242546491784441,-0.3242546491784441,-0.3242546491784441,0.0,0.0,0.0,0.0,0.0,-0.6820592237269825,0.0,-0.6820592237269825,-0.6820592237269825,-0.6820592237269825,-0.7119007873726799,0.21977306808475103,-0.8673038141375802,-0.5564977606077797,-1.4238015747453598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33358376354367775,0.2701090892814382,-0.5482503791866318,-0.0302973919320468,-1.0007512906310332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45795883446903396,0.2161509279126223,-0.5974019599710729,-0.2089667088802898,-1.3738765034071019,0.0,0.0,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308612357733878,0.0,0.1308612357733878,0.1308612357733878,0.1308612357733878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6820592237269825,0.0,-0.6820592237269825,-0.6820592237269825,-0.6820592237269825,-0.72600119448939,0.0,-0.72600119448939,-0.72600119448939,-0.72600119448939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5482503791866318,0.0,-0.5482503791866318,-0.5482503791866318,-0.5482503791866318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5675078345557392,0.0,-0.5675078345557392,-0.5675078345557392,-0.5675078345557392,0.0,0.0,0.0,0.0,0.0
ADRA1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308612357733878,0.0,0.1308612357733878,0.1308612357733878,0.1308612357733878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6820592237269825,0.0,-0.6820592237269825,-0.6820592237269825,-0.6820592237269825,-0.72600119448939,0.0,-0.72600119448939,-0.72600119448939,-0.72600119448939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5482503791866318,0.0,-0.5482503791866318,-0.5482503791866318,-0.5482503791866318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5675078345557392,0.0,-0.5675078345557392,-0.5675078345557392,-0.5675078345557392,0.0,0.0,0.0,0.0,0.0
ADRA2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.116281308388082,0.0,-0.116281308388082,-0.116281308388082,-0.116281308388082,-0.4579357257573662,0.0,-0.4579357257573662,-0.4579357257573662,-0.4579357257573662,0.0,0.0,0.0,0.0,0.0,-0.2008629138890967,0.0,-0.2008629138890967,-0.2008629138890967,-0.2008629138890967,-0.7800623353368392,0.20951990988333877,-0.9282152844089424,-0.631909386264736,-1.5601246706736784,-0.3684312022286047,0.0,-0.3684312022286047,-0.3684312022286047,-0.3684312022286047,0.0,0.0,0.0,0.0,0.0,-0.24483028410574592,0.43194059883147645,-0.4811959370645429,0.401810761221526,-0.9793211364229837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097407038205137,0.0,0.0097407038205137,0.0097407038205137,0.0097407038205137,-0.532682461821584,0.09152719203298772,-0.5974019599710729,-0.467962963672095,-1.065364923643168,0.0,0.0,0.0,0.0,0.0
ADRA2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.116281308388082,0.0,-0.116281308388082,-0.116281308388082,-0.116281308388082,-0.44844944099314965,0.013415632570088282,-0.4579357257573662,-0.4389631562289331,-0.8968988819862993,0.0,0.0,0.0,0.0,0.0,-0.2008629138890967,0.0,-0.2008629138890967,-0.2008629138890967,-0.2008629138890967,-0.9735477810498505,0.3664139045219888,-1.360518672475873,-0.631909386264736,-2.9206433431495515,-0.3684312022286047,0.0,-0.3684312022286047,-0.3684312022286047,-0.3684312022286047,0.0,0.0,0.0,0.0,0.0,-0.1319090877099054,0.4513152929676888,-0.4811959370645429,0.401810761221526,-0.659545438549527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10135716104854264,0.1571161072485129,-0.212455025917599,0.0097407038205137,-0.2027143220970853,-0.532682461821584,0.09152719203298772,-0.5974019599710729,-0.467962963672095,-1.065364923643168,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23032215533641404,0.16127811241884557,-0.3443630022847461,-0.116281308388082,-0.4606443106728281,-0.44844944099314965,0.013415632570088282,-0.4579357257573662,-0.4389631562289331,-0.8968988819862993,0.0,0.0,0.0,0.0,0.0,-0.2008629138890967,0.0,-0.2008629138890967,-0.2008629138890967,-0.2008629138890967,-0.8693945756120811,0.31581900570006716,-1.360518672475873,-0.5564977606077797,-4.346972878060406,-0.3684312022286047,0.0,-0.3684312022286047,-0.3684312022286047,-0.3684312022286047,0.0,0.0,0.0,0.0,0.0,-0.1149738050802623,0.4057945511212342,-0.4811959370645429,0.401810761221526,-0.6898428304815738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15668583607750777,0.14671919581242798,-0.267343186135438,0.0097407038205137,-0.4700575082325233,-0.532682461821584,0.09152719203298772,-0.5974019599710729,-0.467962963672095,-1.065364923643168,0.0,0.0,0.0,0.0,0.0
ADRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226506539966209,0.0,0.0226506539966209,0.0226506539966209,0.0226506539966209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4804867508112256,0.0,-0.4804867508112256,-0.4804867508112256,-0.4804867508112256,-0.558308940182271,0.002561394718138705,-0.5601201197567622,-0.5564977606077797,-1.116617880364542,-0.4884361485179074,0.0,-0.4884361485179074,-0.4884361485179074,-0.4884361485179074,0.0,0.0,0.0,0.0,0.0,-0.34314676015637513,0.44243581952269956,-0.6559961283807034,-0.0302973919320468,-0.6862935203127503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5549177615706657,0.0,-0.5549177615706657,-0.5549177615706657,-0.5549177615706657,0.0,0.0,0.0,0.0,0.0
