,Cerebral Infarction,Deep Vein Thrombosis,Delirium,Edema,Gastric ulcer,Hemorrhage,Hyperlipidemia,Myocardial Infarction,Pancreatitis,Peripheral Neuropathy,Pneumonia,Proteinuria,Pulmonary Edema,Sepsis,Tardive Dyskinesia,Thrombocytopenia
ABCB1,0.0,0.0,1.0,3.0,4.0,0.0,1.0,5.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0
ABCB11,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
ABCG2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADORA2B,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ADRA1A,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
ADRA1B,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ADRA1D,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ADRA2A,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0
ADRA2B,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0
ADRA2C,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,3.0,2.0,0.0
ADRB1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
