Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
CYP1A2,fluphenazine,Tardive Dyskinesia,-1.1762069099477337,3.0,-0.9470926101283373,37,-0.4438994323247603
CYP1A2,iloperidone,Tardive Dyskinesia,-0.9074846690488024,3.0,-0.9470926101283373,37,-0.4438994323247603
CYP1A2,ziprasidone,Tardive Dyskinesia,-0.7575862513884761,3.0,-0.9470926101283373,37,-0.4438994323247603
CYP1A2,iloperidone,Delirium,0.0809728945918308,3.0,-0.18004112689951057,37,-0.4438994323247603
CYP1A2,nefazodone,Delirium,-0.3244838404311405,3.0,-0.18004112689951057,37,-0.4438994323247603
CYP1A2,ziprasidone,Delirium,-0.296612434859222,3.0,-0.18004112689951057,37,-0.4438994323247603
CYP1A2,bromocriptine,Edema,0.0152974591084706,2.0,-0.16453277158813776,37,-0.4438994323247603
CYP1A2,epinephrine,Edema,-0.3443630022847461,2.0,-0.16453277158813776,37,-0.4438994323247603
CYP1A2,atropine,Gastric ulcer,-0.0401780619153644,3.0,-0.007061855197649773,37,-0.4438994323247603
CYP1A2,diphenhydramine,Gastric ulcer,-0.1621698859814664,3.0,-0.007061855197649773,37,-0.4438994323247603
CYP1A2,thalidomide,Gastric ulcer,0.1811623823038815,3.0,-0.007061855197649773,37,-0.4438994323247603
CYP1A2,ziprasidone,Hyperlipidemia,-0.7238184736771327,1.0,-0.7238184736771327,37,-0.4438994323247603
CYP1A2,apomorphine,Myocardial Infarction,-0.5398531574849681,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,atropine,Myocardial Infarction,-0.5563150188446446,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,bromocriptine,Myocardial Infarction,-0.5066459573765147,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,diphenhydramine,Myocardial Infarction,-1.0567399606511465,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,epinephrine,Myocardial Infarction,-0.8698317743030746,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,irbesartan,Myocardial Infarction,-0.3791874067375502,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,losartan,Myocardial Infarction,-1.009051765619958,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,rizatriptan,Myocardial Infarction,-0.6871929884170065,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,sulindac,Myocardial Infarction,-1.7527272831184817,9.0,-0.8175050347281494,37,-0.4438994323247603
CYP1A2,atropine,Pancreatitis,-0.6695614321233592,4.0,-0.6286871148436712,37,-0.4438994323247603
CYP1A2,oxaliplatin,Pancreatitis,-0.943374659083517,4.0,-0.6286871148436712,37,-0.4438994323247603
CYP1A2,sulindac,Pancreatitis,-0.0951226532559132,4.0,-0.6286871148436712,37,-0.4438994323247603
CYP1A2,thalidomide,Pancreatitis,-0.8066897149118955,4.0,-0.6286871148436712,37,-0.4438994323247603
CYP1A2,apomorphine,Pneumonia,-0.3013332624474252,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,buprenorphine,Pneumonia,-0.2333058203883933,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,fluphenazine,Pneumonia,-0.501900294573872,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,iloperidone,Pneumonia,-0.3667479433831939,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,nefazodone,Pneumonia,-0.362377007997523,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,thalidomide,Pneumonia,0.6458892830115133,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,thioridazine,Pneumonia,-0.0915600296991847,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,ziprasidone,Pneumonia,-0.4408359282647929,8.0,-0.20652137546785895,37,-0.4438994323247603
CYP1A2,thalidomide,Pulmonary Edema,0.7312326029000751,1.0,0.7312326029000751,37,-0.4438994323247603
CYP1A2,atropine,Sepsis,-0.3586910540490571,2.0,-0.3130171200922476,37,-0.4438994323247603
CYP1A2,epinephrine,Sepsis,-0.267343186135438,2.0,-0.3130171200922476,37,-0.4438994323247603
CYP1A2,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,37,-0.4438994323247603
CYP3A5,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,26,-0.4355316082206118
CYP2D6,ziprasidone,Cerebral Infarction,-0.5495417895309078,1.0,-0.5495417895309078,26,-0.16592891179232985
CYP2D6,dexamethasone,Sepsis,-0.2660121012499328,3.0,0.7747045256889477,26,-0.16592891179232985
CYP2D6,morphine,Sepsis,2.580384974496262,3.0,0.7747045256889477,26,-0.16592891179232985
CYP2D6,ropinirole,Sepsis,0.0097407038205137,3.0,0.7747045256889477,26,-0.16592891179232985
CYP2D6,captopril,Proteinuria,-1.340930746824771,1.0,-1.340930746824771,26,-0.16592891179232985
CYP2D6,dexamethasone,Pneumonia,-0.2642539292953962,4.0,0.5528734369476487,26,-0.16592891179232985
CYP2D6,levodopa,Pneumonia,2.514772844129258,4.0,0.5528734369476487,26,-0.16592891179232985
CYP2D6,ropinirole,Pneumonia,0.401810761221526,4.0,0.5528734369476487,26,-0.16592891179232985
CYP2D6,ziprasidone,Pneumonia,-0.4408359282647929,4.0,0.5528734369476487,26,-0.16592891179232985
CYP2D6,levodopa,Pancreatitis,0.2210546295866837,1.0,0.2210546295866837,26,-0.16592891179232985
CYP2D6,captopril,Myocardial Infarction,-0.427521145551303,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,dexamethasone,Myocardial Infarction,-0.93218411340378,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,irbesartan,Myocardial Infarction,-0.3791874067375502,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,levodopa,Myocardial Infarction,-0.1983071491784933,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,morphine,Myocardial Infarction,0.0192379029844644,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,pseudoephedrine,Myocardial Infarction,-0.724809404776563,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,ropinirole,Myocardial Infarction,-0.9282152844089424,7.0,-0.5101409430103097,26,-0.16592891179232985
CYP2D6,propofol,Hyperlipidemia,-0.1655406646250501,2.0,-0.4446795691510914,26,-0.16592891179232985
CYP2D6,ziprasidone,Hyperlipidemia,-0.7238184736771327,2.0,-0.4446795691510914,26,-0.16592891179232985
CYP2D6,captopril,Gastric ulcer,0.4786825935646952,3.0,-0.133178404725473,26,-0.16592891179232985
CYP2D6,pseudoephedrine,Gastric ulcer,-0.420282081983748,3.0,-0.133178404725473,26,-0.16592891179232985
CYP2D6,ropinirole,Gastric ulcer,-0.4579357257573662,3.0,-0.133178404725473,26,-0.16592891179232985
CYP2D6,captopril,Edema,-0.8291411514213198,2.0,-0.6331307424452755,26,-0.16592891179232985
CYP2D6,pseudoephedrine,Edema,-0.437120333469231,2.0,-0.6331307424452755,26,-0.16592891179232985
CYP2D6,ziprasidone,Delirium,-0.296612434859222,1.0,-0.296612434859222,26,-0.16592891179232985
CYP3A5,caffeine,Thrombocytopenia,-0.1125481496176217,1.0,-0.1125481496176217,26,-0.4355316082206118
CYP3A5,fluvoxamine,Tardive Dyskinesia,-0.6493454017624014,3.0,-0.6658972449505912,26,-0.4355316082206118
CYP3A5,risperidone,Tardive Dyskinesia,-0.5907600817008962,3.0,-0.6658972449505912,26,-0.4355316082206118
CYP3A5,ziprasidone,Tardive Dyskinesia,-0.7575862513884761,3.0,-0.6658972449505912,26,-0.4355316082206118
CYP3A5,caffeine,Sepsis,-0.1653136832911652,3.0,-0.21939693641129246,26,-0.4355316082206118
CYP3A5,fentanyl,Sepsis,3.955252905996076e-05,3.0,-0.21939693641129246,26,-0.4355316082206118
CYP3A5,sulfasalazine,Sepsis,-0.4929166784717722,3.0,-0.21939693641129246,26,-0.4355316082206118
CYP3A5,caffeine,Pulmonary Edema,-0.3568412835404082,1.0,-0.3568412835404082,26,-0.4355316082206118
CYP3A5,codeine,Pneumonia,-0.2744020314804629,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,dextromethorphan,Pneumonia,-0.2596276404213178,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,fentanyl,Pneumonia,-0.3677379132473319,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,nefazodone,Pneumonia,-0.362377007997523,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,risperidone,Pneumonia,-0.4262534929280583,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,ziprasidone,Pneumonia,-0.4408359282647929,6.0,-0.3552056690565812,26,-0.4355316082206118
CYP3A5,caffeine,Pancreatitis,-0.6019786260559563,2.0,-0.666301413244609,26,-0.4355316082206118
CYP3A5,risperidone,Pancreatitis,-0.7306242004332617,2.0,-0.666301413244609,26,-0.4355316082206118
CYP3A5,ziprasidone,Hyperlipidemia,-0.7238184736771327,1.0,-0.7238184736771327,26,-0.4355316082206118
CYP3A5,caffeine,Gastric ulcer,-0.2168296782135623,2.0,-0.03200151682426976,26,-0.4355316082206118
CYP3A5,dextromethorphan,Gastric ulcer,0.1528266445650228,2.0,-0.03200151682426976,26,-0.4355316082206118
CYP3A5,caffeine,Edema,-0.5763823945868634,1.0,-0.5763823945868634,26,-0.4355316082206118
CYP3A5,nefazodone,Delirium,-0.3244838404311405,2.0,-0.31054813764518124,26,-0.4355316082206118
CYP3A5,ziprasidone,Delirium,-0.296612434859222,2.0,-0.31054813764518124,26,-0.4355316082206118
CYP3A5,fentanyl,Myocardial Infarction,-0.3296246199192971,3.0,-0.7332903429765718,26,-0.4355316082206118
CYP3A5,losartan,Myocardial Infarction,-1.009051765619958,3.0,-0.7332903429765718,26,-0.4355316082206118
CYP3A5,risperidone,Myocardial Infarction,-0.8611946433904603,3.0,-0.7332903429765718,26,-0.4355316082206118
CYP2D6,ziprasidone,Tardive Dyskinesia,-0.7575862513884761,1.0,-0.7575862513884761,26,-0.16592891179232985
ADRA2C,olanzapine,Tardive Dyskinesia,-0.467962963672095,1.0,-0.467962963672095,20,-0.3739734984855536
ADRA2C,olanzapine,Hyperlipidemia,-0.2008629138890967,1.0,-0.2008629138890967,20,-0.3739734984855536
ADRA2C,epinephrine,Edema,-0.3443630022847461,2.0,-0.23032215533641404,20,-0.3739734984855536
ADRA2C,olanzapine,Edema,-0.116281308388082,2.0,-0.23032215533641404,20,-0.3739734984855536
ADRA2C,pramipexole,Gastric ulcer,-0.4389631562289331,2.0,-0.44844944099314965,20,-0.3739734984855536
ADRA2C,ropinirole,Gastric ulcer,-0.4579357257573662,2.0,-0.44844944099314965,20,-0.3739734984855536
ADRA2C,epinephrine,Myocardial Infarction,-0.8698317743030746,5.0,-0.8693945756120811,20,-0.3739734984855536
ADRA2C,mirtazapine,Myocardial Infarction,-0.5564977606077797,5.0,-0.8693945756120811,20,-0.3739734984855536
ADRA2C,olanzapine,Myocardial Infarction,-0.631909386264736,5.0,-0.8693945756120811,20,-0.3739734984855536
ADRA2C,pramipexole,Myocardial Infarction,-1.360518672475873,5.0,-0.8693945756120811,20,-0.3739734984855536
ADRA2C,ropinirole,Myocardial Infarction,-0.9282152844089424,5.0,-0.8693945756120811,20,-0.3739734984855536
ADRA2C,olanzapine,Pancreatitis,-0.3684312022286047,1.0,-0.3684312022286047,20,-0.3739734984855536
ADRA2C,doxepin,Pneumonia,-0.4777324410676122,5.0,-0.05352786219384383,20,-0.3739734984855536
ADRA2C,mirtazapine,Pneumonia,-0.0302973919320468,5.0,-0.05352786219384383,20,-0.3739734984855536
ADRA2C,olanzapine,Pneumonia,-0.4811959370645429,5.0,-0.05352786219384383,20,-0.3739734984855536
ADRA2C,pramipexole,Pneumonia,0.3197756978734567,5.0,-0.05352786219384383,20,-0.3739734984855536
ADRA2C,ropinirole,Pneumonia,0.401810761221526,5.0,-0.05352786219384383,20,-0.3739734984855536
ADRA2C,epinephrine,Sepsis,-0.267343186135438,3.0,-0.15668583607750777,20,-0.3739734984855536
ADRA2C,pramipexole,Sepsis,-0.212455025917599,3.0,-0.15668583607750777,20,-0.3739734984855536
ADRA2C,ropinirole,Sepsis,0.0097407038205137,3.0,-0.15668583607750777,20,-0.3739734984855536
CYP2E1,amitriptyline,Edema,-0.2004136481148748,1.0,-0.2004136481148748,19,-0.4786671368103627
CYP2E1,amitriptyline,Tardive Dyskinesia,-0.7264757988413955,4.0,-0.7315476476505829,19,-0.4786671368103627
CYP2E1,clozapine,Tardive Dyskinesia,-0.5461305563546084,4.0,-0.7315476476505829,19,-0.4786671368103627
CYP2E1,fluvoxamine,Tardive Dyskinesia,-0.6493454017624014,4.0,-0.7315476476505829,19,-0.4786671368103627
CYP2E1,pimozide,Tardive Dyskinesia,-1.0042388336439263,4.0,-0.7315476476505829,19,-0.4786671368103627
CYP2E1,clozapine,Sepsis,-0.2122118097084371,1.0,-0.2122118097084371,19,-0.4786671368103627
CYP2E1,amitriptyline,Pneumonia,-0.342088606912533,5.0,-0.34843684376998957,19,-0.4786671368103627
CYP2E1,clozapine,Pneumonia,-0.5779667422051951,5.0,-0.34843684376998957,19,-0.4786671368103627
CYP2E1,dextromethorphan,Pneumonia,-0.2596276404213178,5.0,-0.34843684376998957,19,-0.4786671368103627
CYP2E1,pilocarpine,Pneumonia,-0.2900622234684977,5.0,-0.34843684376998957,19,-0.4786671368103627
CYP2E1,pimozide,Pneumonia,-0.2724390058424042,5.0,-0.34843684376998957,19,-0.4786671368103627
CYP2E1,clozapine,Pancreatitis,-0.6120429393848799,2.0,-0.7777087992341984,19,-0.4786671368103627
CYP2E1,oxaliplatin,Pancreatitis,-0.943374659083517,2.0,-0.7777087992341984,19,-0.4786671368103627
CYP2E1,amitriptyline,Myocardial Infarction,-0.4387633123015213,3.0,-0.6969341212541682,19,-0.4786671368103627
CYP2E1,clozapine,Myocardial Infarction,-0.926819571051034,3.0,-0.6969341212541682,19,-0.4786671368103627
CYP2E1,pilocarpine,Myocardial Infarction,-0.7252194804099492,3.0,-0.6969341212541682,19,-0.4786671368103627
CYP2E1,citalopram,Gastric ulcer,-0.3242546491784441,3.0,-0.12248512329679961,19,-0.4786671368103627
CYP2E1,clozapine,Gastric ulcer,-0.1960273652769775,3.0,-0.12248512329679961,19,-0.4786671368103627
CYP2E1,dextromethorphan,Gastric ulcer,0.1528266445650228,3.0,-0.12248512329679961,19,-0.4786671368103627
HTR2B,pramipexole,Sepsis,-0.212455025917599,2.0,-0.10135716104854264,16,-0.3450124728700126
HTR2B,ropinirole,Sepsis,0.0097407038205137,2.0,-0.10135716104854264,16,-0.3450124728700126
HTR2B,olanzapine,Tardive Dyskinesia,-0.467962963672095,1.0,-0.467962963672095,16,-0.3450124728700126
HTR2B,mirtazapine,Myocardial Infarction,-0.5564977606077797,4.0,-0.8692852759393328,16,-0.3450124728700126
HTR2B,olanzapine,Myocardial Infarction,-0.631909386264736,4.0,-0.8692852759393328,16,-0.3450124728700126
