,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCB1,-0.4067512576959268,0.3599582565302599,-0.9521137418296064,0.2356475934686344,-5.287766350047049
ABCB11,-0.36391610257243096,0.3539164579872501,-1.009051765619958,0.3977086226612929,-4.366993230869172
ABCG2,-0.24301018144915343,0.41616349965339783,-0.7851376622656989,0.5222216338254775,-2.4301018144915343
ADORA1,-0.6858937944571304,0.3764918601484072,-0.9521137418296064,-0.4196738470846544,-1.3717875889142608
ADORA2B,-0.3383156358842629,0.21080636848723047,-0.6019786260559563,-0.1125481496176217,-2.029893815305577
ADRA1A,-0.5098027397417138,0.12388400530166734,-0.5974019599710729,-0.4222035195123546,-1.0196054794834275
ADRA1B,-0.72600119448939,,-0.72600119448939,-0.72600119448939,-0.72600119448939
ADRA1D,-0.72600119448939,,-0.72600119448939,-0.72600119448939,-0.72600119448939
ADRA2A,-0.5098027397417138,0.12388400530166734,-0.5974019599710729,-0.4222035195123546,-1.0196054794834275
ADRA2B,-0.5098027397417138,0.12388400530166734,-0.5974019599710729,-0.4222035195123546,-1.0196054794834275
ADRA2C,-0.5098027397417138,0.12388400530166734,-0.5974019599710729,-0.4222035195123546,-1.0196054794834275
ADRB1,-0.45288437584010727,0.24138106174408538,-0.6559961283807034,0.0226506539966209,-2.7173062550406435
ADRB2,-0.45288437584010727,0.24138106174408544,-0.6559961283807034,0.0226506539966209,-2.7173062550406435
ADRB3,-1.0070394025827394,,-1.0070394025827394,-1.0070394025827394,-1.0070394025827394
AKR1B10,-0.9239249681871975,1.1721034743020393,-1.7527272831184817,-0.0951226532559132,-1.847849936374395
AKR1C1,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C2,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C3,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
AKR1C4,0.2356475934686344,,0.2356475934686344,0.2356475934686344,0.2356475934686344
ALB,-0.13425718437086087,0.7851984182458221,-1.1355173889866172,2.580384974496262,-5.101773006092713
AOX1,-0.539951940747963,0.1760752375907233,-0.7575862513884761,-0.296612434859222,-3.2397116444877785
