Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CYP3A7,2.0,Thrombocytopenia,43,0.28087891118004205,-0.3816705180671904
CYP3A7,0.0,Cerebral Infarction,43,0.0,-0.3816705180671904
CYP3A7,5.0,Delirium,43,0.07490823533718928,-0.3816705180671904
CYP3A7,0.0,Edema,43,0.0,-0.3816705180671904
CYP3A7,2.0,Gastric ulcer,43,-0.3604601402039851,-0.3816705180671904
CYP3A7,0.0,Hemorrhage,43,0.0,-0.3816705180671904
CYP3A7,5.0,Hyperlipidemia,43,-0.41115902377908886,-0.3816705180671904
CYP3A7,7.0,Myocardial Infarction,43,-0.7114018659972202,-0.3816705180671904
CYP3A7,2.0,Pancreatitis,43,-0.26644731492664775,-0.3816705180671904
CYP3A7,0.0,Peripheral Neuropathy,43,0.0,-0.3816705180671904
CYP3A7,10.0,Pneumonia,43,-0.2691372244737881,-0.3816705180671904
CYP3A7,0.0,Proteinuria,43,0.0,-0.3816705180671904
CYP3A7,0.0,Pulmonary Edema,43,0.0,-0.3816705180671904
CYP3A7,3.0,Sepsis,43,-0.15490647283746442,-0.3816705180671904
CYP3A7,7.0,Tardive Dyskinesia,43,-0.8432309316496703,-0.3816705180671904
CYP3A7,0.0,Deep Vein Thrombosis,43,0.0,-0.3816705180671904
ALB,1.0,Thrombocytopenia,38,0.5222216338254775,-0.13425718437086087
ALB,3.0,Tardive Dyskinesia,38,-0.8146922726495814,-0.13425718437086087
ALB,4.0,Sepsis,38,0.5947641780444077,-0.13425718437086087
ALB,0.0,Pulmonary Edema,38,0.0,-0.13425718437086087
ALB,0.0,Proteinuria,38,0.0,-0.13425718437086087
ALB,7.0,Pneumonia,38,0.061164699468885385,-0.13425718437086087
ALB,0.0,Peripheral Neuropathy,38,0.0,-0.13425718437086087
ALB,5.0,Pancreatitis,38,-0.13985380797420355,-0.13425718437086087
ALB,0.0,Cerebral Infarction,38,0.0,-0.13425718437086087
ALB,12.0,Myocardial Infarction,38,-0.3507822625985655,-0.13425718437086087
ALB,1.0,Hyperlipidemia,38,-0.4804867508112256,-0.13425718437086087
ALB,0.0,Hemorrhage,38,0.0,-0.13425718437086087
ALB,0.0,Gastric ulcer,38,0.0,-0.13425718437086087
ALB,2.0,Edema,38,-0.3803457674424866,-0.13425718437086087
ALB,3.0,Delirium,38,0.054235682106909266,-0.13425718437086087
ALB,0.0,Deep Vein Thrombosis,38,0.0,-0.13425718437086087
CYP3A4,1.0,Pancreatitis,17,-0.7851376622656989,-0.4477656123871704
CYP3A4,2.0,Thrombocytopenia,17,-0.7282985323783738,-0.4477656123871704
CYP3A4,0.0,Tardive Dyskinesia,17,0.0,-0.4477656123871704
CYP3A4,2.0,Sepsis,17,-0.32692560544185056,-0.4477656123871704
CYP3A4,0.0,Pulmonary Edema,17,0.0,-0.4477656123871704
CYP3A4,0.0,Proteinuria,17,0.0,-0.4477656123871704
CYP3A4,4.0,Pneumonia,17,-0.1280006854388649,-0.4477656123871704
CYP3A4,0.0,Peripheral Neuropathy,17,0.0,-0.4477656123871704
CYP3A4,5.0,Myocardial Infarction,17,-0.9132774421509022,-0.4477656123871704
CYP3A4,0.0,Hyperlipidemia,17,0.0,-0.4477656123871704
CYP3A4,0.0,Hemorrhage,17,0.0,-0.4477656123871704
CYP3A4,3.0,Gastric ulcer,17,0.120653493278074,-0.4477656123871704
CYP3A4,0.0,Edema,17,0.0,-0.4477656123871704
CYP3A4,0.0,Delirium,17,0.0,-0.4477656123871704
CYP3A4,0.0,Deep Vein Thrombosis,17,0.0,-0.4477656123871704
CYP3A4,0.0,Cerebral Infarction,17,0.0,-0.4477656123871704
ABCB1,0.0,Deep Vein Thrombosis,13,0.0,-0.4067512576959268
ABCB1,0.0,Cerebral Infarction,13,0.0,-0.4067512576959268
ABCB1,2.0,Edema,13,-0.15113088234269864,-0.4067512576959268
ABCB1,1.0,Delirium,13,0.2356475934686344,-0.4067512576959268
ABCB1,0.0,Hemorrhage,13,0.0,-0.4067512576959268
ABCB1,0.0,Hyperlipidemia,13,0.0,-0.4067512576959268
ABCB1,3.0,Myocardial Infarction,13,-0.8856845155436872,-0.4067512576959268
ABCB1,0.0,Pancreatitis,13,0.0,-0.4067512576959268
ABCB1,0.0,Peripheral Neuropathy,13,0.0,-0.4067512576959268
ABCB1,3.0,Pneumonia,13,-0.37674487370106924,-0.4067512576959268
ABCB1,0.0,Proteinuria,13,0.0,-0.4067512576959268
ABCB1,0.0,Pulmonary Edema,13,0.0,-0.4067512576959268
ABCB1,0.0,Sepsis,13,0.0,-0.4067512576959268
ABCB1,2.0,Tardive Dyskinesia,13,-0.4576897303343692,-0.4067512576959268
ABCB1,0.0,Thrombocytopenia,13,0.0,-0.4067512576959268
ABCB1,2.0,Gastric ulcer,13,-0.2592422752136389,-0.4067512576959268
ABCB11,1.0,Gastric ulcer,12,-0.0401780619153644,-0.36391610257243096
ABCB11,0.0,Deep Vein Thrombosis,12,0.0,-0.36391610257243096
ABCB11,0.0,Cerebral Infarction,12,0.0,-0.36391610257243096
ABCB11,0.0,Hemorrhage,12,0.0,-0.36391610257243096
ABCB11,1.0,Hyperlipidemia,12,-0.2273188813147637,-0.36391610257243096
ABCB11,3.0,Myocardial Infarction,12,-0.6583340767165987,-0.36391610257243096
ABCB11,2.0,Pancreatitis,12,-0.13592640473103312,-0.36391610257243096
ABCB11,0.0,Peripheral Neuropathy,12,0.0,-0.36391610257243096
ABCB11,1.0,Pneumonia,12,-0.362377007997523,-0.36391610257243096
ABCB11,0.0,Proteinuria,12,0.0,-0.36391610257243096
ABCB11,0.0,Pulmonary Edema,12,0.0,-0.36391610257243096
ABCB11,1.0,Sepsis,12,-0.3586910540490571,-0.36391610257243096
ABCB11,1.0,Tardive Dyskinesia,12,-0.6493454017624014,-0.36391610257243096
ABCB11,1.0,Thrombocytopenia,12,-0.1577439437870591,-0.36391610257243096
ABCB11,0.0,Edema,12,0.0,-0.36391610257243096
ABCB11,1.0,Delirium,12,-0.3244838404311405,-0.36391610257243096
UGT1A1,0.0,Cerebral Infarction,12,0.0,-0.3175025609230439
UGT1A1,3.0,Pancreatitis,12,-0.4992164416741911,-0.3175025609230439
UGT1A1,1.0,Thrombocytopenia,12,0.5222216338254775,-0.3175025609230439
UGT1A1,1.0,Sepsis,12,0.0721334065028944,-0.3175025609230439
UGT1A1,0.0,Pulmonary Edema,12,0.0,-0.3175025609230439
UGT1A1,0.0,Proteinuria,12,0.0,-0.3175025609230439
UGT1A1,2.0,Pneumonia,12,-0.03747614786575948,-0.3175025609230439
UGT1A1,0.0,Peripheral Neuropathy,12,0.0,-0.3175025609230439
UGT1A1,0.0,Tardive Dyskinesia,12,0.0,-0.3175025609230439
UGT1A1,3.0,Myocardial Infarction,12,-0.5294268407308671,-0.3175025609230439
UGT1A1,0.0,Hemorrhage,12,0.0,-0.3175025609230439
UGT1A1,0.0,Gastric ulcer,12,0.0,-0.3175025609230439
UGT1A1,1.0,Edema,12,-0.999252666038501,-0.3175025609230439
UGT1A1,0.0,Delirium,12,0.0,-0.3175025609230439
UGT1A1,0.0,Deep Vein Thrombosis,12,0.0,-0.3175025609230439
UGT1A1,1.0,Hyperlipidemia,12,-0.244250962419704,-0.3175025609230439
HTR2B,3.0,Myocardial Infarction,11,-0.7870886798628979,-0.5330820939933009
HTR2B,0.0,Thrombocytopenia,11,0.0,-0.5330820939933009
HTR2B,0.0,Deep Vein Thrombosis,11,0.0,-0.5330820939933009
HTR2B,1.0,Delirium,11,0.0226506539966209,-0.5330820939933009
HTR2B,0.0,Edema,11,0.0,-0.5330820939933009
HTR2B,1.0,Gastric ulcer,11,-0.2135129107515823,-0.5330820939933009
HTR2B,0.0,Hemorrhage,11,0.0,-0.5330820939933009
HTR2B,1.0,Hyperlipidemia,11,-0.4804867508112256,-0.5330820939933009
HTR2B,2.0,Pneumonia,11,-0.5980811169957319,-0.5330820939933009
HTR2B,1.0,Pancreatitis,11,-0.4884361485179074,-0.5330820939933009
HTR2B,0.0,Peripheral Neuropathy,11,0.0,-0.5330820939933009
HTR2B,0.0,Proteinuria,11,0.0,-0.5330820939933009
HTR2B,0.0,Pulmonary Edema,11,0.0,-0.5330820939933009
HTR2B,1.0,Tardive Dyskinesia,11,-0.5549177615706657,-0.5330820939933009
UGT1A4,0.0,Pulmonary Edema,11,0.0,-0.404154713131339
HTR2B,1.0,Sepsis,11,-0.5917718426913918,-0.5330820939933009
UGT1A4,0.0,Thrombocytopenia,11,0.0,-0.404154713131339
UGT1A4,0.0,Sepsis,11,0.0,-0.404154713131339
HTR2B,0.0,Cerebral Infarction,11,0.0,-0.5330820939933009
UGT1A4,0.0,Proteinuria,11,0.0,-0.404154713131339
UGT1A4,2.0,Pneumonia,11,-0.411642271988538,-0.404154713131339
UGT1A4,0.0,Peripheral Neuropathy,11,0.0,-0.404154713131339
UGT1A4,1.0,Pancreatitis,11,-0.3684312022286047,-0.404154713131339
UGT1A4,3.0,Myocardial Infarction,11,-0.5139964884445014,-0.404154713131339
UGT1A4,1.0,Hyperlipidemia,11,-0.2008629138890967,-0.404154713131339
UGT1A4,0.0,Hemorrhage,11,0.0,-0.404154713131339
UGT1A4,0.0,Gastric ulcer,11,0.0,-0.404154713131339
UGT1A4,2.0,Edema,11,-0.1583474782514784,-0.404154713131339
UGT1A4,0.0,Delirium,11,0.0,-0.404154713131339
UGT1A4,0.0,Deep Vein Thrombosis,11,0.0,-0.404154713131339
UGT1A4,0.0,Cerebral Infarction,11,0.0,-0.404154713131339
UGT1A4,2.0,Tardive Dyskinesia,11,-0.5972193812567452,-0.404154713131339
ABCG2,2.0,Gastric ulcer,10,-0.34942160015621665,-0.24301018144915343
ABCG2,1.0,Edema,10,-0.5763823945868634,-0.24301018144915343
ABCG2,0.0,Cerebral Infarction,10,0.0,-0.24301018144915343
ABCG2,0.0,Deep Vein Thrombosis,10,0.0,-0.24301018144915343
ABCG2,0.0,Tardive Dyskinesia,10,0.0,-0.24301018144915343
ABCG2,1.0,Sepsis,10,-0.1653136832911652,-0.24301018144915343
ABCG2,1.0,Pulmonary Edema,10,-0.3568412835404082,-0.24301018144915343
ABCG2,0.0,Proteinuria,10,0.0,-0.24301018144915343
ABCG2,1.0,Pneumonia,10,0.3447215513531354,-0.24301018144915343
ABCG2,0.0,Peripheral Neuropathy,10,0.0,-0.24301018144915343
ABCG2,0.0,Delirium,10,0.0,-0.24301018144915343
ABCG2,2.0,Pancreatitis,10,-0.6935581441608276,-0.24301018144915343
ABCG2,0.0,Myocardial Infarction,10,0.0,-0.24301018144915343
ABCG2,0.0,Hyperlipidemia,10,0.0,-0.24301018144915343
ABCG2,0.0,Hemorrhage,10,0.0,-0.24301018144915343
ABCG2,2.0,Thrombocytopenia,10,0.20483674210392788,-0.24301018144915343
Htr2c,0.0,Cerebral Infarction,10,0.0,-0.5942547426646245
HTR7,0.0,Peripheral Neuropathy,10,0.0,-0.5173203508181696
HTR7,0.0,Delirium,10,0.0,-0.5173203508181696
HTR7,0.0,Thrombocytopenia,10,0.0,-0.5173203508181696
HTR7,3.0,Tardive Dyskinesia,10,-0.6315249311534726,-0.5173203508181696
HTR7,0.0,Sepsis,10,0.0,-0.5173203508181696
HTR7,0.0,Pulmonary Edema,10,0.0,-0.5173203508181696
HTR7,0.0,Proteinuria,10,0.0,-0.5173203508181696
HTR7,3.0,Pneumonia,10,-0.4014155833924171,-0.5173203508181696
Htr2c,2.0,Edema,10,-0.1566549688206926,-0.5942547426646245
HTR7,1.0,Pancreatitis,10,-0.7306242004332617,-0.5173203508181696
HTR7,2.0,Myocardial Infarction,10,-0.6662557050788536,-0.5173203508181696
HTR7,0.0,Hyperlipidemia,10,0.0,-0.5173203508181696
HTR7,0.0,Hemorrhage,10,0.0,-0.5173203508181696
HTR7,0.0,Gastric ulcer,10,0.0,-0.5173203508181696
