Gene,Mean Difference in -log(BH)
ABCB1,-0.38619038323664884
ABCB11,-0.36391610257243096
ABCG2,-0.24301018144915343
ADORA1,-0.6858937944571304
ADORA2B,-0.3383156358842629
ADRA1A,-0.5098027397417138
ADRA1B,-0.72600119448939
ADRA1D,-0.72600119448939
ADRA2A,-0.5098027397417138
ADRA2B,-0.5098027397417138
ADRA2C,-0.5098027397417138
ADRB1,-0.45288437584010727
ADRB2,-0.45288437584010727
ADRB3,-1.0070394025827394
AKR1B10,-0.9239249681871975
AKR1C1,0.2356475934686344
AKR1C2,0.2356475934686344
AKR1C3,0.2356475934686344
AKR1C4,0.2356475934686344
ALB,-0.13425718437086087
AOX1,-0.539951940747963
AR,-0.4107004285398004
BCHE,-0.6205600484685353
BCR,0.2270085332316635
BDKRB1,-0.5297276125581747
BECN1,-0.4569307938774507
BTK,0.41938477174102484
CBR1,0.2356475934686344
CBR3,0.2356475934686344
CES1,-0.24314861217009798
CES2,-0.1665744940904758
CHRM1,-0.6858937944571304
CHRM3,-0.5098027397417138
CHRM4,-0.47273193006500175
CHRM5,-0.4029140863165583
CHRNA2,-0.7030917533362002
CHRNA3,-0.5168084244584517
CHRNA4,-0.3395048707666477
CHRNA7,-0.1442417667029545
CHRNB2,-0.33158712233506515
CHRNB4,-0.7030917533362002
CKS1B,-0.7030917533362002
COMT,-0.4938459875744196
CPNE1,0.0479445569449783
CSK,0.41938477174102484
CYP11B1,-0.4874833813163697
CYP1A2,-0.5493266665860451
CYP2B6,-0.2950945268770173
CYP2C19,-0.5940749077990872
CYP2C8,-0.5489192064379127
CYP2E1,-0.0620793681923093
CYP3A4,-0.4477656123871704
CYP3A7,-0.3816705180671904
DRD2,-0.6252584225227148
DRD3,-0.4468387252597968
DRD4,-0.4468387252597968
EPHA5,0.41938477174102484
EPHB4,0.41938477174102484
ESR1,-0.3337073330542832
ESRRG,-0.4569307938774507
FGF1,-0.2095357833868814
FGF19,-0.2095357833868814
FGF2,-0.2095357833868814
FGF4,-0.2095357833868814
FGFR1,-0.2095357833868814
FGFR2,-0.2095357833868814
FGFR4,-0.2095357833868814
FGR,0.41938477174102484
FRK,0.41938477174102484
GARS1,-0.3896330086871673
GLRA1,-0.40618639173310633
GLYATL1,-0.3896330086871673
GLYATL2,-0.3896330086871673
GP1BA,-0.2083824715407445
GPER1,-0.4569307938774507
GSTP1,-0.5118664973301886
HGF,-0.2095357833868814
HM13,0.0479445569449783
HRH1,-0.6117896975404535
HRH2,-0.49879308043856113
HRH3,-0.45288437584010727
HRH4,-0.45288437584010727
HSD11B1,-0.4874833813163697
HSD11B2,-0.4874833813163697
HSD17B2,-0.4569307938774507
HSPA8,0.41938477174102484
HTR1A,-0.5239690006253244
HTR2A,-0.6885944318848689
HTR2B,-0.5330820939933009
HTR2C,-0.6279426089402834
HTR5A,-0.45288437584010727
HTR6,-0.49697408208355814
HTR7,-0.5173203508181696
Htr2c,-0.5942547426646245
IL1B,-0.482013522098871
KCNH1,-0.4007293585582534
KCNH2,-0.5329937882793351
KCNJ2,-0.999252666038501
KCNJ4,-0.999252666038501
KCNQ3,-0.3059212743427677
