,Number of Drug Target Genes PathFXv1,Number of Drug Target Genes PathFXv1,Number of Drug Target Genes PathFXv1,Number of Drug Target Genes PathFXv1,Number of Drug Target Genes PathFXv1,Number of Drug Target Genes PathFXv2,Number of Drug Target Genes PathFXv2,Number of Drug Target Genes PathFXv2,Number of Drug Target Genes PathFXv2,Number of Drug Target Genes PathFXv2
,mean,std,min,max,sum,mean,std,min,max,sum
Adverse Event,,,,,,,,,,
Cerebral Infarction,10.6,10.691117808723277,4,29,53,10.4,9.710818709048173,4,27,52
Deep Vein Thrombosis,3.5,0.7071067811865476,3,4,7,4.0,0.0,4,4,8
Delirium,19.181818181818183,10.147099899165099,5,34,211,21.272727272727273,11.18115297356144,7,42,234
Edema,17.72222222222222,12.217661062170016,2,44,319,17.055555555555557,10.91395341225934,2,39,307
Gastric ulcer,12.5,8.528774824088158,1,39,325,12.076923076923077,8.289381530237716,2,38,314
Hemorrhage,3.8333333333333335,2.5166114784235836,1,11,46,4.75,3.840572873934304,1,14,57
Hyperlipidemia,17.157894736842106,11.131851986752732,3,38,326,18.57894736842105,11.157039578837331,3,42,353
Myocardial Infarction,11.0,9.683602217085033,1,44,880,11.325,9.55831535392421,1,42,906
Pancreatitis,13.666666666666666,9.898030839149454,1,39,328,14.666666666666666,9.809785117828579,1,42,352
Peripheral Neuropathy,5.0,,5,5,5,6.0,,6,6,6
Pneumonia,12.9,9.968283035040022,1,44,903,12.785714285714286,9.788921358681948,1,42,895
Proteinuria,6.5,4.203173404306164,1,11,26,7.5,5.0,1,13,30
Pulmonary Edema,16.333333333333332,3.785938897200182,12,19,49,20.333333333333332,10.066445913694333,11,31,61
Sepsis,10.454545454545455,8.566252495588827,1,39,345,10.484848484848484,8.849863036091337,1,38,346
Tardive Dyskinesia,19.958333333333332,11.269347292802593,6,44,479,20.791666666666668,10.475558163676995,7,42,499
Thrombocytopenia,9.91304347826087,8.033526585946836,1,27,228,11.217391304347826,9.35636157789365,1,31,258
