Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
TNF,33.0,Sepsis,353,-0.2585546164033702,-0.3513788092428291
TNF,12.0,Hemorrhage,353,-0.37506576263153263,-0.3513788092428291
TNF,24.0,Tardive Dyskinesia,353,-0.7511245830492573,-0.3513788092428291
TNF,5.0,Cerebral Infarction,353,-0.6313298223058947,-0.3513788092428291
TNF,0.0,Deep Vein Thrombosis,353,0.0,-0.3513788092428291
TNF,11.0,Delirium,353,-0.04486934352386029,-0.3513788092428291
TNF,18.0,Edema,353,-0.2616585861011098,-0.3513788092428291
TNF,26.0,Gastric ulcer,353,-0.11378164600453868,-0.3513788092428291
TNF,23.0,Thrombocytopenia,353,-0.21132595518782496,-0.3513788092428291
TNF,19.0,Hyperlipidemia,353,-0.3034492896799361,-0.3513788092428291
TNF,24.0,Pancreatitis,353,-0.35322613379276624,-0.3513788092428291
TNF,1.0,Peripheral Neuropathy,353,-0.600880662648489,-0.3513788092428291
TNF,70.0,Pneumonia,353,-0.02453886343776722,-0.3513788092428291
TNF,4.0,Proteinuria,353,-0.83370462769801,-0.3513788092428291
TNF,3.0,Pulmonary Edema,353,0.34378280057691296,-0.3513788092428291
TNF,80.0,Myocardial Infarction,353,-0.7241589630474792,-0.3513788092428291
IL6,80.0,Myocardial Infarction,331,-0.7241589630474792,-0.31993077183753155
IL6,11.0,Delirium,331,-0.044869343523860294,-0.31993077183753155
IL6,18.0,Edema,331,-0.2616585861011098,-0.31993077183753155
IL6,26.0,Gastric ulcer,331,-0.11378164600453868,-0.31993077183753155
IL6,12.0,Hemorrhage,331,-0.37506576263153263,-0.31993077183753155
IL6,19.0,Hyperlipidemia,331,-0.3034492896799361,-0.31993077183753155
IL6,70.0,Pneumonia,331,-0.02453886343776722,-0.31993077183753155
IL6,24.0,Pancreatitis,331,-0.35322613379276624,-0.31993077183753155
IL6,1.0,Peripheral Neuropathy,331,-0.600880662648489,-0.31993077183753155
IL6,4.0,Proteinuria,331,-0.83370462769801,-0.31993077183753155
IL6,3.0,Pulmonary Edema,331,0.34378280057691296,-0.31993077183753155
IL6,33.0,Sepsis,331,-0.2585546164033702,-0.31993077183753155
IL6,5.0,Cerebral Infarction,331,-0.6313298223058947,-0.31993077183753155
IL6,2.0,Deep Vein Thrombosis,331,0.0563220956567818,-0.31993077183753155
IL6,0.0,Tardive Dyskinesia,331,0.0,-0.31993077183753155
IL6,23.0,Thrombocytopenia,331,-0.21132595518782496,-0.31993077183753155
APOE,33.0,Sepsis,326,-0.2585546164033702,-0.37422423643257013
APOE,24.0,Tardive Dyskinesia,326,-0.7511245830492573,-0.37422423643257013
APOE,0.0,Gastric ulcer,326,0.0,-0.37422423643257013
APOE,18.0,Edema,326,-0.2616585861011098,-0.37422423643257013
APOE,11.0,Delirium,326,-0.044869343523860294,-0.37422423643257013
APOE,2.0,Deep Vein Thrombosis,326,0.0563220956567818,-0.37422423643257013
APOE,5.0,Cerebral Infarction,326,-0.6313298223058947,-0.37422423643257013
