,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
A2M,-0.5383439021929667,0.533324776962206,-1.993921625236842,2.580384974496262,-74.82980240482237
A2ML1,-0.2616585861011098,0.3662366547906704,-0.999252666038501,0.245765087485239,-4.709854549819976
AAA1,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
AAAS,-0.2686230295282266,0.6932654539815132,-1.901196468100899,2.580384974496262,-9.133183003959704
AAK1,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
AARS,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
AAVS1,-0.2616585861011098,0.36623665479067036,-0.999252666038501,0.245765087485239,-4.709854549819976
ABCA1,-0.4887961239437212,0.4889335690004589,-1.993921625236842,0.9818616389731174,-75.27460308733306
ABCA12,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
ABCA3,-0.02453886343776722,0.7966540894758826,-0.9612872582749395,2.69020138254721,-1.7177204406437054
ABCA4,-0.7241589630474792,0.3889383470894494,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCB1,-0.642991342103656,0.4004539519124541,-1.993921625236842,0.9818616389731174,-64.29913421036561
ABCB11,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCB4,-0.3631323149469952,0.4380601266546584,-1.1293390879283,0.5108256237660376,-9.07830787367488
ABCB6,-0.11378164600453868,0.3366023126998563,-0.873746924972993,0.7838558621265488,-2.9583227961180056
ABCC1,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC11,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
ABCC2,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC3,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC4,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC5,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC6,-0.7226370087215657,0.3867424838394383,-1.993921625236842,0.9818616389731174,-58.53359770644682
