,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
A2M,-0.6254481138067091,0.43772038183918305,-1.993921625236842,0.9818616389731174,-66.29750006351117
AAK1,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
AARS,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCA1,-0.5649709397751176,0.48068012807895516,-1.993921625236842,0.9818616389731174,-72.31628029121505
ABCA3,-0.024538863437767216,0.7966540894758827,-0.9612872582749395,2.69020138254721,-1.7177204406437052
ABCA4,-0.7241589630474792,0.3889383470894495,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCB1,-0.642991342103656,0.4004539519124541,-1.993921625236842,0.9818616389731174,-64.29913421036561
ABCB4,-0.36313231494699516,0.4380601266546584,-1.1293390879283,0.5108256237660376,-9.078307873674879
ABCC1,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCC11,-0.2585546164033702,0.7014854822468167,-1.901196468100899,2.580384974496262,-8.532302341311215
ABCC8,-0.31512390039715843,0.6584920015138118,-1.901196468100899,2.580384974496262,-12.289832115489178
ABCC9,-0.7241589630474792,0.38893834708944947,-1.993921625236842,0.9818616389731174,-57.932717043798334
ABCD1,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABCD4,-0.21132595518782496,0.6714010637798206,-1.9788186985822251,0.7943008267116998,-4.860496969319974
ABCF1,-0.10845901757095847,0.7352043730420169,-1.1293390879283,2.69020138254721,-10.195147651670096
ABCG1,-0.7226370087215657,0.3867424838394383,-1.993921625236842,0.9818616389731174,-58.53359770644682
ABCG2,-0.04486934352386029,0.20515617810752276,-0.3244838404311405,0.2418399384670237,-0.4935627787624632
ABCG5,-0.3034492896799361,0.25885304465769066,-0.7238184736771327,0.1906756653533126,-5.765536503918787
ABCG8,-0.3034492896799361,0.2588530446576906,-0.7238184736771327,0.1906756653533126,-5.765536503918787
ABHD12,-0.600880662648489,,-0.600880662648489,-0.600880662648489,-0.600880662648489
ABL1,-0.21132595518782496,0.6714010637798206,-1.9788186985822251,0.7943008267116998,-4.860496969319974
