Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
TNF,3.0,Pulmonary Edema,314,0.34378280057691296,-0.3545879459586888
TNF,80.0,Myocardial Infarction,314,-0.7241589630474792,-0.3545879459586888
TNF,24.0,Tardive Dyskinesia,314,-0.7511245830492573,-0.3545879459586888
TNF,0.0,Thrombocytopenia,314,0.0,-0.3545879459586888
TNF,18.0,Edema,314,-0.2616585861011098,-0.3545879459586888
TNF,26.0,Gastric ulcer,314,-0.11378164600453868,-0.3545879459586888
TNF,0.0,Deep Vein Thrombosis,314,0.0,-0.3545879459586888
TNF,5.0,Cerebral Infarction,314,-0.6313298223058947,-0.3545879459586888
TNF,0.0,Hemorrhage,314,0.0,-0.3545879459586888
TNF,19.0,Hyperlipidemia,314,-0.3034492896799361,-0.3545879459586888
TNF,11.0,Delirium,314,-0.04486934352386029,-0.3545879459586888
TNF,24.0,Pancreatitis,314,-0.35322613379276624,-0.3545879459586888
TNF,70.0,Pneumonia,314,-0.024538863437767216,-0.3545879459586888
TNF,0.0,Proteinuria,314,0.0,-0.3545879459586888
TNF,33.0,Sepsis,314,-0.2585546164033702,-0.3545879459586888
TNF,1.0,Peripheral Neuropathy,314,-0.600880662648489,-0.3545879459586888
VEGFA,24.0,Pancreatitis,295,-0.3532261337927663,-0.34120566075069175
VEGFA,0.0,Tardive Dyskinesia,295,0.0,-0.34120566075069175
VEGFA,33.0,Sepsis,295,-0.2585546164033702,-0.34120566075069175
VEGFA,3.0,Pulmonary Edema,295,0.34378280057691296,-0.34120566075069175
VEGFA,4.0,Proteinuria,295,-0.83370462769801,-0.34120566075069175
VEGFA,70.0,Pneumonia,295,-0.02453886343776722,-0.34120566075069175
VEGFA,1.0,Peripheral Neuropathy,295,-0.600880662648489,-0.34120566075069175
VEGFA,18.0,Edema,295,-0.2616585861011098,-0.34120566075069175
VEGFA,0.0,Delirium,295,0.0,-0.34120566075069175
VEGFA,80.0,Myocardial Infarction,295,-0.7241589630474792,-0.34120566075069175
VEGFA,19.0,Hyperlipidemia,295,-0.3034492896799361,-0.34120566075069175
VEGFA,12.0,Hemorrhage,295,-0.37506576263153263,-0.34120566075069175
VEGFA,26.0,Gastric ulcer,295,-0.11378164600453868,-0.34120566075069175
VEGFA,0.0,Deep Vein Thrombosis,295,0.0,-0.34120566075069175
VEGFA,0.0,Thrombocytopenia,295,0.0,-0.34120566075069175
VEGFA,5.0,Cerebral Infarction,295,-0.6313298223058947,-0.34120566075069175
IL6,0.0,Proteinuria,278,0.0,-0.3408037669136436
IL6,18.0,Edema,278,-0.2616585861011098,-0.3408037669136436
IL6,0.0,Thrombocytopenia,278,0.0,-0.3408037669136436
IL6,0.0,Tardive Dyskinesia,278,0.0,-0.3408037669136436
IL6,3.0,Pulmonary Edema,278,0.34378280057691296,-0.3408037669136436
IL6,5.0,Cerebral Infarction,278,-0.6313298223058947,-0.3408037669136436
IL6,2.0,Deep Vein Thrombosis,278,0.0563220956567818,-0.3408037669136436
IL6,11.0,Delirium,278,-0.044869343523860294,-0.3408037669136436
IL6,70.0,Pneumonia,278,-0.02453886343776722,-0.3408037669136436
IL6,0.0,Gastric ulcer,278,0.0,-0.3408037669136436
IL6,19.0,Hyperlipidemia,278,-0.3034492896799361,-0.3408037669136436
IL6,80.0,Myocardial Infarction,278,-0.7241589630474792,-0.3408037669136436
IL6,33.0,Sepsis,278,-0.2585546164033702,-0.3408037669136436
IL6,1.0,Peripheral Neuropathy,278,-0.600880662648489,-0.3408037669136436
IL6,24.0,Pancreatitis,278,-0.3532261337927663,-0.3408037669136436
IL6,12.0,Hemorrhage,278,-0.37506576263153263,-0.3408037669136436
NOS3,0.0,Peripheral Neuropathy,274,0.0,-0.37024465251472916
NOS3,33.0,Sepsis,274,-0.2585546164033702,-0.37024465251472916
NOS3,3.0,Pulmonary Edema,274,0.34378280057691296,-0.37024465251472916
NOS3,0.0,Proteinuria,274,0.0,-0.37024465251472916
NOS3,70.0,Pneumonia,274,-0.02453886343776722,-0.37024465251472916
NOS3,19.0,Hyperlipidemia,274,-0.3034492896799361,-0.37024465251472916
NOS3,0.0,Pancreatitis,274,0.0,-0.37024465251472916
NOS3,80.0,Myocardial Infarction,274,-0.7241589630474792,-0.37024465251472916
NOS3,12.0,Hemorrhage,274,-0.37506576263153263,-0.37024465251472916
NOS3,26.0,Gastric ulcer,274,-0.11378164600453868,-0.37024465251472916
NOS3,0.0,Edema,274,0.0,-0.37024465251472916
NOS3,2.0,Deep Vein Thrombosis,274,0.0563220956567818,-0.37024465251472916
NOS3,5.0,Cerebral Infarction,274,-0.6313298223058947,-0.37024465251472916
NOS3,0.0,Delirium,274,0.0,-0.37024465251472916
NOS3,24.0,Tardive Dyskinesia,274,-0.7511245830492573,-0.37024465251472916
