,Count
TNF,314
VEGFA,295
IL6,278
NOS3,274
CXCL8,270
CCL2,267
PTGS2,263
TGFB1,258
IL1B,257
IL10,250
IL1RN,247
MMP9,247
CRP,245
ACE,243
TIMP1,239
COX2,238
SERPINE1,238
MBL2,236
TLR2,233
PPARG,231
CASP1,226
APOA1,224
IL17A,222
BCL2,218
HIF1A,217
ICAM1,217
HMOX1,216
PLAU,216
F2R,215
ANGPT1,214
NFE2L2,214
TLR4,212
DECR1,212
IL18,212
IFNG,212
CSF2,211
MPO,210
PLG,209
MMP13,209
STAT3,207
MIF,207
LCN2,207
CD14,207
CAV1,207
TREM1,207
S100A9,207
SELP,207
CD40LG,206
HGF,205
ALOX5,205
ADRB2,205
TNFRSF1A,203
CCR2,202
PLAT,202
VCAM1,202
NLRP3,201
IL1A,200
TP53,200
COX1,200
NR3C1,199
CCL5,198
APOE,197
PTGS1,195
NFKB1,193
CYBB,192
ACE2,192
CXCL12,188
HMGB1,188
SIRT1,188
PLA2G4A,188
PARP1,188
PIK3CG,188
IL4,188
SPP1,187
MEFV,187
NR1I2,186
PROCR,185
NM,183
FCGR3B,183
FCGR3A,183
BRCA1,183
HSPD1,183
ELANE,183
PLA2G1B,183
VDR,183
AGER,183
ADAM17,183
ADAMTS13,183
MYDGF,183
BDNF,180
CD40,176
FGG,176
GSTP1,175
GSTT1,175
CYP1A1,174
GSTM1,174
HP,173
C3,169
OSM,169
CASP8,168
ADM,167
IGF1,167
EDN1,163
F5,162
CASP3,160
SOD2,157
ARHGEF7,157
ASCC1,157
CX3CL1,155
CTSG,155
VWF,155
ELN,154
F2,151
F7,151
GCLC,151
MMP2,151
F2RL1,150
TNFSF4,150
MMP12,150
GCLM,150
LRPPRC,150
FOXO3,150
SLC52A1,150
LPA,150
TNFRSF1B,150
S100B,150
HPGDS,150
IL6ST,150
MOK,150
PGF,150
S100A1,150
NFKBIA,150
CCL11,150
ADORA3,150
CCR3,150
BAX,150
REN,148
NOS2,147
FGB,144
CBS,144
RAG1,144
FN1,143
BDKRB2,142
TEK,142
LTA,142
CTSB,141
CFH,140
SELL,139
ANGPT2,139
CYP2C9,139
ITGAM,137
NOS1,137
CYP1A2,137
PLA2G2A,137
CSF3,137
FAS,137
SELE,137
POMC,137
IFNA2,136
THPO,136
RAG2,135
EPO,134
IL11,133
IL2,132
MTTP,132
IL22,132
APOC1,132
KNG1,131
SOD1,131
KLK1,130
GHRL,130
PDGFA,130
MET,130
SDC1,129
LPL,128
ABCA1,128
TLR3,128
MYD88,128
FGA,128
HTR2A,128
CAT,127
NAMPT,127
IL17D,127
ITGB2,127
SERPINB2,126
MMP3,126
FCGR2A,126
TIMP2,125
CYP2C19,125
ADRB3,125
INS,123
APOA5,123
CYP2D6,123
AGT,122
CD36,122
HLA-DRB1,121
CYP3A4,121
FOS,120
PRH2,120
F3,119
TFPI,119
PIK3CB,118
PIK3CD,118
G6PD,118
PIK3CA,118
HSPA4,118
NRP1,118
ITGB3,117
ITGA3,117
DPP4,117
HPSE,117
HLA-B,117
MPL,115
THBD,115
CCL4,115
PRH1,115
MAPK1,114
GSN,114
RETN,113
NTN1,113
PTX3,113
HRG,113
SIRT3,113
PPP1R1A,113
PPARGC1A,113
GDE1,113
ITGB1,113
PLB1,113
FCAR,113
UBAC1,113
UCP2,113
NDUFA2,113
UGT1A1,113
YWHAZ,113
PLA2G6,113
MIR150,113
MTOR,113
CCNA2,113
MMP1,113
MIR122,113
BPI,113
CD163,113
LBP,113
CHI3L1,113
AMPD1,113
AGTR2,113
MIR21,113
MAPK3,113
TNFRSF11B,111
MTHFR,111
DCLRE1C,111
FGF2,111
JUN,109
ADH1B,109
NRG1,109
ALDH2,109
SFTPD,108
SLC9A6,108
GABPA,108
JUNB,108
JUND,108
LCAT,108
ADIPOQ,108
FOSB,108
MYH9,107
SARS2,107
FOXO4,106
PWAR1,106
LY96,106
CXCL2,106
SLC52A2,106
CYP2B6,106
BDKRB1,106
ABO,106
AKT1,106
BCL2L1,106
A2M,106
JAK2,105
CDKN2A,105
PECAM1,105
CXCR2,105
FABP2,104
COMT,104
PLAUR,104
ATF3,104
SULF2,104
CASR,104
EDNRA,104
GLA,104
PDZD2,104
LAMP2,104
CYP17A1,104
TNFRSF12A,104
ADH1C,104
CYP4F3,104
TIRAP,103
BLNK,103
GZMB,103
LTB4R,103
DEFB4B,103
TICAM1,103
IL27,103
MMP8,103
SGCG,103
FCGR1A,103
GP1BA,103
CD86,103
SMOX,103
CP,103
SOCS3,103
MYLK,103
DEFB4A,103
TNFRSF13B,103
TNFSF11,103
TNFRSF13C,103
LAMC2,103
MBL3P,103
PPARA,103
MCL1,103
KLF2,103
CXCR4,103
C3AR1,103
C5AR1,103
TLR9,103
ITGA2,103
IL23A,103
CFB,103
TRIM69,103
ADA,103
TLR5,103
ITGA2B,103
IL7,103
IRAK3,103
HSPA1A,102
CAD,101
CYP27A1,100
ABCB1,100
ARSA,100
LDLR,100
HFE,100
LMNA,100
SREBF2,99
LRP1,99
MMP14,99
RPSA,99
DISC1,99
EEF1A2,99
ADAMTS7,99
GCG,99
MVP,99
PTPRA,99
NANOS3,99
APOC3,99
PIK3C2G,99
HSPA1B,99
SLCO1B1,99
SLC27A1,99
PON1,99
CCR5,99
PCSK9,99
CDC73,99
CDCP1,99
HMGCR,99
CDH13,99
APOB,99
CPB2,99
SERPINF2,99
APOA4,99
APOA2,99
OLR1,99
CETP,99
CHDH,99
LDLRAP1,99
LIPA,99
GH1,99
GGT1,99
LIPC,99
MUC5AC,99
