Gene,Mean Difference in -log(BH)
A2M,-0.6254481138067091
AAK1,-0.2585546164033702
AARS,-0.600880662648489
ABCA1,-0.5649709397751176
ABCA3,-0.024538863437767216
ABCA4,-0.7241589630474792
ABCB1,-0.642991342103656
ABCB4,-0.36313231494699516
ABCC1,-0.2686230295282266
ABCC11,-0.2585546164033702
ABCC8,-0.31512390039715843
ABCC9,-0.7241589630474792
ABCD1,-0.600880662648489
ABCD4,-0.21132595518782496
ABCF1,-0.10845901757095847
ABCG1,-0.7226370087215657
ABCG2,-0.044869343523860294
ABCG5,-0.3034492896799361
ABCG8,-0.3034492896799361
ABHD12,-0.600880662648489
ABL1,-0.21132595518782496
ABO,-0.5744437720746824
ACAD9,-0.21132595518782496
ACADSB,-0.3034492896799361
ACAT1,-0.3034492896799361
ACD,-0.21132595518782496
ACE,-0.3409668922539743
ACE2,-0.3889281637920561
ACHE,-0.7241589630474792
ACKR1,-0.06827755339778033
ACP5,-0.024538863437767216
ACSL3,-0.3034492896799361
ACSL4,-0.83370462769801
ACSL5,-0.3034492896799361
ACTA2,-0.7241589630474792
ACTG1,-0.600880662648489
ACTN1,-0.21132595518782496
ACTN4,-0.3368343796227025
AD14,-0.024538863437767216
ADA,-0.33750413994132766
ADA2,-0.600880662648489
ADAM10,-0.3076039856010708
ADAM17,-0.37258327773635663
ADAM8,-0.7241589630474792
ADAMTS1,-0.46997999446806554
ADAMTS10,-0.044869343523860294
ADAMTS13,-0.4955330937051489
ADAMTS18,-0.35322613379276624
ADAMTS7,-0.6434167025021932
ADD1,-0.7241589630474792
ADH1B,-0.638227462076644
ADH1C,-0.6385590793733147
ADH4,-0.35322613379276624
ADIPOQ,-0.6499048256485059
ADM,-0.48910387010459794
ADORA1,-0.7186984253567977
ADORA2A,-0.7511245830492573
ADORA2B,-0.024538863437767216
ADORA3,-0.3976695832296136
ADRA1D,-0.7241589630474792
ADRA2B,-0.7241589630474792
ADRB1,-0.7241589630474792
ADRB2,-0.35569233135581124
ADRB3,-0.533252610750681
