,Count
TNF,337
IL6,301
VEGFA,295
CXCL8,293
TLR2,275
NOS3,274
CCL2,272
CRP,268
IL1B,268
APOE,267
IL17A,264
PTGS2,263
TGFB1,258
DECR1,255
IL10,250
MMP9,247
IL1RN,247
ACE,243
BCL2,241
TIMP1,239
F2R,238
COX2,238
SERPINE1,238
SELP,237
HIF1A,236
MBL2,236
TLR4,235
PLG,232
PPARG,231
MMP3,229
ALOX5,228
NR1I2,228
HGF,228
TP53,228
VCAM1,228
CASP1,226
APOA1,224
CCL5,221
NFKB1,219
TFPI,218
PLAU,218
AGT,218
NOS2,217
ICAM1,217
HMOX1,216
IFNG,215
ANGPT1,214
NFE2L2,214
CSF2,213
TEK,212
NLRP3,212
CD14,212
IL18,212
F3,212
CXCL12,211
HP,211
MPO,210
CFH,210
MMP13,209
SELL,209
CD40,209
CSF3,207
S100A9,207
MIF,207
NAMPT,207
LCN2,207
CAV1,207
TREM1,207
STAT3,207
CXCR4,206
CD40LG,206
SOCS3,206
MTOR,206
LAMC2,206
ADRB2,205
MAPK1,203
TNFRSF1A,203
PLAT,202
PLA2G1B,202
CCR2,202
MYLK,202
IL1A,200
COX1,200
PIK3CA,199
PIK3CB,199
NR3C1,199
PIK3CG,199
PIK3CD,199
PTGS1,195
ACE2,192
CYBB,192
ASCC1,190
ARHGEF7,190
GRIK2,188
NRP1,188
PARP1,188
SIRT1,188
ROS1,188
IL4,188
GABPA,188
ALOX15,188
VDR,188
AGER,188
HSPA4,188
PLA2G4A,188
HMGB1,188
MEFV,187
SPP1,187
ALB,186
PROCR,185
CXCR2,185
F11,185
UBAC1,183
R3HDM2P2,183
BRCA1,183
ADAM17,183
ADAMTS13,183
FCGR3B,183
FCGR3A,183
SELPLG,183
ELANE,183
S100A1,183
MYDGF,183
HSPD1,183
KLF2,183
SOD2,183
S100B,183
NM,183
MOK,183
MAPK3,183
BDNF,180
ELN,177
CXCL10,177
FGG,176
GSTP1,175
GSTT1,175
GSTM1,174
CYP1A1,174
F7,174
LPA,171
AHR,169
OSM,169
BAX,169
IRF6,169
ID2,169
C3,169
CASP8,168
IGF1,167
ADM,167
EDN1,163
SDC1,162
F5,162
CASP3,160
IL11,159
VWF,158
ENTPD1,158
SOD1,157
CX3CL1,155
EMP1,155
CTSG,155
IL2RA,154
KLF4,153
HPGDS,153
F2,151
FXN,151
FGA,151
MMP2,151
GCLC,151
TNFSF4,150
ZC3H12A,150
NFKBIA,150
GDF15,150
IL6ST,150
ANXA5,150
F2RL1,150
LRPPRC,150
FBXO15,150
MAPK8,150
CCL11,150
TRPA1,150
NFATC2,150
CCR3,150
ADORA3,150
IL9,150
PGF,150
TNFRSF1B,150
TXN,150
ADAM8,150
GCLM,150
SLC52A1,150
PEBP1,150
MMP12,150
FOXO3,150
HSPA5,150
PLXNC1,150
LCT,150
ATG7,150
ITGB2,150
REN,149
RAG1,144
CBS,144
FGB,144
FN1,143
LTA,142
BDKRB2,142
FAS,141
CTSB,141
HPSE,140
ATN1,139
CYP2C9,139
GAL,139
PRH2,139
ANGPT2,139
THBD,138
NOS1,137
CTGF,137
MIR150,137
PLA2G2A,137
CASP12,137
POMC,137
SELE,137
ITGAM,137
PLAUR,137
CYP1A2,137
MIR155,137
YWHAZ,137
UGT1A1,136
EPO,136
IFNA2,136
THPO,136
RAG2,135
SHH,135
PRH1,134
