Gene,Mean Difference in -log(BH)
A2M,-0.6254481138067091
A4GALT,-0.7241589630474792
AAK1,-0.2585546164033702
AARS,-0.7226370087215657
AARS2,-0.7241589630474792
ABCA1,-0.5649709397751176
ABCA3,-0.024538863437767216
ABCA4,-0.7241589630474792
ABCB1,-0.5197999549137914
ABCB4,-0.36313231494699516
ABCC1,-0.5882973688399827
ABCC11,-0.2585546164033702
ABCC8,-0.29824011693524827
ABCC9,-0.7241589630474792
ABCD1,-0.600880662648489
ABCD4,-0.21132595518782496
ABCF1,-0.10845901757095847
ABCG1,-0.7226370087215657
ABCG2,-0.1574723455318364
ABCG5,-0.6434167025021932
ABCG8,-0.6434167025021932
ABHD12,-0.600880662648489
ABI3BP,-0.7241589630474792
ABL1,-0.21132595518782496
ABO,-0.5010602489917767
ABRAXAS2,-0.7241589630474792
ACAD9,-0.21132595518782496
ACADSB,-0.3034492896799361
ACAT1,-0.27495843933134617
ACD,-0.21132595518782496
ACE,-0.3409668922539743
ACE2,-0.3889281637920561
ACHE,-0.5619569714511238
ACKR1,-0.06827755339778033
ACKR3,-0.024538863437767216
ACO1,-0.729375423268933
ACOD1,-0.2585546164033702
ACOT8,-0.2585546164033702
ACOXL,-0.7241589630474792
ACP5,-0.024538863437767216
ACSF2,0.0563220956567818
ACSL3,-0.3034492896799361
ACSL4,-0.83370462769801
ACSL5,-0.3034492896799361
ACSS1,-0.7241589630474792
ACTA1,-0.024538863437767216
ACTA2,-0.7241589630474792
ACTG1,-0.7226370087215657
ACTG1P14,-0.7241589630474792
ACTN1,-0.21132595518782496
ACTN4,-0.3368343796227025
ACTR3B,-0.7241589630474792
ACVR1B,-0.7241589630474792
AD14,-0.024538863437767216
ADA,-0.33750413994132766
ADA2,-0.600880662648489
ADAM10,-0.3076039856010708
ADAM17,-0.37258327773635663
ADAM24P,-0.7241589630474792
ADAM8,-0.3976695832296136
ADAMTS1,-0.46997999446806554
ADAMTS10,-0.044869343523860294
ADAMTS13,-0.4955330937051489
ADAMTS18,-0.35322613379276624
ADAMTS6,-0.7241589630474792
ADAMTS7,-0.6434167025021932
ADAMTS9-AS2,-0.7241589630474792
ADAMTSL1,-0.7241589630474792
ADAMTSL3,-0.7241589630474792
ADAR,-0.2585546164033702
ADCY8,-0.7241589630474792
ADD1,-0.7241589630474792
ADGRB2,-0.6313298223058947
ADGRB3,-0.7241589630474792
ADGRL3,-0.7241589630474792
ADGRL4,-0.7241589630474792
ADH1B,-0.638227462076644
ADH1C,-0.6385590793733147
ADH4,-0.35322613379276624
ADH5,-0.7241589630474792
ADIPOQ,-0.6230484033180892
ADIPOR1,-0.7241589630474792
ADIPOR2,-0.7241589630474792
ADM,-0.48910387010459794
ADORA1,-0.7186984253567977
ADORA2A,-0.2226536438987173
ADORA2B,-0.09951478429082447
ADORA3,-0.3976695832296136
ADRA1D,-0.7241589630474792
ADRA2B,-0.7241589630474792
ADRB1,-0.7241589630474792
ADRB2,-0.35569233135581124
ADRB3,-0.533252610750681
AFAP1L2,-0.7241589630474792
AFP,-0.600880662648489
AGER,-0.3794648347727805
AGL,-0.08408153870294933
AGMO,-0.7241589630474792
AGPAT9,-0.7241589630474792
AGR2,-0.35322613379276624
AGT,-0.3561125240559302
AGTR1,-0.7238672434395488
AGTR2,-0.5881860122576066
AGXT,-0.600880662648489
AHCYP3,-0.7241589630474792
AHDC1,-0.7241589630474792
AHR,-0.3870767691618984
AHSA1,-0.09951478429082447
AHSG,-0.7241589630474792
AICDA,-0.21132595518782496
AIFM1,-0.600880662648489
AIG1,-0.7241589630474792
AIMP1,-0.7241589630474792
AIMP2,-0.09951478429082447
AIP,-0.6392099142205949
AIRE,-0.7226370087215657
AK1,-0.5366688550120761
AKAP13,-0.7241589630474792
AKAP8P1,-0.7241589630474792
AKR1A1,-0.6378879457182062
AKR1B1,-0.08982375119123312
AKT1,-0.7117451527675352
AKT1S1,-0.7186984253567977
AKT2,-0.024538863437767216
ALAD,-0.7226370087215657
ALB,-0.4724298396690107
ALCAM,-0.7241589630474792
ALDH2,-0.638227462076644
ALDH7A1,-0.024538863437767216
ALMS1,-0.7241589630474792
ALOX12,-0.10433561004426355
ALOX15,-0.383608718080818
ALOX5,-0.35556494734001176
ALOX5AP,-0.7238672434395488
ALX4,-0.7241589630474792
AMACR,-0.600880662648489
AMIGO2,-0.7241589630474792
AMMECR1,-0.83370462769801
AMN,-0.3656669573005462
AMPD1,-0.5881860122576066
AMPD2,-0.2585546164033702
AMT,-0.4551251428672465
AMY2A,-0.35322613379276624
ANG,-0.34361909114729405
ANGPT1,-0.347185568847667
ANGPT2,-0.49944850490091763
ANGPTL1,-0.6313298223058947
ANGPTL3,-0.3034492896799361
ANGPTL4,-0.6434167025021932
ANIB1,-0.35322613379276624
ANK2,-0.7241589630474792
ANKRD18EP,-0.7241589630474792
ANKRD26,-0.21132595518782496
ANKRD6,-0.7241589630474792
ANKS1B,-0.7241589630474792
ANLN,-0.83370462769801
ANO10,-0.600880662648489
ANP32B,-0.7241589630474792
ANP32BP3,-0.7241589630474792
ANXA1,-0.197257158311209
ANXA2,-0.35322613379276624
ANXA5,-0.3976695832296136
AOAH,-0.2585546164033702
AOC2,-0.024538863437767216
AOC3,-0.024538863437767216
AP1M1,-0.7241589630474792
AP1S1,-0.600880662648489
AP1S3,-0.7241589630474792
AP2S1,-0.35322613379276624
AP3B1,-0.21132595518782496
AP3D1,-0.7241589630474792
AP5Z1,-0.600880662648489
APC,-0.16473204260531443
APCS,-0.35322613379276624
APEX1,-0.7241589630474792
APOA1,-0.3660399526351967
APOA2,-0.6434167025021932
APOA4,-0.6434167025021932
APOA5,-0.5867941525101098
APOB,-0.5472011809774874
APOBEC1,-0.3034492896799361
APOC1,-0.5472011809774874
APOC2,-0.33123171430105064
APOC3,-0.6434167025021932
APOD,-0.7241589630474792
APOE,-0.39363301766289815
APOF,-0.3034492896799361
APOH,-0.6106468807837757
APOL1,-0.7241589630474792
APOPT1,-0.83370462769801
APP,-0.5770062067697821
APRT,-0.15096227084569436
APTX,-0.600880662648489
AQP1,-0.20835983165501323
AQP4,-0.3420218983195413
AQP5,-0.2585546164033702
AR,-0.3582220588586273
ARC,-0.5058230903719519
ARG1,-0.7241589630474792
ARHGAP42,-0.7241589630474792
ARHGDIA,-0.3656669573005462
ARHGEF2,-0.3976695832296136
ARHGEF26,-0.7241589630474792
ARHGEF28,-0.7241589630474792
ARHGEF5,-0.024538863437767216
ARHGEF7,-0.37487760392615355
ARID1B,-0.11378164600453868
ARL15,-0.7241589630474792
ARL2BPP6,-0.7241589630474792
ARL2BPP7,-0.7241589630474792
ARL2BPP8,-0.7241589630474792
ARL6IP1,-0.600880662648489
ARNT2,-0.7241589630474792
ARNTL,-0.7241589630474792
ARPC3P2,-0.7241589630474792
ARRB2,-0.7511245830492573
ARSA,-0.642991342103656
ARTN,-0.600880662648489
ARVCF,-0.7241589630474792
AS3MT,-0.3034492896799361
ASB17,-0.7241589630474792
ASCC1,-0.37487760392615355
ASGR1,-0.21132595518782496
ASNS,-0.35322613379276624
ASPG,-0.2837856208584333
ASRGL1,-0.3034492896799361
ASS1,-0.2585546164033702
