Gene,Version 1 Adverse Event Count,Version 2 Adverse Event Count,Adverse Event,All Records Version 1 Count,All Records Version 2 Count,Adverse Event Count Difference,All Records Count Difference
A2M,2.0,2.0,Deep Vein Thrombosis,139.0,106.0,0.0,-33.0
A2M,24.0,24.0,Pancreatitis,139.0,106.0,0.0,-33.0
A2M,80.0,80.0,Myocardial Infarction,139.0,106.0,0.0,-33.0
A2M,33.0,0.0,Sepsis,139.0,106.0,-33.0,-33.0
A2ML1,18.0,0.0,Edema,18.0,0.0,-18.0,-18.0
A4GALT,0.0,80.0,Myocardial Infarction,0.0,80.0,80.0,80.0
AAA1,33.0,0.0,Sepsis,33.0,0.0,-33.0,-33.0
AAAS,1.0,0.0,Peripheral Neuropathy,34.0,0.0,-1.0,-34.0
AAAS,33.0,0.0,Sepsis,34.0,0.0,-33.0,-34.0
AAK1,33.0,33.0,Sepsis,33.0,33.0,0.0,0.0
AARS,1.0,1.0,Peripheral Neuropathy,1.0,1.0,0.0,0.0
AARS2,0.0,80.0,Myocardial Infarction,0.0,80.0,80.0,80.0
AAVS1,18.0,0.0,Edema,18.0,0.0,-18.0,-18.0
ABCA1,80.0,80.0,Myocardial Infarction,154.0,128.0,0.0,-26.0
ABCA1,19.0,19.0,Hyperlipidemia,154.0,128.0,0.0,-26.0
ABCA1,26.0,0.0,Gastric ulcer,154.0,128.0,-26.0,-26.0
ABCA1,23.0,23.0,Thrombocytopenia,154.0,128.0,0.0,-26.0
ABCA1,5.0,5.0,Cerebral Infarction,154.0,128.0,0.0,-26.0
ABCA1,1.0,1.0,Peripheral Neuropathy,154.0,128.0,0.0,-26.0
ABCA12,33.0,0.0,Sepsis,33.0,0.0,-33.0,-33.0
ABCA3,70.0,70.0,Pneumonia,70.0,70.0,0.0,0.0
ABCA4,80.0,80.0,Myocardial Infarction,80.0,80.0,0.0,0.0
ABCB1,19.0,19.0,Hyperlipidemia,100.0,134.0,0.0,34.0
ABCB1,1.0,1.0,Peripheral Neuropathy,100.0,134.0,0.0,34.0
ABCB1,80.0,80.0,Myocardial Infarction,100.0,134.0,0.0,34.0
ABCB1,0.0,23.0,Thrombocytopenia,100.0,134.0,23.0,34.0
ABCB1,0.0,11.0,Delirium,100.0,134.0,11.0,34.0
ABCB11,1.0,0.0,Peripheral Neuropathy,1.0,0.0,-1.0,-1.0
ABCB4,1.0,1.0,Peripheral Neuropathy,25.0,25.0,0.0,0.0
ABCB4,24.0,24.0,Pancreatitis,25.0,25.0,0.0,0.0
ABCB6,26.0,0.0,Gastric ulcer,26.0,0.0,-26.0,-26.0
ABCC1,0.0,80.0,Myocardial Infarction,1.0,81.0,80.0,80.0
ABCC1,1.0,1.0,Peripheral Neuropathy,1.0,81.0,0.0,80.0
ABCC11,33.0,33.0,Sepsis,33.0,33.0,0.0,0.0
ABCC2,1.0,0.0,Peripheral Neuropathy,1.0,0.0,-1.0,-1.0
ABCC3,1.0,0.0,Peripheral Neuropathy,1.0,0.0,-1.0,-1.0
ABCC4,1.0,0.0,Peripheral Neuropathy,1.0,0.0,-1.0,-1.0
ABCC5,1.0,0.0,Peripheral Neuropathy,1.0,0.0,-1.0,-1.0
ABCC6,1.0,0.0,Peripheral Neuropathy,81.0,0.0,-1.0,-81.0
ABCC6,80.0,0.0,Myocardial Infarction,81.0,0.0,-80.0,-81.0
ABCC7,24.0,0.0,Pancreatitis,24.0,0.0,-24.0,-24.0
ABCC8,0.0,18.0,Edema,43.0,57.0,18.0,14.0
ABCC8,4.0,0.0,Proteinuria,43.0,57.0,-4.0,14.0
ABCC8,5.0,5.0,Cerebral Infarction,43.0,57.0,0.0,14.0
ABCC8,33.0,33.0,Sepsis,43.0,57.0,0.0,14.0
ABCC8,1.0,1.0,Peripheral Neuropathy,43.0,57.0,0.0,14.0
ABCC9,80.0,80.0,Myocardial Infarction,98.0,80.0,0.0,-18.0
ABCC9,18.0,0.0,Edema,98.0,80.0,-18.0,-18.0
ABCD1,1.0,1.0,Peripheral Neuropathy,1.0,1.0,0.0,0.0
ABCD4,23.0,23.0,Thrombocytopenia,23.0,23.0,0.0,0.0
ABCF1,24.0,24.0,Pancreatitis,94.0,94.0,0.0,0.0
ABCF1,70.0,70.0,Pneumonia,94.0,94.0,0.0,0.0
ABCG1,1.0,1.0,Peripheral Neuropathy,100.0,81.0,0.0,-19.0
ABCG1,19.0,0.0,Hyperlipidemia,100.0,81.0,-19.0,-19.0
ABCG1,80.0,80.0,Myocardial Infarction,100.0,81.0,0.0,-19.0
ABCG2,11.0,11.0,Delirium,91.0,34.0,0.0,-57.0
