,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2
,count,mean,std,min,max,sum,count,mean,std,min,max,sum,count,mean,std,min,max,sum,count,mean,std,min,max,sum
Drug,,,,,,,,,,,,,,,,,,,,,,,,
abatacept,1,597.0,,597,597,597,1,547.0,,547,547,547,1,0.0083056478405315,,0.0083056478405315,0.0083056478405315,0.0083056478405315,1,0.0054545454545454,,0.0054545454545454,0.0054545454545454,0.0054545454545454
acamprosate,2,553.0,629.3250352560273,108,998,1106,2,924.5,1182.989644925094,88,1761,1849,2,0.04478697844404585,0.034193617485553024,0.0206084396467124,0.0689655172413793,0.0895739568880917,2,0.0366955460354689,0.03837361190772558,0.0095613048368953,0.0638297872340425,0.0733910920709378
adenosine,1,983.0,,983,983,983,1,1743.0,,1743,1743,1743,1,0.0353287536800785,,0.0353287536800785,0.0353287536800785,0.0353287536800785,1,0.0196850393700787,,0.0196850393700787,0.0196850393700787,0.0196850393700787
aldesleukin,2,365.0,131.52186130069785,272,458,730,2,386.0,147.07821048680188,282,490,772,2,0.0228256953865728,0.0067530873658353825,0.0180505415162454,0.0276008492569002,0.0456513907731456,2,0.01502513550706315,0.0014695397480216086,0.0139860139860139,0.0160642570281124,0.0300502710141263
alteplase,5,412.4,391.8045431079124,68,1006,2062,5,546.0,712.7180368139984,33,1771,2730,5,0.04042506362382204,0.03316665321871339,0.0127576054955839,0.081081081081081,0.2021253181191102,5,0.033118303804202304,0.03460391584722466,0.0039370078740157,0.0833333333333333,0.16559151902101152
amantadine,1,441.0,,441,441,441,1,470.0,,470,470,470,1,0.0636942675159235,,0.0636942675159235,0.0636942675159235,0.0636942675159235,1,0.0562248995983935,,0.0562248995983935,0.0562248995983935,0.0562248995983935
aminophylline,1,577.0,,577,577,577,1,529.0,,529,529,529,1,0.0415282392026578,,0.0415282392026578,0.0415282392026578,0.0415282392026578,1,0.0381818181818181,,0.0381818181818181,0.0381818181818181,0.0381818181818181
amitriptyline,4,424.25,368.0284182867767,45,923,1697,4,573.25,776.1668098203289,43,1702,2293,4,0.14467526741044748,0.1018096135575905,0.0835820895522388,0.296875,0.5787010696417899,4,0.08670895102884268,0.04208855124972534,0.0427446569178852,0.14,0.34683580411537074
amoxapine,3,482.0,459.4638179443513,49,964,1446,3,743.6666666666666,872.7853879009051,42,1721,2231,3,0.12300963010305954,0.09736514985879793,0.0539744847890088,0.234375,0.3690288903091786,3,0.08409981884794517,0.06722492874266107,0.0320584926884139,0.16,0.2522994565438355
anakinra,1,469.0,,469,469,469,1,497.0,,497,497,497,1,0.0042462845010615,,0.0042462845010615,0.0042462845010615,0.0042462845010615,1,0.002008032128514,,0.002008032128514,0.002008032128514,0.002008032128514
apomorphine,2,699.5,376.8879143724298,433,966,1399,2,1096.0,888.1261171703037,468,1724,2192,2,0.0663455908856982,0.020271075056611687,0.0520117762512266,0.0806794055201698,0.1326911817713964,2,0.045306083727485805,0.021121110029343235,0.03037120359955,0.0602409638554216,0.09061216745497161
aprotinin,4,312.25,261.475779630415,72,599,1249,4,296.5,262.8973183583279,35,548,1186,4,0.01405924633502025,0.010393778123267874,0.0049833887043189,0.027027027027027,0.056236985340081,4,0.0134447073810951,0.01175568262497728,0.0036363636363636,0.0277777777777777,0.0537788295243804
aripiprazole,6,326.1666666666667,336.7256548982668,29,943,1957,6,452.5,631.0748766984786,37,1699,2715,6,0.13525759285337444,0.07205771635437905,0.0745829244357213,0.265625,0.8115455571202466,6,0.10654751413929857,0.06060488226389378,0.0444319460067491,0.2,0.6392850848357914
asenapine,2,238.5,269.4076836320746,48,429,477,2,252.5,300.5203820042827,40,465,505,2,0.16958598726114646,0.11372258742012953,0.0891719745222929,0.25,0.3391719745222929,2,0.1331325301204819,0.09456488278518892,0.0662650602409638,0.2,0.2662650602409638
atropine,4,472.0,379.4285176419927,103,965,1888,4,649.25,739.3688186554799,82,1726,2597,4,0.07405034476326468,0.026254583769506703,0.0529931305201177,0.1120689655172413,0.2962013790530587,4,0.06562508106736617,0.0437255630962947,0.0292463442069741,0.1276595744680851,0.2625003242694647
balsalazide,1,466.0,,466,466,466,1,494.0,,494,494,494,1,0.0106157112526539,,0.0106157112526539,0.0106157112526539,0.0106157112526539,1,0.0080321285140562,,0.0080321285140562,0.0080321285140562,0.0080321285140562
basiliximab,1,459.0,,459,459,459,1,488.0,,488,488,488,1,0.0254777070063694,,0.0254777070063694,0.0254777070063694,0.0254777070063694,1,0.0200803212851405,,0.0200803212851405,0.0200803212851405,0.0200803212851405
biotin,1,250.0,,250,250,250,1,339.0,,339,339,339,1,0.0118577075098814,,0.0118577075098814,0.0118577075098814,0.0118577075098814,1,0.0029411764705882,,0.0029411764705882,0.0029411764705882,0.0029411764705882
bivalirudin,2,331.0,369.10973977937783,70,592,662,2,291.0,362.03867196751236,35,547,582,2,0.03533267486755855,0.026476028351871246,0.0166112956810631,0.054054054054054,0.0706653497351171,2,0.01661616161616155,0.015784908953760286,0.0054545454545454,0.0277777777777777,0.0332323232323231
bosutinib,1,236.0,,236,236,236,1,330.0,,330,330,330,1,0.067193675889328,,0.067193675889328,0.067193675889328,0.067193675889328,1,0.0294117647058823,,0.0294117647058823,0.0294117647058823,0.0294117647058823
bromocriptine,2,634.0,449.7199128346442,316,952,1268,2,902.0,1156.8266940211918,84,1720,1804,2,0.061233576963074646,0.006388227595621433,0.0567164179104477,0.0657507360157016,0.12246715392614929,2,0.059788722061916155,0.03842107076335179,0.0326209223847019,0.0869565217391304,0.11957744412383231
buprenorphine,1,441.0,,441,441,441,1,470.0,,470,470,470,1,0.0636942675159235,,0.0636942675159235,0.0636942675159235,0.0636942675159235,1,0.0562248995983935,,0.0562248995983935,0.0562248995983935,0.0562248995983935
buspirone,2,42.0,16.97056274847714,30,54,84,2,41.0,5.656854249492381,37,45,82,2,0.1495535714285714,0.00947018010517702,0.1428571428571428,0.15625,0.2991071428571428,2,0.12954545454545455,0.04178358252465962,0.1,0.1590909090909091,0.2590909090909091
cabergoline,2,206.5,150.61374439273462,100,313,413,2,82.0,2.8284271247461903,80,84,164,2,0.10180133813690165,0.051095106576732545,0.0656716417910447,0.1379310344827586,0.2036026762738033,2,0.11794634597594815,0.043826229731266104,0.0869565217391304,0.1489361702127659,0.2358926919518963
cabozantinib,2,510.0,323.85490578343877,281,739,1020,2,286.5,20.506096654409877,272,301,573,2,0.0381794131794131,0.0221927452969804,0.0224867724867724,0.0538720538720538,0.0763588263588262,2,0.02909413281753705,0.009004099889383832,0.0227272727272727,0.0354609929078014,0.0581882656350741
caffeine,6,251.33333333333334,176.35040875106205,67,556,1508,6,222.5,179.29500829638286,70,515,1335,6,0.10979234800241124,0.04744776745269219,0.0764119601328903,0.1982758620689655,0.6587540880144674,6,0.09001030032346348,0.0467249073843815,0.0559440559440559,0.1808510638297872,0.5400618019407809
captopril,4,404.25,398.29250139397135,109,987,1617,4,518.5,800.6707604669142,79,1717,2074,4,0.045050159665119376,0.013696956856827397,0.0314033366045142,0.0603448275862069,0.1802006386604775,4,0.07596904756650125,0.05719582876355298,0.0343082114735658,0.1595744680851064,0.303876190266005
carvedilol,1,300.0,,300,300,300,1,84.0,,84,84,84,1,0.1044776119402985,,0.1044776119402985,0.1044776119402985,0.1044776119402985,1,0.0869565217391304,,0.0869565217391304,0.0869565217391304,0.0869565217391304
cevimeline,1,107.0,,107,107,107,1,88.0,,88,88,88,1,0.0775862068965517,,0.0775862068965517,0.0775862068965517,0.0775862068965517,1,0.0638297872340425,,0.0638297872340425,0.0638297872340425,0.0638297872340425
chlorpromazine,2,235.0,267.28636328851496,46,424,470,2,253.0,299.8132752230961,41,465,506,2,0.19051884288747345,0.12831323291833915,0.0997876857749469,0.28125,0.3810376857749469,2,0.12313253012048189,0.08042274716145797,0.0662650602409638,0.18,0.24626506024096378
