,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
AAK1,-0.300456019325181,0.15715142394155668,-0.5917718426913918,-0.1739713535752418,-1.8027361159510862
ABCB1,-0.6092723511803505,0.3360694372580513,-1.3298291530646846,0.0192379029844644,-18.278170535410514
ABCG2,-0.5434124522085065,0.4092259923025007,-0.93218411340378,-0.1164145854550273,-1.6302373566255195
ABL1,-0.11205298848911364,0.44556273689364606,-0.9458878868462754,0.3172528023744974,-0.6723179309346818
ACAD9,-0.999252666038501,,-0.999252666038501,-0.999252666038501,-0.999252666038501
ACE,-0.5297276125581747,0.769206582137139,-1.340930746824771,0.4786825935646952,-2.1189104502326988
ADA,0.0479445569449783,,0.0479445569449783,0.0479445569449783,0.0479445569449783
ADM,-0.5242174249404714,0.3540533223501044,-1.360518672475873,0.3742117306595141,-26.210871247023572
ADORA1,-0.6796229615743965,0.26572757384599177,-1.360518672475873,0.0192379029844644,-35.34039400186862
ADORA2B,-0.20116701176455373,0.593399467108456,-0.6656210872091517,2.514772844129258,-5.632676329407505
ADORA3,-0.3353163210975278,0.7158582920469538,-1.360518672475873,2.69020138254721,-36.214162678533
ADRA1D,-0.7029935405294259,0.3013978550431711,-1.360518672475873,0.0097407038205137,-41.47661889123613
ADRA2A,-0.056190544716344694,0.6108516499501061,-1.0226634175440594,2.580384974496262,-1.4047636179086174
ADRA2B,-0.6890662772663866,0.2593180825984766,-1.360518672475873,0.0192379029844644,-37.89864524965126
ADRB1,-0.7132040078130755,0.25349794492292016,-1.360518672475873,-0.1983071491784933,-22.822528250018415
ADRB2,-0.5742763957185097,0.2631945498260742,-1.3298291530646846,-0.0302973919320468,-25.26816141161443
ADRB3,-0.6301229252606105,0.30131643543727116,-1.360518672475873,0.0142432006435964,-24.574794085163813
AGK,-0.9458878868462754,,-0.9458878868462754,-0.9458878868462754,-0.9458878868462754
AGT,-0.4923507615058013,0.4597435091218142,-1.360518672475873,2.580384974496262,-60.55914366521356
AGTR1,-0.6825146828616204,0.3343809232429428,-1.009051765619958,-0.3791874067375502,-2.7300587314464817
AGTR2,-0.47951071114101734,0.48623309375533086,-1.360518672475873,2.580384974496262,-39.79938902470444
