,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
AAK1,-0.30045601932518107,0.15715142394155668,-0.5917718426913918,-0.1739713535752418,-1.8027361159510864
ABCB1,-0.411917609999846,0.4643467642577498,-1.3298291530646846,0.7195017661471432,-20.5958804999923
ABCG2,-0.11283064682540005,0.3926392768536973,-0.93218411340378,0.5222216338254775,-1.4667984087302006
ABL1,-0.11205298848911364,0.44556273689364606,-0.9458878868462754,0.3172528023744974,-0.6723179309346818
ACAD9,-0.999252666038501,,-0.999252666038501,-0.999252666038501,-0.999252666038501
ACE,-0.5297276125581747,0.769206582137139,-1.340930746824771,0.4786825935646952,-2.1189104502326988
ACKR3,-0.04529631776685497,0.8272025288927718,-0.7742453080292844,2.69020138254721,-2.7177790660112984
ADA,0.0479445569449783,,0.0479445569449783,0.0479445569449783,0.0479445569449783
ADM,-0.5231801571331532,0.3505731765487957,-1.360518672475873,0.3742117306595141,-26.682188013790817
ADORA1,-0.6763497477323818,0.259698611305185,-1.360518672475873,0.0192379029844644,-37.87558587301338
ADORA2A,-0.058684563173093444,0.1507963478148869,-0.1653136832911652,0.0479445569449783,-0.11736912634618689
ADORA2B,-0.19704709966671768,0.537570236187211,-0.7742453080292844,2.514772844129258,-7.290742687668554
ADORA3,-0.3459763799078371,0.7056818066337712,-1.360518672475873,2.69020138254721,-38.749354549677754
ADRA1D,-0.6984023339464573,0.30094143180263966,-1.360518672475873,0.0097407038205137,-41.90414003678744
ADRA2A,-0.0561905447163447,0.610851649950106,-1.0226634175440594,2.580384974496262,-1.4047636179086176
ADRA2B,-0.6885245268453648,0.2569818115252957,-1.360518672475873,0.0192379029844644,-38.55737350334043
ADRB1,-0.7132040078130755,0.25349794492292016,-1.360518672475873,-0.1983071491784933,-22.822528250018415
ADRB2,-0.5742763957185097,0.2631945498260742,-1.3298291530646846,-0.0302973919320468,-25.26816141161443
ADRB3,-0.6301229252606106,0.30131643543727105,-1.360518672475873,0.0142432006435964,-24.574794085163816
AGK,-0.9458878868462754,,-0.9458878868462754,-0.9458878868462754,-0.9458878868462754
AGT,-0.3216041652044627,0.616547886172154,-1.360518672475873,2.69020138254721,-65.92885386691486
