,Count
AGT,205
CXCL8,188
KNG1,175
CCL5,160
CCR2,149
C3,147
CXCR4,141
CXCL12,140
CXCR2,139
CCR1,132
F2R,120
CXCL10,114
CCR3,113
ADORA3,112
BDKRB2,110
BDKRB1,110
POMC,108
APOE,99
GAL,99
CNR1,91
CCR5,90
CYP3A4,87
CXCL2,87
AGTR2,87
CASR,85
C5AR1,84
C3AR1,84
ALB,84
EDN1,84
F2RL1,83
CYP2D6,76
GHRL,75
F2,73
CNR2,66
CXCL1,62
APOA1,62
NPY,62
PF4,61
P2RY2,61
CXCL9,60
CCL19,60
CCR6,60
CXCL5,60
EDNRB,60
CCL20,60
CCR8,60
CCR9,60
CXCL13,60
PTGDR2,60
NPW,60
LPAR2,60
LPAR1,60
CXCR3,60
ADRA1D,60
ACKR3,60
CXCL6,59
APOC1,58
EDNRA,56
ADORA1,56
ADRA2B,56
HP,56
CXCR5,55
CXCR1,55
TAS2R50,55
P2RY12,55
OPRK1,55
GPER1,55
GCG,55
CCL16,53
GRM8,53
HTR1D,52
P2RY11,52
OPRD1,51
CYP1A2,51
ADM,51
ABCB1,50
SST,50
AVPR1A,50
GHSR,49
TAC1,49
UTS2R,49
EDN2,48
UTS2,48
HTR1E,47
LTB4R,46
CHRM1,46
GPR65,46
UTS2B,46
CHRM3,45
HTR2A,45
VIP,45
SERPING1,44
ADRB2,44
SLC25A13,40
CYP3A5,39
ADRB3,39
CYP2C19,38
CDCP1,37
CYP2C9,37
SAA1,37
ADORA2B,37
APOA4,35
CALCA,35
CYSLTR1,35
APOC3,35
APOA2,35
PTAFR,35
IGF2R,34
OXT,34
ADRB1,32
FN1,32
CYP2C8,32
RAMP1,30
GHRH,30
GSN,30
RLN2,29
APOB,29
F7,29
PTGER2,28
GAST,28
ATM,28
APP,28
EGFR,27
DRD2,27
CCK,27
DRD3,27
CALCR,26
HGF,26
TSHR,26
TF,26
GIP,26
DRD1,26
ADRA2A,25
PTHLH,25
TTN,25
FPR2,24
KRT16,24
GFAP,24
C5,24
SSTR1,24
LDLR,24
S1PR3,24
PNOC,24
SCN5A,23
CST3,23
AP1M1,23
AHSG,23
APOC2,23
LDLRAP1,23
KCNMA1,23
CYP2E1,23
WNT5A,22
CSF2,21
PTPN11,21
FSHR,21
SLC6A4,21
TBXA2R,21
CHRM2,21
MTNR1B,20
CYP1A1,20
MTNR1A,20
PTGS2,20
HTR1F,19
DAB2,19
CTSL,19
VAMP8,19
VWF,19
ITGB3,19
CFH,19
PDGFB,18
GRAP2,18
TP53,18
OXTR,18
NPHS1,18
JAK2,18
HTR1B,18
HTR2C,17
ANXA1,17
PDGFRB,17
PPBP,17
HTR6,17
DRD4,16
NLRC4,16
BIN1,16
DNAJC6,16
NCOA3,16
PTH1R,16
PLAT,15
TRIP10,15
HRH3,15
SRC,15
PDGFRA,15
FGFR2,14
NRAS,14
PTGS1,14
SCARB2,14
IL2RA,14
FGB,14
CAMTA1,14
OCRL,14
GNAQ,14
FGA,14
GJC2,14
FGFR1,14
ITGA2,14
ABCG2,13
EGF,13
FGF4,13
CYP2B6,12
P2RY1,11
STAT1,11
IL3,11
GRPR,11
PPY,11
JAK1,11
TNF,10
CRH,10
PDGFA,10
PLAU,10
PTGER3,10
PIK3CA,10
CCR7,10
TFRC,10
PLG,10
CBL,10
CFB,9
BCR,9
PIK3CB,9
GRP,9
EDN3,9
HTR1A,9
NRG1,9
NTS,9
SCT,9
MET,9
IL2,9
TACR1,8
SERPINE1,8
ITGA2B,8
SOS1,8
CD4,8
ARRB2,8
SLC6A3,8
IL2RG,7
NR1I2,7
BBC3,7
GPR17,7
IAPP,7
HRH1,7
FGF2,7
BRAF,7
AP2S1,7
LTA,7
CAV1,6
TNFRSF1A,6
ICOS,6
UGT1A1,6
NFKB1,6
FGF7,6
AGTR1,6
ABL1,6
MPO,6
MYLK,6
SYT1,6
IL2RB,6
AAK1,6
FGG,6
CD3D,5
AKT1,5
LRP2,5
SLCO1B1,5
HLA-DRB1,5
PDE4B,5
TRH,5
ANGPT1,5
RIPK1,5
AVP,5
GAK,5
KRAS,5
VEGFA,5
JAK3,5
CD14,5
EFNA5,5
IL5,5
IL5RA,5
PALB2,5
CD19,4
PIK3CD,4
IRS1,4
SHC1,4
FGFR3,4
NCAM1,4
HRG,4
PTPN22,4
GSTP1,4
PLAUR,4
SERPINC1,4
MYD88,4
BTK,4
ACE,4
CD86,4
PECAM1,4
FYN,4
ESR1,4
HRAS,4
PSPN,4
TEK,4
PTH,4
PPARG,4
HBEGF,4
FGF1,3
FCGR2A,3
MAP3K7,3
XDH,3
IL7,3
S1PR1,3
MMP9,3
FCGR3A,3
PIK3R1,3
NR3C1,3
IL4,3
RHOA,3
NOS2,3
TAB2,3
TLR4,3
HLA-DPA1,3
FGF20,3
ERBB4,3
B2M,3
GALR1,3
KL,3
GRIN2A,3
DCLRE1C,3
LIG4,3
SYK,3
HLA-DRB3,3
NFKBIA,3
FGF10,3
REN,3
CDC42,3
FMO3,2
LY96,2
ROCK1,2
CD36,2
CYP17A1,2
NOD2,2
IL1B,2
SLC22A1,2
RASGRP1,2
NCK1,2
HLA-DPB1,2
NCK2,2
TRAF6,2
PAK2,2
IFNA2,2
TLR3,2
TAB3,2
IRAK1,2
KIT,2
STAT3,2
SELP,2
PTPRA,2
FABP2,2
ESR2,2
MTOR,2
GH1,2
LTB,2
IFNG,2
IL7R,2
SOCS3,2
CD80,2
FCGR3B,2
MMP1,2
GDNF,2
LTA4H,2
F5,2
FCGR2B,2
RET,2
MMP2,2
FCGR1A,2
ALOX5,2
CHRNA4,2
CD28,2
ADORA2A,2
F2RL3,2
CRK,2
ARTN,2
MAP2K1,2
INPPL1,1
STAT2,1
TYK2,1
MAOA,1
MAOB,1
IL6,1
HLCS,1
PCCA,1
IFNAR1,1
TMEM126B,1
PCCB,1
RAP1B,1
HLA-DQA2,1
HLA-DQB1,1
HLA-E,1
ARHGEF7,1
CD274,1
ITGAV,1
ZAP70,1
CARD11,1
SLCO1B3,1
TPMT,1
GSTM1,1
GSTT1,1
SOD1,1
ITK,1
IL1R1,1
NOD1,1
MAP3K8,1
ITGA4,1
NGF,1
IL6ST,1
RIT1,1
PTPN6,1
KCNQ2,1
PLA2G4A,1
GHR,1
IL10RA,1
SOCS1,1
FCGR2C,1
IGHG3,1
FABP5,1
VIM,1
PTGDR,1
PTGER1,1
NTRK2,1
PARP1,1
NFKB2,1
ADA,1
AGK,1
PLA2G1B,1
RELA,1
MAPK1,1
MAPK3,1
