Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
F2R,48.0,Myocardial Infarction,116,-0.784203719934458,-0.5554843168978487
F2R,1.0,Cerebral Infarction,116,-0.5495417895309078,-0.5554843168978487
F2R,17.0,Tardive Dyskinesia,116,-0.6684410676131853,-0.5554843168978487
F2R,10.0,Sepsis,116,-0.2802254239646329,-0.5554843168978487
F2R,0.0,Pulmonary Edema,116,0.0,-0.5554843168978487
F2R,0.0,Proteinuria,116,0.0,-0.5554843168978487
F2R,35.0,Pneumonia,116,-0.3146805070883325,-0.5554843168978487
F2R,0.0,Peripheral Neuropathy,116,0.0,-0.5554843168978487
F2R,0.0,Pancreatitis,116,0.0,-0.5554843168978487
F2R,0.0,Hyperlipidemia,116,0.0,-0.5554843168978487
F2R,1.0,Hemorrhage,116,-1.140689287068125,-0.5554843168978487
F2R,0.0,Gastric ulcer,116,0.0,-0.5554843168978487
F2R,0.0,Edema,116,0.0,-0.5554843168978487
F2R,0.0,Delirium,116,0.0,-0.5554843168978487
F2R,0.0,Deep Vein Thrombosis,116,0.0,-0.5554843168978487
F2R,4.0,Thrombocytopenia,116,0.01884975261616928,-0.5554843168978487
AGT,0.0,Deep Vein Thrombosis,108,0.0,-0.12917297344550766
AGT,0.0,Delirium,108,0.0,-0.12917297344550766
AGT,18.0,Edema,108,-0.2616585861011098,-0.12917297344550766
AGT,23.0,Gastric ulcer,108,-0.08945025138731086,-0.12917297344550766
AGT,0.0,Hemorrhage,108,0.0,-0.12917297344550766
AGT,8.0,Hyperlipidemia,108,-0.48388954757419333,-0.12917297344550766
AGT,1.0,Myocardial Infarction,108,-0.5816386577667121,-0.12917297344550766
AGT,0.0,Pancreatitis,108,0.0,-0.12917297344550766
AGT,0.0,Peripheral Neuropathy,108,0.0,-0.12917297344550766
AGT,58.0,Pneumonia,108,-0.04708130624183523,-0.12917297344550766
AGT,0.0,Proteinuria,108,0.0,-0.12917297344550766
AGT,0.0,Pulmonary Edema,108,0.0,-0.12917297344550766
AGT,0.0,Sepsis,108,0.0,-0.12917297344550766
AGT,0.0,Tardive Dyskinesia,108,0.0,-0.12917297344550766
AGT,0.0,Thrombocytopenia,108,0.0,-0.12917297344550766
AGT,0.0,Cerebral Infarction,108,0.0,-0.12917297344550766
BDKRB1,0.0,Tardive Dyskinesia,105,0.0,-0.505772731217708
BDKRB1,0.0,Sepsis,105,0.0,-0.505772731217708
BDKRB1,0.0,Pulmonary Edema,105,0.0,-0.505772731217708
BDKRB1,0.0,Proteinuria,105,0.0,-0.505772731217708
BDKRB1,0.0,Pneumonia,105,0.0,-0.505772731217708
BDKRB1,0.0,Peripheral Neuropathy,105,0.0,-0.505772731217708
BDKRB1,0.0,Pancreatitis,105,0.0,-0.505772731217708
BDKRB1,66.0,Myocardial Infarction,105,-0.711053128278773,-0.505772731217708
BDKRB1,0.0,Thrombocytopenia,105,0.0,-0.505772731217708
BDKRB1,0.0,Hemorrhage,105,0.0,-0.505772731217708
BDKRB1,23.0,Gastric ulcer,105,-0.08945025138731086,-0.505772731217708
BDKRB1,16.0,Edema,105,-0.2574546580970115,-0.505772731217708
BDKRB1,0.0,Delirium,105,0.0,-0.505772731217708
BDKRB1,0.0,Deep Vein Thrombosis,105,0.0,-0.505772731217708
