,Count
F2R,116
AGT,108
BDKRB1,105
BDKRB2,102
APOE,99
CNR1,91
F2RL1,83
GAL,76
CCR1,72
KNG1,65
CXCL10,64
ACKR3,60
EDNRB,60
NPW,60
CXCR4,57
PTGDR2,57
LPAR2,56
HP,56
EDNRA,56
LPAR1,56
GPER1,55
CXCR2,55
CXCR1,55
CNR2,55
CCL16,53
P2RY11,52
GRM8,51
P2RY12,51
ALB,51
HTR1E,47
UTS2B,46
GPR65,46
LTB4R,46
CHRM1,46
CHRM3,45
SERPING1,44
OPRD1,40
SLC25A13,40
ADRB3,37
CDCP1,37
ADRA2B,36
TAC1,35
CYSLTR1,35
PTAFR,35
CYP3A5,34
CCL5,32
FN1,32
CCR5,31
APOC1,31
C3,30
GSN,30
F7,29
PTGER2,28
APP,28
EGFR,27
ADRB1,26
TSHR,26
GIP,26
APOA1,26
CALCR,26
GCG,25
TTN,25
ADRA2A,25
LDLR,24
SSTR1,24
CYP2D6,24
GFAP,24
CYP2C8,24
CST3,23
AP1M1,23
KCNMA1,23
AHSG,23
ABCB1,23
S1PR3,22
CYP3A4,22
SCN5A,22
PTPN11,21
FSHR,21
CHRM2,21
MTNR1B,20
MTNR1A,20
CFH,19
HTR1F,19
TF,19
IGF2R,18
NPHS1,18
HTR1B,18
OXTR,18
WNT5A,17
ATM,17
HTR6,17
PPBP,17
GRAP2,16
ANXA1,16
NLRC4,16
CYP1A2,16
TP53,16
BIN1,16
PTH1R,16
PTHLH,16
DNAJC6,16
PDGFRA,15
P2RY2,15
TRIP10,15
ADRA1D,15
FGFR1,14
GNAQ,14
GJC2,14
CAMTA1,14
FGB,14
HGF,14
ITGA2,14
APOA2,13
FGF4,13
APOC3,13
CYP2E1,13
CSF2,13
KRT16,13
APOA4,13
ADORA2B,12
AGTR2,12
IL2RA,12
ABCG2,12
POMC,12
NPY,11
FGFR2,11
P2RY1,11
TFRC,10
DRD1,10
PTGER3,10
FGA,10
PLAU,10
CXCL8,10
CBL,10
STAT1,9
NCOA3,9
CTSL,9
OCRL,9
EDN3,9
SLC6A4,9
APOB,9
CFB,9
HTR1A,9
SCARB2,9
CXCL6,8
EDN1,8
SOS1,8
ADM,8
TACR1,8
BCR,7
BBC3,7
GPR17,7
HRH1,7
CYP2C9,7
CYP2C19,7
ITGA2B,7
ADRB2,7
MPO,6
TNFRSF1A,6
DRD3,6
NR1I2,6
UGT1A1,6
IL3,6
CCR2,6
CYP1A1,6
GHRL,6
F2,6
SAA1,6
JAK2,6
BRAF,6
CAV1,6
MYLK,6
APOC2,6
FGG,6
CXCL12,6
AKT1,5
PIK3CA,5
ITGB3,5
HTR2A,5
ICOS,5
GAK,5
CD3D,5
PIK3CB,5
SRC,5
PDGFRB,5
CXCL2,5
EFNA5,5
JAK1,5
GAST,5
PDGFB,5
AVPR1A,5
PDE4B,5
AVP,5
HLA-DRB1,5
VIP,4
TEK,4
PDGFA,4
RLN2,4
HTR2C,4
GHRH,4
CXCL1,4
HRAS,4
RAMP1,4
GHSR,4
UTS2R,4
IRS1,4
PTPN22,4
TAS2R50,4
ADORA1,4
ADORA3,4
OPRK1,4
CCR3,4
HTR1D,4
CXCR5,4
NCAM1,4
OXT,4
FYN,4
CD19,4
HRG,4
PECAM1,4
ANGPT1,4
LRP2,4
GRPR,4
ERBB4,3
KL,3
CCK,3
LTA,3
IL7,3
FGF20,3
GSTP1,3
CD14,3
MAP3K7,3
PIK3CD,3
TAB2,3
MYD88,3
B2M,3
BTK,3
HLA-DPA1,3
NRAS,3
VAMP8,3
GALR1,3
UTS2,3
NR3C1,3
RHOA,3
S1PR1,3
DAB2,3
PSPN,3
IL4,3
FGF1,3
IL5,3
GRIN2A,3
IL5RA,3
LDLRAP1,3
NFKB1,3
LIG4,3
PIK3R1,3
CASR,3
FGFR3,3
MMP9,3
EDN2,3
REN,3
IAPP,2
LY96,2
ROCK1,2
PPARG,2
IL7R,2
SOCS3,2
NTS,2
CRK,2
AGTR1,2
GRP,2
CRH,2
CALCA,2
CYP17A1,2
HLA-DPB1,2
SERPINC1,2
TBXA2R,2
SLC6A3,2
RASGRP1,2
FABP2,2
CYP2B6,2
CCL19,2
CCL20,2
CXCL13,2
LTB,2
CXCL5,2
CXCL9,2
PF4,2
CCR7,2
CD28,2
KIT,2
IFNG,2
FMO3,2
NOD2,2
SELP,2
MTOR,2
PTPRA,2
ADORA2A,2
EGF,2
PALB2,2
SST,2
IFNA2,2
SLC22A1,2
MMP1,2
FCGR3B,2
F5,2
NFKBIA,2
FCGR2B,2
CHRNA4,2
RIPK1,2
F2RL3,2
MAP2K1,2
FABP5,1
PTGDR,1
TRAF6,1
SOCS1,1
VIM,1
NRG1,1
SPTBN4,1
FCGR2C,1
TLR3,1
SPTBN5,1
IGHG3,1
TAB3,1
CFTR,1
FCGR3A,1
PLAT,1
IL2,1
IRAK4,1
CYP11B2,1
IRAK1,1
HLA-E,1
TICAM1,1
SLC10A1,1
IL2RG,1
ARHGEF7,1
BIRC3,1
SERPINB2,1
SLCO1B1,1
RAF1,1
PLA2G1B,1
NOD1,1
NFKB2,1
MAP3K8,1
CARD11,1
IL6,1
MAOB,1
MAOA,1
TYK2,1
STAT2,1
IFNAR1,1
ADA,1
PARP1,1
ITGA4,1
MET,1
INPPL1,1
IL2RB,1
PTPN6,1
SERPINE1,1
GHR,1
IL10RA,1
SYT1,1
